,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,1000.0,80.64516129032258,212.7659574468085,43.66812227074236,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,35.714285714285715,9999.0,188.67924528301887,9999.0,9999.0,61.34969325153375,92.59259259259258,227.27272727272725,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,83.33333333333333,9999.0,135.13513513513513,9999.0,9999.0,270.27027027027026,588.2352941176471,9999.0,9999.0,277.77777777777777,9999.0,9999.0,18.69158878504673,9999.0,714.2857142857143
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,1000.0,0.0,9999.0,9999.0,17.094017094017094,69.44444444444444,34.013605442176875,60.975609756097555,9999.0,204.08163265306123,9999.0,100.0,9999.0,9999.0,9999.0,9999.0,9999.0,12.484394506866415,9999.0,9999.0,9999.0,9999.0,14.749262536873157,13.422818791946309,14.641288433382138,9999.0,9999.0,16.077170418006432,9999.0,9999.0,9999.0,9999.0,9999.0,204.08163265306123,9999.0,9999.0,23.419203747072597,9999.0,22.22222222222222,9999.0,9999.0,12.062726176115802,9999.0,19.193857965451055,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,11.074197120708748
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,80.64516129032258,9999.0,0.0,9999.0,10.718113612004288,149.2537313432836,23.64066193853428,30.8641975308642,9999.0,22.075055187637968,9999.0,204.08163265306123,9999.0,9999.0,9999.0,9999.0,9999.0,17.793594306049823,9999.0,9999.0,9999.0,9999.0,12.5,12.091898428053206,13.679890560875513,9999.0,9999.0,15.4320987654321,9999.0,9999.0,9999.0,9999.0,9999.0,285.7142857142857,9999.0,9999.0,12.376237623762377,9999.0,12.69035532994924,9999.0,9999.0,10.34126163391934,9999.0,17.33102253032929,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,12.903225806451614
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,212.7659574468085,9999.0,9999.0,0.0,74.6268656716418,1000.0,156.25,149.2537313432836,9999.0,66.2251655629139,9999.0,909.090909090909,9999.0,9999.0,9999.0,9999.0,9999.0,133.33333333333334,9999.0,9999.0,9999.0,9999.0,74.6268656716418,63.291139240506325,81.30081300813008,9999.0,9999.0,89.28571428571429,9999.0,9999.0,9999.0,9999.0,9999.0,454.5454545454545,9999.0,9999.0,74.07407407407408,9999.0,86.20689655172414,9999.0,9999.0,68.02721088435375,9999.0,106.38297872340425,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,84.03361344537815
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,43.66812227074236,17.094017094017094,10.718113612004288,74.6268656716418,0.0,67.11409395973155,23.31002331002331,40.16064257028113,9999.0,357.14285714285717,9999.0,77.51937984496124,9999.0,9999.0,9999.0,9999.0,9999.0,18.867924528301888,9999.0,27.027027027027028,9999.0,9999.0,15.174506828528072,14.903129657228016,9999.0,9999.0,9999.0,55.865921787709496,9999.0,9999.0,9999.0,9999.0,9999.0,43.47826086956522,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,13.280212483399733,15.243902439024389,9999.0,30.959752321981423,9999.0,9999.0,1000.0,9999.0,18.34862385321101
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,69.44444444444444,149.2537313432836,1000.0,67.11409395973155,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,37.59398496240602,9999.0,1000.0,9999.0,9999.0,250.0,105.26315789473685,121.95121951219511,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,144.92753623188406,9999.0,9999.0,77.51937984496124,50.25125628140703,9999.0,9999.0,370.3703703703703,9999.0,9999.0,84.03361344537815,9999.0,65.78947368421052
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,34.013605442176875,23.64066193853428,156.25,23.31002331002331,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,42.37288135593221,9999.0,65.78947368421052,9999.0,9999.0,31.446540880503143,28.73563218390805,32.57328990228013,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,26.246719160104984,9999.0,28.248587570621467,9999.0,9999.0,25.188916876574307,25.510204081632654,9999.0,9999.0,84.74576271186442,9999.0,9999.0,53.191489361702125,9999.0,31.545741324921135
confidence_in_international_organizations|WVS_E,9999.0,9999.0,9999.0,60.975609756097555,30.8641975308642,149.2537313432836,40.16064257028113,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,303.03030303030306,9999.0,68.02721088435375,9999.0,9999.0,38.75968992248062,33.67003367003367,44.052863436123346,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,29.850746268656714,9999.0,40.0,9999.0,9999.0,34.96503496503497,44.44444444444444,9999.0,9999.0,90.09009009009009,9999.0,9999.0,37.735849056603776,9999.0,63.69426751592357
