construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,58.885108467576806,54.44809930559365,47.60684073680741,85.13420764621863,94.4977008806796,54.14434956938273,48.61007302583864,67.93803314050398,108.9309262296036,55.311515257621146,50.63805175787259,75.64400555639604,62.242270536077285,55.013133382529766,68.27473606122355,59.427394842631635,50.88694005680402,45.75611988103409,36.231884057971016,62.201954266986775,56.10207765215149,58.8698480485257,64.19201355914822,30.395136778115504,56.55708731000354,60.42516680814553,60.24588304677222,66.93233230148614,64.76236875808712,53.174180058297736,63.58901545256227,54.7260370214245,48.000770580932404,68.26329947096264,64.45122591404501,43.728470111448836,64.64597135740736,66.10942249240122,51.80841300937889,94.72745581806177,71.8490810427601,69.30564261469138,61.09195689061694,9999.0,43.298362584567116,51.809000882439456,65.21382661970488,46.52416903618002,76.26669641114303,73.11991371703108,55.7577793778236,51.046698872785825
authoritarian_governance_tolerance|WVS_E,58.885108467576806,0.0,14.32304239562028,31.08753119169641,50.76571310939074,89.79771124157014,9.881422924901186,35.558557861232494,24.87793864476618,71.64198814770795,13.157894736842106,17.377034082991567,58.65723572769308,45.69427276473012,14.816867551750207,18.281535648994517,21.958946016820555,31.79038104107954,25.654293587361753,24.438234117387125,27.905994509307025,46.77172007491459,14.705882352941176,30.028783954364986,28.489971689461303,31.152647975077883,42.64721147144743,20.870118507913784,21.929824561403507,21.70227426234933,42.41894005673533,18.01801801801802,37.735849056603776,22.172949002217294,26.479402840602372,21.391131418307225,19.342359767891683,21.58587686166957,23.304947143615784,22.93577981651376,51.66736132232398,17.271157167530223,35.92281943017993,20.4448128194502,9999.0,17.259544684574003,8.748906386701663,19.880715705765407,12.360939431396787,44.00650905164995,38.95668411224785,14.583212104321266,30.509759758075553
autocracy_support|WVS_E,54.44809930559365,14.32304239562028,0.0,26.65052202971325,46.53396887945224,85.36070207958699,6.93000693000693,32.383787483449446,21.703168266983134,68.4672177699249,10.26694045174538,14.202263705208523,54.22022656570992,41.25726360274697,11.64209717396716,16.80672268907563,18.726591760299623,28.615610663296497,17.094017094017094,20.001224955403966,24.73122413152398,43.59694969713154,10.741138560687432,25.591774792381827,24.052962527478144,40.32642820743649,39.47244109366438,15.822784810126581,16.80672268907563,18.527503884566286,39.24416967895228,14.5985401459854,48.38386277078715,28.248587570621467,23.304632462819328,18.21636104052418,15.06024096385542,16.835016835016834,19.880715705765407,20.04008016032064,48.49259094454093,18.38235294117647,32.74804905239688,17.270042441667155,9999.0,14.084774306790958,5.574136008918617,15.923566878980893,7.923930269413629,39.569499889666794,34.519674950264694,11.408441726538221,26.072750596092394
child_qualities_autonomy_self_expression|WVS_A,47.60684073680741,31.08753119169641,26.65052202971325,0.0,57.33663037033823,81.31426806125602,30.671088093067862,35.426640206415044,41.47814057465553,87.77699229434502,25.38071065989848,33.97723601288092,61.50497953776643,49.0588377166537,27.215556106649366,43.34481748655859,31.629817566751235,37.703507237380435,32.572687061610495,18.214936247723134,41.048020331728196,42.91864483272791,31.072270772645304,36.39443628326782,17.21170395869191,38.540139499755654,47.24173398872193,37.47032043780314,39.13475502560574,37.84705065131301,39.99074723887414,35.79143817668188,41.542604202000916,34.48275862068965,40.465722195082236,37.99133334819658,30.545037292025242,38.18607879155893,39.90514907350513,37.3134328358209,68.26756325221334,45.03287497088972,52.52302136006928,37.04501474933955,9999.0,30.114929765143522,25.349108316591014,37.810561225948476,18.726591760299623,50.37216138055278,45.32233644115068,27.960202101943207,32.67973856209151
child_qualities_conformity_tradition|WVS_A,85.13420764621863,50.76571310939074,46.53396887945224,57.33663037033823,0.0,116.04681042021195,47.16981132075472,68.8264581972199,58.145838980753595,87.54529849322907,47.397384831479734,50.64493441897898,84.9063349063349,71.94337194337194,47.099002956388354,63.22826433629757,51.51326441649022,65.05828137706695,62.94268198321529,50.687333296028946,40.816326530612244,80.039620410902,50.955717622384284,56.27788313300681,54.73907086810313,64.29050493436812,75.91511180743484,54.13801884390119,59.01820187534473,54.97017459833674,62.18384789813361,54.675034570790345,79.06997111141212,65.34800652447711,59.74730317658978,54.65903175429464,60.96862847649931,54.85377719765698,56.5728474796032,66.57404903977287,84.93526165831139,62.05688688300972,66.00524340718655,53.71271315543761,9999.0,50.527445020561416,42.016806722689076,55.421632459954495,38.61003861003861,70.25560823029177,64.29050493436812,47.84364895168219,56.758858936717374
child_qualities_prosocial_diligence|WVS_A,94.4977008806796,89.79771124157014,85.36070207958699,81.31426806125602,116.04681042021195,0.0,87.85177689383133,82.31750035028723,100.18832062452927,129.3736000617904,85.48020147025947,84.34547908232119,108.64952041422632,95.94969786052589,85.9257361565231,101.98216338567215,90.33999761662497,84.59436738125262,79.46354720548268,65.35947712418302,82.64462809917356,89.8095049766001,89.78245082251904,95.10461633314155,64.1025641025641,85.68468037621554,94.13259413259414,93.95331037122082,97.84493507547947,96.55723070118674,86.88160738274634,94.5016182265556,88.4334643458731,81.708197905381,99.17590224495596,96.7015133980703,77.43589743589743,96.89625884143265,98.61532912337887,85.51584033382748,126.97774330208706,103.74305502076345,103.01306993913997,94.79938421506554,9999.0,77.00578990901572,84.05928836646474,96.5207412758222,77.43677181017335,107.73235848011522,104.03251649102441,86.67038215181694,80.17429193899783
civic_dishonesty_tolerance|WVS_F,54.14434956938273,9.881422924901186,6.93000693000693,30.671088093067862,47.16981132075472,87.85177689383133,0.0,32.13163125100768,20.79002079002079,68.21506153748314,9.652509652509652,11.961722488038278,58.24079262906453,45.277829666101574,6.978367062107466,20.242914979757085,15.1285930408472,28.363454430854727,15.772870662460567,24.021791018758577,24.47906789908221,43.34479346468978,10.111223458038422,24.03846153846154,23.749212791267233,41.03407089997907,39.220284861222616,15.698587127158554,16.666666666666668,15.1285930408472,38.99201344651052,14.814814814814813,47.61727198150496,30.395136778115504,21.459227467811157,15.552099533437016,15.552099533437016,18.158950251444757,19.87802053339097,26.97008709032757,48.240434712099166,23.364485981308412,32.49589281995511,17.017886209225384,9999.0,10.845986984815617,5.321979776476849,16.077170418006432,11.944496332768239,43.5900659530214,38.5402410136193,6.849315068493151,30.093316659447005
confidence_in_civil_society_organizations|WVS_E,48.61007302583864,35.558557861232494,32.383787483449446,35.426640206415044,68.8264581972199,82.31750035028723,32.13163125100768,0.0,42.93868373259535,89.70273323553712,41.78414090351733,35.43777917082073,63.46380502600367,50.062070005684916,32.877612639579375,48.028572576765825,40.01969110464972,38.70673952641165,33.57591935064172,24.096385542168672,44.642857142857146,43.921877121759124,42.2428547090461,51.10001255379042,18.214936247723134,44.42158879420119,48.244966277753164,38.93086359574295,48.41682785461101,39.763019350178496,40.99397952790537,39.4678793226321,42.545836491032134,35.820570050540034,44.54014792843154,39.451876506136394,31.548269581056466,39.64662194949874,41.36569223144495,39.62821247898652,69.72810641015315,46.84973163485147,53.98356451800909,38.50555790727937,9999.0,31.118162054174746,26.80965147453083,40.21447721179625,33.432168030822226,64.08649588075066,60.02791271167329,32.64395719215044,38.911200356983485
confidence_in_domestic_institutions|WVS_E,67.93803314050398,24.87793864476618,21.703168266983134,41.47814057465553,58.145838980753595,100.18832062452927,20.79002079002079,42.93868373259535,0.0,79.0221140190708,26.954177897574123,24.75715995435442,69.04784511065219,56.08488214768924,22.19699342311306,35.3356890459364,29.339071888183405,39.17050691244239,36.56289145248136,34.828843500346245,35.28612038066988,54.15184594627745,27.77777777777778,40.41939333732411,37.542896362388475,55.15404675237877,50.027337342810284,28.250244379276637,37.45668745668746,29.082400133712184,49.79906592809819,28.787260106165782,61.87379660569748,47.025994617288134,33.859528711965226,28.77125728967008,29.069767441860463,28.966002733032425,30.685073014978634,41.25466039876803,59.047487193686834,36.169112418385154,43.30294530154278,27.824938690813052,9999.0,24.639670555936856,16.129032258064516,29.53385799532993,22.751548814355907,54.39711843460907,49.34729349520697,21.96333797568412,40.90036914103467
confidence_in_international_organizations|WVS_E,108.9309262296036,71.64198814770795,68.4672177699249,87.77699229434502,87.54529849322907,129.3736000617904,68.21506153748314,89.70273323553712,79.0221140190708,0.0,75.18796992481204,71.5212094572962,115.34669683034168,102.38373386737874,68.96104292605483,60.975609756097555,67.64947405466702,71.60459385316409,75.38226709155666,81.12769522003573,46.728971962616825,100.78302601667087,78.17551284311998,86.71824505701359,78.5357894514881,70.2031503663727,86.88961453289795,75.01429388221841,84.50025814108645,75.84644963665396,68.09649333013819,75.55130960910755,81.30081300813008,63.291139240506325,80.623578214907,75.53530679261185,81.81379341849927,75.7300522359742,77.4491225179204,88.0187099017098,105.8115366966286,59.523809523809526,71.91788883919114,69.25149448513935,9999.0,65.63256364503648,62.893081761006286,76.2979074982717,69.0504005340454,81.94023956825063,70.2031503663727,68.72738747862589,87.19922086072415
