,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authoritarian_governance_tolerance|WVS_E,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocracy_support|WVS_E,,,0.0,,0.0064,-0.0101,0.0084,-0.0004,,,,,,,,,,,,,0.0003,,-0.0072,,,0.0038,0.0003,0.0029,,,,,,,,,,,,-0.008,,-0.0051,,,0.0059,-0.0001,,,0.0029,,0.0092,,,
basic_needs_deprivation|WVS_H,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,,,0.0064,,0.0,,,0.0324,-0.0063,0.0135,-0.0168,,,,-0.0042,,,,,,0.0164,,,,,0.0258,0.0118,0.0397,,,0.0296,,,,,,-0.0021,,,-0.0398,,0.0332,,,0.043,,-0.0186,,,,,,,
child_qualities_conformity_tradition|WVS_A,,,-0.0101,,,0.0,,-0.0264,0.0015,-0.0072,0.0187,,,,0.0042,,,,,,-0.0073,,,,,-0.0229,-0.0126,-0.0368,,,-0.0382,,,,,,0.0016,,,0.0497,,-0.025,,,-0.0416,,0.0177,,,,,,,
child_qualities_prosocial_diligence|WVS_A,,,0.0084,,,,0.0,0.0081,0.0002,-0.0023,-0.0016,,,,0.0041,,,,,,0.013,,,,,0.0076,0.0025,0.0079,,,0.0131,,,,,,-0.01,,,-0.0062,,-0.0154,,,0.0144,,-0.0135,,,,,,,
civic_dishonesty_tolerance|WVS_F,,,-0.0004,,0.0324,-0.0264,0.0081,0.0,-0.0138,0.0207,-0.0103,,,,0.0031,,,,,,0.0351,,-0.0029,,,0.0318,0.0192,,,,-0.0014,,,,,,-0.0099,,,,,,,,,-0.0178,-0.0207,,-0.0024,,0.0071,,,
confidence_in_civil_society_organizations|WVS_E,,,,,-0.0063,0.0015,0.0002,-0.0138,0.0,,,,,,,,,,,,-0.0126,,-0.0018,,,-0.0074,-0.0039,-0.0137,,,,,,,,,,,,0.0027,,-0.0135,,,-0.0118,0.0062,,,0.0036,,0.003,,,
confidence_in_domestic_institutions|WVS_E,,,,,0.0135,-0.0072,-0.0023,0.0207,,0.0,,,,,,,,,,,0.0152,,0.0017,,,0.0128,0.0062,0.0216,,,,,,,,,,,,-0.011,,0.0236,,,0.0221,-0.0103,,,0.0004,,-0.0028,,,
confidence_in_international_organizations|WVS_E,,,,,-0.0168,0.0187,-0.0016,-0.0103,,,0.0,,,,,,,,,,-0.0001,,0.0076,,,-0.011,-0.0046,-0.0156,,,,,,,,,,,,0.0236,,-0.0137,,,-0.0205,0.0064,,,-0.0121,,-0.009,,,
crime_victimization|WVS_H,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_system_evaluation|WVS_E,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_values_importance|WVS_E,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,,,,-0.0042,0.0042,0.0041,0.0031,,,,,,,0.0,,,,,,0.0065,,0.0014,,,-0.0005,0.0004,0.0009,,,,,,,,,,,,0.0071,,-0.0013,,,-0.0019,0.0015,,,-0.0077,,-0.0011,,,
electoral_integrity|WVS_E,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existential_threat_worry|WVS_H,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
familial_duty_obligations|WVS_D,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female_income_threat_to_marriage|WVS_D,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom_security_tradeoff_perception|WVS_H,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender_role_traditionalism|WVS_D,,,0.0003,,0.0164,-0.0073,0.013,0.0351,-0.0126,0.0152,-0.0001,,,,0.0065,,,,,,0.0,,-0.0,,,0.0191,0.0068,0.0303,,,-0.0111,,,,,,-0.0125,,,-0.0006,,0.0196,,,0.0283,-0.0133,-0.0157,,-0.0145,,-0.0018,,,
immigrant_origin_status|WVS_G,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
importance_of_life_domains|WVS_A,,,-0.0072,,,,,-0.0029,-0.0018,0.0017,0.0076,,,,0.0014,,,,,,-0.0,,0.0,,,-0.007,-0.0022,-0.0078,,,-0.0217,,,,,,0.0013,,,0.0151,,0.0021,,,-0.0111,,0.0082,,,,,,,
institutional_threat_perception|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_organization_knowledge|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
job_scarcity_gender_discrimination|WVS_C,,,0.0038,,0.0258,-0.0229,0.0076,0.0318,-0.0074,0.0128,-0.011,,,,-0.0005,,,,,,0.0191,,-0.007,,,0.0,,0.0361,,,0.0131,,,,,,-0.0054,,,-0.0303,,0.03,,,0.0386,-0.0119,-0.0157,,0.0038,,0.0098,,,
job_scarcity_nativist_preference|WVS_C,,,0.0003,,0.0118,-0.0126,0.0025,0.0192,-0.0039,0.0062,-0.0046,,,,0.0004,,,,,,0.0068,,-0.0022,,,,0.0,0.0191,,,0.0029,,,,,,-0.0023,,,-0.0179,,0.0223,,,0.0201,-0.0056,-0.0061,,0.0022,,0.0055,,,
life_autonomy_morality_permissiveness|WVS_F,,,0.0029,,0.0397,-0.0368,0.0079,,-0.0137,0.0216,-0.0156,,,,0.0009,,,,,,0.0303,,-0.0078,,,0.0361,0.0191,0.0,,,0.0132,,,,,,-0.008,,,,,,,,,-0.0195,-0.0223,,0.0039,,0.0129,,,
multilevel_place_attachment|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
neighborhood_disorder_and_crime|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
offline_political_participation|WVS_E,,,,,0.0296,-0.0382,0.0131,-0.0014,,,,,,,,,,,,,-0.0111,,-0.0217,,,0.0131,0.0029,0.0132,,,0.0,,,,,,,,,-0.0412,,-0.0006,,,0.0257,-0.0045,,,0.0231,,0.0306,,,
online_political_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
outgroup_trust|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
perceived_negative_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
perceived_positive_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
political_information_sources|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
postmaterialist_values|WVS_E,,,,,-0.0021,0.0016,-0.01,-0.0099,,,,,,,,,,,,,-0.0125,,0.0013,,,-0.0054,-0.0023,-0.008,,,,,,,,,0.0,,,-0.0024,,-0.0019,,,-0.0072,0.0013,,,0.0091,,-0.0024,,,
precautionary_security_behaviors|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
religion_versus_secularism_orientation|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
religious_belief|WVS_F,,,-0.008,,-0.0398,0.0497,-0.0062,,0.0027,-0.011,0.0236,,,,0.0071,,,,,,-0.0006,,0.0151,,,-0.0303,-0.0179,,,,-0.0412,,,,,,-0.0024,,,0.0,,,,,,0.0114,0.0158,,-0.0216,,-0.0259,,,
religious_exclusivism|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
religious_practice_and_self_identification|WVS_F,,,-0.0051,,0.0332,-0.025,-0.0154,,-0.0135,0.0236,-0.0137,,,,-0.0013,,,,,,0.0196,,0.0021,,,0.03,0.0223,,,,-0.0006,,,,,,-0.0019,,,,,0.0,,,,-0.0218,-0.0138,,0.0102,,0.0021,,,
science_skepticism|WVS_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
science_technology_optimism|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
sexual_and_reproductive_morality_permissiveness|WVS_F,,,0.0059,,0.043,-0.0416,0.0144,,-0.0118,0.0221,-0.0205,,,,-0.0019,,,,,,0.0283,,-0.0111,,,0.0386,0.0201,,,,0.0257,,,,,,-0.0072,,,,,,,,0.0,-0.0216,-0.0251,,0.0081,,0.0179,,,
social_intolerance_outgroups|WVS_A,,,-0.0001,,,,,-0.0178,0.0062,-0.0103,0.0064,,,,0.0015,,,,,,-0.0133,,,,,-0.0119,-0.0056,-0.0195,,,-0.0045,,,,,,0.0013,,,0.0114,,-0.0218,,,-0.0216,0.0,0.0072,,,,,,,
societal_change_attitudes|WVS_E,,,,,-0.0186,0.0177,-0.0135,-0.0207,,,,,,,,,,,,,-0.0157,,0.0082,,,-0.0157,-0.0061,-0.0223,,,,,,,,,,,,0.0158,,-0.0138,,,-0.0251,0.0072,0.0,,0.001,,-0.0094,,,
socioeconomic_insecurity_worry|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
subjective_wellbeing|WVS_A,,,0.0029,,,,,-0.0024,0.0036,0.0004,-0.0121,,,,-0.0077,,,,,,-0.0145,,,,,0.0038,0.0022,0.0039,,,0.0231,,,,,,0.0091,,,-0.0216,,0.0102,,,0.0081,,0.001,,0.0,,,,,
violence_tolerance|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
voluntary_association_active_membership|WVS_A,,,0.0092,,,,,0.0071,0.003,-0.0028,-0.009,,,,-0.0011,,,,,,-0.0018,,,,,0.0098,0.0055,0.0129,,,0.0306,,,,,,-0.0024,,,-0.0259,,0.0021,,,0.0179,,-0.0094,,,,0.0,,,
voluntary_association_belonging|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
voting_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
work_ethic|WVS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
