construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,144.25625347687898,99.00990099009901,119.04761904761905,136.8886888688869,199.1765147635043,168.29723130684107,152.485836818976,9999.0,9999.0,9999.0,259.9756957587107,9999.0,9999.0,9999.0,9999.0,9999.0,158.38405157449694,9999.0,138.88888888888889,9999.0,9999.0,142.67802326084137,172.79960630965508,126.18381403357728,9999.0,9999.0,125.1879114613032,9999.0,9999.0,9999.0,9999.0,9999.0,219.04761904761904,9999.0,9999.0,119.13062533617547,9999.0,139.00990099009903,9999.0,9999.0,123.04836252856055,169.34465882485682,155.50707613134193,9999.0,165.42692163247176,9999.0,108.69565217391305,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,144.25625347687898,9999.0,0.0,45.24635248677997,92.70025839793281,30.8641975308642,98.18161760650132,68.50468273176891,59.523809523809526,9999.0,9999.0,9999.0,165.97069856323873,9999.0,9999.0,9999.0,9999.0,9999.0,58.19221720660731,9999.0,79.86673309253953,9999.0,9999.0,38.75968992248062,73.0070577345829,25.188916876574307,9999.0,9999.0,33.78378378378378,9999.0,9999.0,9999.0,9999.0,9999.0,131.87429854096519,9999.0,9999.0,25.125628140703515,9999.0,30.12048192771084,9999.0,9999.0,23.255813953488374,69.55211024978466,53.763440860215056,9999.0,71.4219244369998,9999.0,63.735666750742126,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,99.00990099009901,9999.0,45.24635248677997,0.0,93.48290598290598,37.87878787878788,100.16661377340527,69.28733031674207,53.475935828877,9999.0,9999.0,9999.0,160.96579476861166,9999.0,9999.0,9999.0,9999.0,9999.0,59.37415058439794,9999.0,72.26095977995995,9999.0,9999.0,43.66812227074236,73.78970531955608,27.17391304347826,9999.0,9999.0,26.17801047120419,9999.0,9999.0,9999.0,9999.0,9999.0,138.88888888888889,9999.0,9999.0,20.120724346076457,9999.0,40.0,9999.0,9999.0,24.03846153846154,70.33475783475782,56.497175141242934,9999.0,66.41702064237275,9999.0,58.730762956115065,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,119.04761904761905,9999.0,92.70025839793281,93.48290598290598,0.0,105.41310541310541,139.009139009139,107.30794629099714,118.22493224932249,9999.0,9999.0,9999.0,230.76923076923077,9999.0,9999.0,9999.0,9999.0,9999.0,76.92307692307692,9999.0,122.41882717135117,9999.0,9999.0,95.35118019573977,109.7781142624192,109.92637725310992,9999.0,9999.0,76.33587786259541,9999.0,9999.0,9999.0,9999.0,9999.0,100.0,9999.0,9999.0,100.60772252278959,9999.0,64.93506493506493,9999.0,9999.0,69.44444444444444,110.80662456809245,74.07407407407408,9999.0,119.62592115263871,9999.0,109.01561642468693,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,136.8886888688869,9999.0,30.8641975308642,37.87878787878788,105.41310541310541,0.0,72.46376811594203,48.309178743961354,90.38800705467372,9999.0,9999.0,9999.0,182.33618233618233,9999.0,9999.0,9999.0,9999.0,9999.0,28.49002849002849,9999.0,110.13974765874784,9999.0,9999.0,31.446540880503143,52.083333333333336,56.05311440743851,9999.0,9999.0,64.05679834999208,9999.0,9999.0,9999.0,9999.0,9999.0,101.010101010101,9999.0,9999.0,55.989825671567715,9999.0,60.984679458575044,9999.0,9999.0,54.120011484352574,56.17977528089888,48.309178743961354,9999.0,97.4555457314078,9999.0,94.59986428160633,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,199.1765147635043,9999.0,98.18161760650132,100.16661377340527,139.009139009139,72.46376811594203,0.0,116.44695543000628,133.52625051674246,9999.0,9999.0,9999.0,233.2112332112332,9999.0,9999.0,9999.0,9999.0,9999.0,79.36507936507937,9999.0,169.73921785719605,9999.0,9999.0,100.69353175485776,118.91712340142834,72.99270072992701,9999.0,9999.0,123.6562685484403,9999.0,9999.0,9999.0,9999.0,9999.0,159.36507936507937,9999.0,9999.0,120.28733811948173,9999.0,74.07407407407408,9999.0,9999.0,84.74576271186442,119.94563370710159,117.83575005728127,9999.0,148.33059660645867,9999.0,140.61168449957393,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,168.29723130684107,9999.0,68.50468273176891,69.28733031674207,107.30794629099714,48.309178743961354,116.44695543000628,0.0,94.02935658315859,9999.0,9999.0,9999.0,219.63562753036436,9999.0,9999.0,9999.0,9999.0,9999.0,65.78947368421052,9999.0,130.24232392361216,9999.0,9999.0,71.15560452957587,87.21593068328647,46.29629629629629,9999.0,9999.0,84.1593746148564,9999.0,9999.0,9999.0,9999.0,9999.0,145.78947368421052,9999.0,9999.0,89.40805466281853,9999.0,42.37288135593221,9999.0,9999.0,45.24886877828054,88.24444098895972,85.08950622847973,9999.0,127.4494179048997,9999.0,101.11479056599003,9999.0,9999.0,9999.0
