,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,909.090909090909,625.0,45.45454545454546,588.2352941176471,84.03361344537815,196.078431372549,217.3913043478261,140.8450704225352,9999.0,9999.0,555.5555555555555,65.35947712418302,204.08163265306123,9999.0,117.6470588235294,227.27272727272725,9999.0,99.00990099009901,212.7659574468085,85.47008547008546,44.44444444444444,64.93506493506493,90.09009009009009,105.26315789473685,9999.0,9999.0,28.901734104046245,714.2857142857143,1000.0,1000.0,55.55555555555556,1000.0,9999.0,163.93442622950818,322.5806451612903,357.14285714285717,1000.0,500.0,81.30081300813008,51.81347150259067,46.29629629629629,625.0,9999.0,92.59259259259258,1000.0,58.13953488372093,102.04081632653062
authoritarian_governance_tolerance|WVS_E,909.090909090909,0.0,9999.0,153.84615384615384,322.5806451612903,227.27272727272725,238.0952380952381,9999.0,9999.0,9999.0,67.11409395973155,9999.0,9999.0,9999.0,82.64462809917356,136.986301369863,243.90243902439022,357.14285714285717,144.92753623188406,1000.0,9999.0,555.5555555555555,238.0952380952381,60.24096385542168,181.81818181818184,9999.0,9999.0,9999.0,116.27906976744185,178.57142857142858,212.7659574468085,9999.0,9999.0,9999.0,204.08163265306123,204.08163265306123,84.03361344537815,72.99270072992701,106.38297872340425,9999.0,83.33333333333333,83.33333333333333,9999.0,126.58227848101265,232.5581395348837,909.090909090909,9999.0,129.87012987012986
autocracy_support|WVS_E,625.0,9999.0,0.0,48.07692307692308,1000.0,74.07407407407408,333.3333333333333,9999.0,9999.0,9999.0,63.69426751592357,9999.0,9999.0,9999.0,33.333333333333336,500.0,119.04761904761905,129.87012987012986,714.2857142857143,119.04761904761905,9999.0,44.642857142857146,71.94244604316548,28.248587570621467,434.7826086956522,9999.0,9999.0,9999.0,51.81347150259067,217.3913043478261,370.3703703703703,9999.0,9999.0,9999.0,94.33962264150944,106.38297872340425,51.81347150259067,47.84688995215311,48.543689320388346,9999.0,34.84320557491289,26.80965147453083,9999.0,65.35947712418302,277.77777777777777,1000.0,9999.0,204.08163265306123
child_qualities_autonomy_self_expression|WVS_A,45.45454545454546,153.84615384615384,48.07692307692308,0.0,9999.0,9999.0,106.38297872340425,46.728971962616825,37.3134328358209,9999.0,68.9655172413793,227.27272727272725,19.305019305019304,87.71929824561403,73.52941176470588,37.3134328358209,49.75124378109453,38.75968992248062,25.839793281653748,9999.0,25.77319587628866,11.299435028248588,19.23076923076923,16.722408026755854,29.761904761904763,9999.0,9999.0,6.91085003455425,82.64462809917356,500.0,1000.0,11.848341232227488,588.2352941176471,9999.0,42.19409282700422,133.33333333333334,46.948356807511736,125.0,48.07692307692308,29.761904761904763,12.453300124533001,9999.0,434.7826086956522,43.66812227074236,9999.0,476.1904761904762,35.97122302158274,33.003300330033
child_qualities_conformity_tradition|WVS_A,588.2352941176471,322.5806451612903,1000.0,9999.0,0.0,9999.0,238.0952380952381,1000.0,357.14285714285717,9999.0,1000.0,1000.0,208.33333333333334,416.6666666666667,344.82758620689657,312.5,1000.0,285.7142857142857,500.0,9999.0,666.6666666666666,312.5,185.18518518518516,1000.0,416.6666666666667,9999.0,9999.0,277.77777777777777,1000.0,588.2352941176471,1000.0,1000.0,1000.0,9999.0,1000.0,1000.0,714.2857142857143,833.3333333333334,555.5555555555555,169.49152542372883,333.3333333333333,9999.0,1000.0,357.14285714285717,9999.0,1000.0,90.90909090909092,357.14285714285717
child_qualities_prosocial_diligence|WVS_A,84.03361344537815,227.27272727272725,74.07407407407408,9999.0,9999.0,0.0,333.3333333333333,82.64462809917356,68.9655172413793,9999.0,114.9425287356322,588.2352941176471,39.52569169960474,188.67924528301887,108.69565217391305,70.4225352112676,86.95652173913044,80.0,51.02040816326531,9999.0,52.083333333333336,21.598272138228943,36.231884057971016,31.545741324921135,61.34969325153375,9999.0,9999.0,12.453300124533001,126.58227848101265,714.2857142857143,1000.0,21.09704641350211,1000.0,9999.0,81.96721311475409,250.0,76.92307692307692,158.73015873015873,84.03361344537815,64.93506493506493,23.980815347721823,9999.0,909.090909090909,79.36507936507937,9999.0,833.3333333333334,103.09278350515464,71.94244604316548
civic_dishonesty_tolerance|WVS_F,196.078431372549,238.0952380952381,333.3333333333333,106.38297872340425,238.0952380952381,333.3333333333333,0.0,1000.0,153.84615384615384,9999.0,100.0,1000.0,61.34969325153375,136.986301369863,175.43859649122805,232.5581395348837,1000.0,123.4567901234568,1000.0,169.49152542372883,123.4567901234568,400.0,81.96721311475409,9999.0,263.1578947368421,9999.0,9999.0,78.125,416.6666666666667,277.77777777777777,357.14285714285717,416.6666666666667,204.08163265306123,9999.0,9999.0,9999.0,9999.0,9999.0,109.89010989010988,64.1025641025641,9999.0,107.52688172043011,1000.0,82.64462809917356,54.94505494505494,9999.0,30.8641975308642,128.2051282051282
confidence_in_civil_society_organizations|WVS_E,217.3913043478261,9999.0,9999.0,46.728971962616825,1000.0,82.64462809917356,1000.0,0.0,9999.0,9999.0,120.48192771084337,9999.0,9999.0,9999.0,73.52941176470588,188.67924528301887,156.25,144.92753623188406,161.29032258064515,178.57142857142858,9999.0,45.45454545454546,72.46376811594203,45.87155963302752,175.43859649122805,9999.0,9999.0,9999.0,117.6470588235294,476.1904761904762,769.2307692307693,9999.0,9999.0,9999.0,131.57894736842104,454.5454545454545,99.00990099009901,111.11111111111111,92.59259259259258,9999.0,40.32258064516129,35.842293906810035,9999.0,769.2307692307693,277.77777777777777,1000.0,9999.0,416.6666666666667
confidence_in_domestic_institutions|WVS_E,140.8450704225352,9999.0,9999.0,37.3134328358209,357.14285714285717,68.9655172413793,153.84615384615384,9999.0,0.0,9999.0,142.85714285714286,9999.0,9999.0,9999.0,58.47953216374269,86.20689655172414,172.41379310344828,75.75757575757576,84.74576271186442,96.15384615384616,9999.0,32.78688524590164,42.37288135593221,46.948356807511736,94.33962264150944,9999.0,9999.0,9999.0,119.04761904761905,1000.0,1000.0,9999.0,9999.0,9999.0,106.38297872340425,434.7826086956522,121.95121951219511,149.2537313432836,119.04761904761905,9999.0,33.78378378378378,28.409090909090907,9999.0,370.3703703703703,97.08737864077669,1000.0,9999.0,119.04761904761905
confidence_in_international_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
