construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,importance_of_life_domains|WVS_A,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,177.3459788726964,101.010101010101,153.84615384615384,177.69132975716212,139.86013986013987,136.0978203083466,115.80162956309746,153.96368337544808,188.71025638407423,186.20913969751177,237.99640237996402,179.82017982017982,176.03277159705596,9999.0,177.69132975716212,9999.0,132.84540947629304,113.78971905287695,9999.0,148.83180403411617,260.13670708163073,131.65787878278738,9999.0,141.20468539004838,102.50335983235007,9999.0,189.74089494320708,9999.0,9999.0,119.29163665909552,305.0389195107669,153.52376799561537,153.77685897917112,148.79965612864635,117.6470588235294,133.36755736321425,103.09278350515464,190.85918870401628,104.65229215229215,155.6948491940522,142.50387694371096,69.93006993006993,112.35955056179776,158.73015873015873,98.83180403411617,9999.0
autocracy_support|WVS_E,9999.0,177.3459788726964,0.0,76.33587786259541,233.50630240047883,174.1482821765477,156.43157661955178,111.42359716084101,111.1790834375083,192.59259259259258,168.691487585664,243.59388458225666,213.32217923245844,237.20492470492468,158.3116810275135,9999.0,174.1482821765477,9999.0,122.84750576957217,101.010101010101,9999.0,140.4384419651595,235.46248393412515,115.70595660275289,9999.0,119.81413873216063,98.96031225173567,9999.0,193.56075824537055,9999.0,9999.0,94.61741351158993,296.6742252456538,149.98072041500097,129.2459307726483,139.46046283894418,124.64505660655676,129.5824484766249,133.83309978609975,176.3358778625954,92.59259259259258,152.15180161343778,117.82965379620538,127.31481481481481,133.0789519731284,198.2870973747905,102.65166733627962,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,101.010101010101,76.33587786259541,0.0,157.1704245378834,97.8124043139523,80.09569875695637,35.08771929824561,34.84320557491289,125.51020408163265,92.3556097230686,171.47679405886225,136.986301369863,165.0878341815303,81.97580316491809,9999.0,97.8124043139523,9999.0,46.51162790697675,37.11392736274216,9999.0,64.1025641025641,159.12660607152972,39.37007874015748,9999.0,43.47826086956522,22.62443438914027,9999.0,117.22488038277513,9999.0,9999.0,18.281535648994517,225.1599940675571,73.64484255240558,52.91005291005291,63.12458497634877,48.309178743961354,53.24657061402948,57.49722192350433,100.0,25.510204081632654,75.81592375084239,41.49377593360996,55.1977242914204,56.74307411053297,121.95121951219511,26.315789473684212,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,153.84615384615384,233.50630240047883,157.1704245378834,0.0,226.80887887471124,188.97768897768898,185.61697502780305,164.91917868064658,203.0812324929972,212.96296296296296,178.57142857142858,294.1567259077464,228.93772893772893,202.58315640481246,9999.0,226.80887887471124,9999.0,172.41379310344828,157.72128060263654,9999.0,193.53369763205828,279.7339593114241,166.28614916286148,9999.0,171.35642135642135,151.6209089498992,9999.0,238.8584440607562,9999.0,9999.0,138.88888888888889,354.156468628316,202.6413171131645,180.72989307298928,183.73193821624315,169.65811965811966,173.85392385392385,178.1045751633987,239.9767378215654,153.76984126984127,204.6783625730994,191.7926549580542,119.04761904761905,177.35042735042734,217.08683473389357,147.9493531516653,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,177.69132975716212,174.1482821765477,97.8124043139523,226.80887887471124,0.0,132.65923429262813,115.88074720333994,113.9737332058572,184.03361344537814,161.39486647653618,224.04032959453403,234.79870568381534,217.65136971720204,148.71738168951794,9999.0,150.37593984962407,9999.0,124.9226963512678,94.45579266084286,9999.0,140.90909090909093,233.91812865497076,104.34248887524936,9999.0,114.71366162441677,75.18796992481204,9999.0,181.81818181818184,9999.0,9999.0,93.45794392523365,277.7235296032289,126.20837808807735,135.29894810933405,121.48426622110833,107.97485517071368,106.05216745567624,130.7435254803676,170.2405099971023,84.03361344537815,128.37945928651416,122.05642713359109,107.76125982709218,130.7435254803676,197.6246105919003,90.90909090909092,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,139.86013986013987,156.43157661955178,80.09569875695637,188.97768897768898,132.65923429262813,0.0,106.92403192859479,105.01701793111204,153.96368337544808,143.67816091954023,186.20913969751177,217.0820001268194,179.82017982017982,131.000676132522,9999.0,132.65923429262813,9999.0,110.9366823652538,76.73908710384693,9999.0,126.92307692307692,216.20142309797484,86.62578331825341,9999.0,96.99695606742084,57.4712643678161,9999.0,167.83216783216784,9999.0,9999.0,92.31827748097783,260.00682404623296,108.4916725310814,119.9712643678161,103.76756066411238,90.25814961371773,88.3354618986803,113.02681992337165,161.28379472235713,75.076898170633,110.66275372951822,113.09971185884592,69.93006993006993,113.02681992337165,167.96928561634445,76.92307692307692,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,136.0978203083466,111.42359716084101,35.08771929824561,185.61697502780305,115.88074720333994,106.92403192859479,0.0,61.78725351844083,131.84713375796179,123.16258714238069,182.84842574762587,172.07402066810863,176.4594658702939,112.78278058423018,9999.0,124.64073748559072,9999.0,61.34969325153375,35.2112676056338,9999.0,85.47008547008546,189.9335834908418,50.25125628140703,9999.0,61.34969325153375,49.45276756077868,9999.0,143.29010557054346,9999.0,9999.0,49.08851306830661,235.92876641102302,100.473175724044,78.125,93.93156239566088,62.5,69.44444444444444,88.30419934281642,118.05403030968593,31.847133757961785,93.95893500019781,69.8699474461747,66.56935598018401,87.55005152984506,153.2551797349733,52.38101466145255,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,115.80162956309746,111.1790834375083,34.84320557491289,164.91917868064658,113.9737332058572,105.01701793111204,61.78725351844083,0.0,129.90517307840568,121.25557314489794,162.15062940046937,171.82950694477591,155.7616695231374,110.87576658674743,9999.0,122.73372348810798,9999.0,47.84688995215311,30.769230769230766,9999.0,66.66666666666667,188.02656949335906,49.504950495049506,9999.0,59.523809523809526,47.545753563295946,9999.0,129.87012987012986,9999.0,9999.0,47.18149907082387,234.02175241354027,98.56616172656126,70.92198581560284,92.02454839817813,73.68768570485308,68.4931506849315,86.39718534533367,116.14701631220319,29.940119760479043,92.05192100271506,67.96293344869197,45.87155963302752,85.64303753236233,143.91077531930202,50.474000663969804,9999.0
confidence_in_international_organizations|WVS_E,9999.0,153.96368337544808,192.59259259259258,125.51020408163265,203.0812324929972,184.03361344537814,153.96368337544808,131.84713375796179,129.90517307840568,0.0,191.3154533844189,200.31268321282,262.49650545149564,193.92372333548803,180.9356468262684,9999.0,191.66666666666669,9999.0,84.74576271186442,119.04761904761905,9999.0,125.0,258.08644973288006,144.63863958431745,9999.0,142.91845493562232,116.60690334765829,9999.0,174.8358528019545,9999.0,9999.0,117.24137931034483,304.0816326530612,167.6273115109236,159.08238349444525,162.0844286376991,148.0106100795756,147.47110087852246,156.45706558485463,186.20689655172413,100.0,162.11180124223603,138.02281368821292,84.03361344537815,155.70291777188328,182.07282913165267,112.93534754942439,9999.0
