,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authoritarian_governance_tolerance|WVS_E,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocracy_support|WVS_E,,,0.0,,0.0132,-0.0011,-0.0057,-0.012,,,,,,,,,,,,,0.0071,,0.0107,,,0.016,,0.0085,,,,,,,,,,,,-0.0006,,-0.0113,,,0.0054,-0.0125,,,0.0031,,,,,
basic_needs_deprivation|WVS_H,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,,,0.0132,,0.0,,,0.0019,-0.0374,-0.0144,,,,,-0.0303,,,,,,0.0468,,,,,0.0883,,0.0662,,,0.0801,,,,,,0.0043,,,-0.0215,,0.0052,,,0.0541,,0.0249,,,,,,,
child_qualities_conformity_tradition|WVS_A,,,-0.0011,,,0.0,,-0.0011,0.0038,0.0032,,,,,0.0069,,,,,,0.0007,,,,,-0.0088,,-0.0089,,,-0.0115,,,,,,-0.0038,,,0.0056,,-0.0038,,,-0.0062,,-0.0016,,,,,,,
child_qualities_prosocial_diligence|WVS_A,,,-0.0057,,,,0.0,-0.0035,0.0215,0.0085,,,,,0.0201,,,,,,-0.0215,,,,,-0.0497,,-0.0429,,,-0.0471,,,,,,-0.0052,,,0.0149,,-0.0087,,,-0.0319,,-0.0094,,,,,,,
civic_dishonesty_tolerance|WVS_F,,,-0.012,,0.0019,-0.0011,-0.0035,0.0,-0.0085,-0.0007,,,,,-0.0094,,,,,,0.0047,,-0.0223,,,0.0108,,,,,-0.0174,,,,,,0.0015,,,,,,,,,0.0038,-0.0121,,-0.0036,,,,,
confidence_in_civil_society_organizations|WVS_E,,,,,-0.0374,0.0038,0.0215,-0.0085,0.0,,,,,,,,,,,,-0.0321,,0.0133,,,-0.0537,,-0.0498,,,,,,,,,,,,0.0156,,-0.0148,,,-0.0398,0.022,,,0.0,,,,,
confidence_in_domestic_institutions|WVS_E,,,,,-0.0144,0.0032,0.0085,-0.0007,,0.0,,,,,,,,,,,0.0014,,0.0081,,,-0.0152,,-0.0184,,,,,,,,,,,,0.0121,,-0.011,,,-0.0134,0.0021,,,-0.0061,,,,,
confidence_in_international_organizations|WVS_E,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crime_victimization|WVS_H,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_system_evaluation|WVS_E,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_values_importance|WVS_E,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,,,,-0.0303,0.0069,0.0201,-0.0094,,,,,,,0.0,,,,,,-0.009,,0.0156,,,-0.0393,,-0.0363,,,,,,,,,,,,0.0186,,-0.0198,,,-0.0289,0.0139,,,-0.0064,,,,,
electoral_integrity|WVS_E,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existential_threat_worry|WVS_H,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
familial_duty_obligations|WVS_D,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female_income_threat_to_marriage|WVS_D,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom_security_tradeoff_perception|WVS_H,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender_role_traditionalism|WVS_D,,,0.0071,,0.0468,0.0007,-0.0215,0.0047,-0.0321,0.0014,,,,,-0.009,,,,,,0.0,,0.0028,,,0.07,,0.0517,,,0.032,,,,,,-0.011,,,0.0022,,-0.0054,,,0.0431,-0.0448,0.0085,,-0.0125,,,,,
immigrant_origin_status|WVS_G,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
importance_of_life_domains|WVS_A,,,0.0107,,,,,-0.0223,0.0133,0.0081,,,,,0.0156,,,,,,0.0028,,0.0,,,-0.0145,,-0.0282,,,0.0124,,,,,,-0.0045,,,0.0174,,-0.0368,,,-0.0232,,0.0009,,,,,,,
institutional_threat_perception|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_organization_knowledge|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
job_scarcity_gender_discrimination|WVS_C,,,0.016,,0.0883,-0.0088,-0.0497,0.0108,-0.0537,-0.0152,,,,,-0.0393,,,,,,0.07,,-0.0145,,,0.0,,0.0969,,,0.0834,,,,,,-0.001,,,-0.0239,,0.0198,,,0.0829,-0.0628,0.0266,,-0.0013,,,,,
job_scarcity_nativist_preference|WVS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
life_autonomy_morality_permissiveness|WVS_F,,,0.0085,,0.0662,-0.0089,-0.0429,,-0.0498,-0.0184,,,,,-0.0363,,,,,,0.0517,,-0.0282,,,0.0969,,0.0,,,0.0729,,,,,,0.0031,,,,,,,,,-0.0405,0.0277,,0.0018,,,,,
multilevel_place_attachment|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
neighborhood_disorder_and_crime|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
offline_political_participation|WVS_E,,,,,0.0801,-0.0115,-0.0471,-0.0174,,,,,,,,,,,,,0.032,,0.0124,,,0.0834,,0.0729,,,0.0,,,,,,,,,-0.023,,-0.0115,,,0.0467,-0.0579,,,0.0163,,,,,
online_political_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
outgroup_trust|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
perceived_negative_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
perceived_positive_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
political_information_sources|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
postmaterialist_values|WVS_E,,,,,0.0043,-0.0038,-0.0052,0.0015,,,,,,,,,,,,,-0.011,,-0.0045,,,-0.001,,0.0031,,,,,,,,,0.0,,,-0.0073,,0.0065,,,0.0001,0.0024,,,0.0063,,,,,
precautionary_security_behaviors|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
religion_versus_secularism_orientation|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
religious_belief|WVS_F,,,-0.0006,,-0.0215,0.0056,0.0149,,0.0156,0.0121,,,,,0.0186,,,,,,0.0022,,0.0174,,,-0.0239,,,,,-0.023,,,,,,-0.0073,,,0.0,,,,,,0.0024,-0.0114,,-0.008,,,,,
religious_exclusivism|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
religious_practice_and_self_identification|WVS_F,,,-0.0113,,0.0052,-0.0038,-0.0087,,-0.0148,-0.011,,,,,-0.0198,,,,,,-0.0054,,-0.0368,,,0.0198,,,,,-0.0115,,,,,,0.0065,,,,,0.0,,,,0.0137,-0.0008,,0.0037,,,,,
science_skepticism|WVS_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
science_technology_optimism|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
sexual_and_reproductive_morality_permissiveness|WVS_F,,,0.0054,,0.0541,-0.0062,-0.0319,,-0.0398,-0.0134,,,,,-0.0289,,,,,,0.0431,,-0.0232,,,0.0829,,,,,0.0467,,,,,,0.0001,,,,,,,,0.0,-0.034,0.0212,,-0.0007,,,,,
social_intolerance_outgroups|WVS_A,,,-0.0125,,,,,0.0038,0.022,0.0021,,,,,0.0139,,,,,,-0.0448,,,,,-0.0628,,-0.0405,,,-0.0579,,,,,,0.0024,,,0.0024,,0.0137,,,-0.034,0.0,-0.0094,,,,,,,
societal_change_attitudes|WVS_E,,,,,0.0249,-0.0016,-0.0094,-0.0121,,,,,,,,,,,,,0.0085,,0.0009,,,0.0266,,0.0277,,,,,,,,,,,,-0.0114,,-0.0008,,,0.0212,-0.0094,0.0,,0.0065,,,,,
socioeconomic_insecurity_worry|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
subjective_wellbeing|WVS_A,,,0.0031,,,,,-0.0036,0.0,-0.0061,,,,,-0.0064,,,,,,-0.0125,,,,,-0.0013,,0.0018,,,0.0163,,,,,,0.0063,,,-0.008,,0.0037,,,-0.0007,,0.0065,,0.0,,,,,
violence_tolerance|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
voluntary_association_active_membership|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
voluntary_association_belonging|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
voting_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
work_ethic|WVS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
