,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authoritarian_governance_tolerance|WVS_E,,0.0,,,-0.0153,-0.0074,0.0043,0.0015,,,,-0.0096,,,,,-0.0073,,-0.0031,,0.0132,0.0122,0.0006,,,0.0053,0.0093,0.0033,,-0.007,,,-0.0044,,,,,0.0063,-0.0086,0.0054,-0.013,0.0039,0.0066,,-0.0086,0.0044,,0.0026,-0.0065,,,,
autocracy_support|WVS_E,,,0.0,,-0.0371,0.1081,-0.0008,-0.0737,,,,0.037,,,,,0.0145,,0.0132,,-0.0214,-0.1383,0.0247,,,-0.0295,-0.1457,-0.105,,0.0796,,,-0.0248,,,,,0.0243,0.0484,0.0253,-0.0481,-0.1484,0.0684,,-0.0493,-0.0752,,0.11,0.0244,,,,
basic_needs_deprivation|WVS_H,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,,-0.0153,-0.0371,,0.0,,,0.0103,0.002,0.0222,-0.0006,0.0268,-0.0253,0.0086,0.0001,,-0.0064,,0.0095,,0.0124,0.0202,,,,0.0188,0.0344,0.0502,,-0.0153,0.0477,,0.0236,,,0.0715,-0.0248,-0.001,0.0076,-0.0195,0.0593,0.0615,-0.0547,0.0121,0.0395,,0.0242,-0.056,,,,0.0452,
child_qualities_conformity_tradition|WVS_A,,-0.0074,0.1081,,,0.0,,-0.0731,0.0019,0.0131,0.0088,0.0324,0.075,0.0128,-0.0108,,0.0213,,0.0104,,-0.0359,-0.1538,,,,-0.0411,-0.1691,-0.1195,,0.0874,-0.0145,,-0.0302,,,-0.1357,0.0728,0.0151,0.0514,0.0296,-0.0557,-0.1659,0.0871,-0.0161,-0.0553,,-0.0669,0.1182,,,,-0.0686,
child_qualities_prosocial_diligence|WVS_A,,0.0043,-0.0008,,,,0.0,0.0088,0.0015,-0.0083,0.0019,-0.019,-0.0018,-0.0087,0.0013,,0.0045,,-0.0068,,-0.0096,0.0165,,,,-0.0063,0.0087,-0.0049,,-0.0044,-0.0192,,-0.0062,,,-0.0128,0.0033,-0.007,-0.0095,0.003,-0.0168,-0.0042,0.013,-0.0009,-0.0084,,0.0005,0.0023,,,,-0.005,
civic_dishonesty_tolerance|WVS_F,,0.0015,-0.0737,,0.0103,-0.0731,0.0088,0.0,0.0059,-0.0149,0.0032,-0.0457,-0.0567,-0.035,0.0126,,-0.0058,,-0.0134,,0.0117,0.1485,-0.0317,,,0.0092,0.1271,,,-0.0639,-0.0334,,0.0076,,,0.0627,-0.0464,-0.0269,,,,,-0.0278,0.0102,,0.0706,0.0452,-0.1012,-0.0224,,,0.0761,
confidence_in_civil_society_organizations|WVS_E,,,,,0.002,0.0019,0.0015,0.0059,0.0,,,-0.0169,,,,,0.0153,,-0.008,,-0.0298,0.0044,-0.0058,,,-0.0132,0.0008,-0.0036,,-0.0006,,,-0.0,,,,,-0.017,-0.0034,-0.0063,-0.0053,-0.0007,0.0048,,0.0001,0.0076,,0.0073,0.0031,,,,
confidence_in_domestic_institutions|WVS_E,,,,,0.0222,0.0131,-0.0083,-0.0149,,0.0,,0.0352,,,,,-0.0014,,0.0146,,0.0112,-0.035,0.0064,,,0.0024,-0.0262,-0.0059,,0.0179,,,0.0065,,,,,0.0072,0.0226,-0.0007,0.0249,-0.011,-0.0132,,0.0113,-0.0183,,-0.0048,0.0093,,,,
