construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,87.17445788384003,9999.0,58.01858252314527,29.850746268656714,56.02633237621682,62.853551225644246,98.5142118863049,51.2184884971538,91.18156868409649,9999.0,45.596537545094776,51.4869592875318,65.56611780682397,9999.0,9999.0,9999.0,9999.0,9999.0,25.06265664160401,41.84100418410041,47.84688995215311,9999.0,9999.0,55.00277640208306,29.069767441860463,59.1715976331361,9999.0,9999.0,48.32858781537315,9999.0,108.08992072003869,9999.0,9999.0,9999.0,53.39126853962101,9999.0,9999.0,25.44529262086514,9999.0,52.91005291005291,9999.0,41.132493617976266,59.30923198406977,37.3134328358209,58.48153214774281,9999.0,99.0900091351701,9999.0,9999.0,9999.0,49.63268121162858
autocracy_support|WVS_E,9999.0,87.17445788384003,0.0,9999.0,95.23809523809523,80.30349999261917,94.26614207824889,101.0595569462404,133.78068461734478,98.10104407539767,133.38052566311464,9999.0,82.6456821457268,89.83628519080361,96.85851654763572,9999.0,9999.0,9999.0,9999.0,9999.0,62.11180124223603,51.81347150259067,79.82467598438339,9999.0,9999.0,92.05192100271506,71.26872442087861,67.56756756756756,9999.0,9999.0,99.46687646568759,9999.0,140.0313356835096,9999.0,9999.0,9999.0,90.44041314025303,9999.0,9999.0,76.58358127117958,9999.0,85.47008547008546,9999.0,65.34527123195468,74.6268656716418,75.06928545607904,95.48159377333303,9999.0,150.22829778548456,9999.0,9999.0,9999.0,86.6818258122606
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,58.01858252314527,95.23809523809523,9999.0,0.0,51.76714786773118,63.15432965763181,58.13953488372093,139.78740139687636,57.14285714285714,131.02881887412275,9999.0,67.57895083471445,58.614956568946795,78.02783535682559,9999.0,9999.0,9999.0,9999.0,9999.0,47.04506993122369,62.071814976026445,74.06706583589009,9999.0,9999.0,54.94505494505494,70.34295695243193,81.96721311475409,9999.0,9999.0,22.172949002217294,9999.0,104.81757710139085,9999.0,9999.0,9999.0,70.81824092133371,9999.0,9999.0,32.57328990228013,9999.0,64.93506493506493,9999.0,58.280230776316124,45.04504504504504,62.19658508273884,88.16956491375095,9999.0,72.93437032201425,9999.0,9999.0,9999.0,63.46125130655517
child_qualities_conformity_tradition|WVS_A,9999.0,29.850746268656714,80.30349999261917,9999.0,51.76714786773118,0.0,49.77489772080274,53.7648272305312,94.76090014064698,44.96705384173971,87.42825693843855,9999.0,43.47826086956522,45.23552463211772,44.44444444444444,9999.0,9999.0,9999.0,9999.0,9999.0,28.011204481792713,28.49002849002849,36.95413319866515,9999.0,9999.0,57.95132424227175,25.31645569620253,34.129692832764505,9999.0,9999.0,38.314176245210724,9999.0,94.33962264150944,9999.0,9999.0,9999.0,56.33981637980971,9999.0,9999.0,19.193857965451055,9999.0,35.842293906810035,9999.0,18.050541516245488,59.40252759426937,34.28430775001172,54.72822040208489,9999.0,89.07559756500768,9999.0,9999.0,9999.0,40.986321332759246
child_qualities_prosocial_diligence|WVS_A,9999.0,56.02633237621682,94.26614207824889,9999.0,63.15432965763181,49.77489772080274,0.0,78.00096115071828,123.2078853046595,56.35423563164034,115.87524210245108,9999.0,52.688221739503625,56.622706422018354,74.52722219194507,9999.0,9999.0,9999.0,9999.0,9999.0,32.154340836012864,56.8218430194073,62.19363497246295,9999.0,9999.0,62.094460596491906,53.763440860215056,67.21348826611985,9999.0,9999.0,53.46433494985969,9999.0,113.22566785452524,9999.0,9999.0,9999.0,60.482952734029865,9999.0,9999.0,30.581039755351682,9999.0,74.3459439111613,9999.0,43.29004329004329,66.40091617847861,47.30585598752801,83.1752055660974,9999.0,104.22575626965666,9999.0,9999.0,9999.0,56.724365406037435
civic_dishonesty_tolerance|WVS_F,9999.0,62.853551225644246,101.0595569462404,9999.0,58.13953488372093,53.7648272305312,78.00096115071828,0.0,82.64462809917356,25.44529262086514,73.52941176470588,9999.0,41.666666666666664,70.4225352112676,70.2801341487473,9999.0,9999.0,9999.0,9999.0,9999.0,45.84662031470542,49.24608544364972,54.617877396705374,9999.0,9999.0,66.0085914798752,33.78378378378378,59.637730690362275,9999.0,9999.0,51.282051282051285,9999.0,107.26036957375854,9999.0,9999.0,9999.0,63.291139240506325,9999.0,9999.0,51.2184884971538,9999.0,66.42889917824218,9999.0,35.714285714285715,39.69280200619098,34.84320557491289,30.030030030030026,9999.0,102.04347260184824,9999.0,9999.0,9999.0,21.27659574468085
confidence_in_civil_society_organizations|WVS_E,9999.0,98.5142118863049,133.78068461734478,9999.0,139.78740139687636,94.76090014064698,123.2078853046595,82.64462809917356,0.0,101.25397716638592,131.55624568668048,9999.0,98.26288824847902,119.99002680296701,105.94079480940795,9999.0,9999.0,9999.0,9999.0,9999.0,98.01587301587301,81.96721311475409,96.25409591897528,9999.0,9999.0,121.65507265827127,69.44444444444444,105.4306155966368,9999.0,9999.0,130.09740668910425,9999.0,162.9068507521546,9999.0,9999.0,9999.0,120.21312021312022,9999.0,9999.0,107.21411149459624,9999.0,112.56307124167826,9999.0,81.50717062056025,95.33928318458705,84.74576271186442,98.85620915032679,9999.0,177.30649629934112,9999.0,9999.0,9999.0,76.92307692307692
confidence_in_domestic_institutions|WVS_E,9999.0,51.2184884971538,98.10104407539767,9999.0,57.14285714285714,44.96705384173971,56.35423563164034,25.44529262086514,101.25397716638592,0.0,91.89846781087657,9999.0,51.50481328678727,51.814862542955325,71.22774133083412,9999.0,9999.0,9999.0,9999.0,9999.0,40.244975905232224,55.102947711450156,66.17027174224242,9999.0,9999.0,49.78996787744008,42.73504273504273,56.17977528089888,9999.0,9999.0,48.65649107079667,9999.0,91.04174597132344,9999.0,9999.0,9999.0,49.247374280044525,9999.0,9999.0,25.77319587628866,9999.0,40.983606557377044,9999.0,47.26668005982276,23.474178403755868,31.847133757961785,55.475322650895166,9999.0,99.41791239059364,9999.0,9999.0,9999.0,24.330900243309003
