,acceptance_of_state_surveillance|WVS_H,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,25.188916876574307,131.57894736842104,64.51612903225806,303.03030303030306,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,36.36363636363637,833.3333333333334,144.92753623188406,9999.0,9999.0,80.64516129032258,28.328611898016998,85.47008547008546,9999.0,9999.0,9999.0,9999.0,42.5531914893617,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,232.5581395348837,9999.0,188.67924528301887,9999.0,9999.0,39.8406374501992,9999.0,9999.0,9999.0,65.35947712418302,9999.0,9999.0,9999.0,9999.0,59.880239520958085
child_qualities_autonomy_self_expression|WVS_A,9999.0,25.188916876574307,0.0,9999.0,9999.0,15.479876160990711,21.598272138228943,58.13953488372093,25.0,9999.0,38.91050583657587,250.0,41.49377593360996,9999.0,9999.0,9999.0,9999.0,9999.0,11.337868480725623,19.841269841269842,9999.0,9999.0,9999.0,19.305019305019304,9.00900900900901,11.695906432748536,9999.0,9999.0,9.18273645546373,9999.0,26.315789473684212,9999.0,9999.0,9999.0,9999.0,17.921146953405017,9999.0,9999.0,54.054054054054056,9999.0,30.581039755351682,9999.0,45.45454545454546,8.19672131147541,9999.0,12.706480304955527,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,11.049723756906078
child_qualities_conformity_tradition|WVS_A,9999.0,131.57894736842104,9999.0,0.0,9999.0,26.666666666666668,80.64516129032258,113.63636363636363,71.94244604316548,9999.0,200.0,1000.0,72.46376811594203,9999.0,9999.0,9999.0,9999.0,9999.0,51.02040816326531,40.48582995951417,9999.0,9999.0,9999.0,46.728971962616825,31.948881789137378,26.315789473684212,9999.0,9999.0,32.05128205128205,9999.0,153.84615384615384,9999.0,9999.0,9999.0,9999.0,41.1522633744856,9999.0,9999.0,46.948356807511736,9999.0,54.6448087431694,9999.0,75.75757575757576,18.79699248120301,9999.0,32.67973856209151,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,29.761904761904763
child_qualities_prosocial_diligence|WVS_A,9999.0,64.51612903225806,9999.0,9999.0,0.0,24.630541871921185,46.728971962616825,166.66666666666666,43.47826086956522,9999.0,90.09009009009009,1000.0,51.54639175257732,9999.0,9999.0,9999.0,9999.0,9999.0,40.0,38.61003861003861,9999.0,9999.0,9999.0,38.61003861003861,21.413276231263385,21.691973969631235,9999.0,9999.0,21.50537634408602,9999.0,67.11409395973155,9999.0,9999.0,9999.0,9999.0,43.29004329004329,9999.0,9999.0,51.81347150259067,9999.0,46.29629629629629,9999.0,52.35602094240838,15.174506828528072,9999.0,26.041666666666668,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,25.77319587628866
civic_dishonesty_tolerance|WVS_F,9999.0,303.03030303030306,15.479876160990711,26.666666666666668,24.630541871921185,0.0,47.61904761904761,117.6470588235294,45.87155963302752,9999.0,140.8450704225352,158.73015873015873,49.26108374384237,9999.0,9999.0,9999.0,9999.0,9999.0,46.08294930875576,16.0,21.05263157894737,9999.0,9999.0,30.395136778115504,28.49002849002849,9999.0,9999.0,9999.0,107.52688172043011,9999.0,66.66666666666667,9999.0,9999.0,9999.0,9999.0,21.50537634408602,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,76.92307692307692,9999.0,9999.0,19.193857965451055,9999.0,75.75757575757576,9999.0,9999.0,9999.0,9999.0,18.6219739292365
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,21.598272138228943,80.64516129032258,46.728971962616825,47.61904761904761,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,28.73563218390805,51.81347150259067,65.78947368421052,9999.0,9999.0,62.11180124223603,28.011204481792713,39.682539682539684,9999.0,9999.0,9999.0,9999.0,89.28571428571429,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,263.1578947368421,9999.0,90.09009009009009,9999.0,9999.0,26.7379679144385,9999.0,9999.0,9999.0,77.51937984496124,9999.0,9999.0,9999.0,9999.0,43.29004329004329
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,58.13953488372093,113.63636363636363,166.66666666666666,117.6470588235294,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,303.03030303030306,454.5454545454545,104.16666666666667,9999.0,9999.0,169.49152542372883,99.00990099009901,94.33962264150944,9999.0,9999.0,9999.0,9999.0,188.67924528301887,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,81.30081300813008,9999.0,232.5581395348837,9999.0,9999.0,67.11409395973155,9999.0,9999.0,9999.0,178.57142857142858,9999.0,9999.0,9999.0,9999.0,82.64462809917356
confidence_in_international_organizations|WVS_E,9999.0,9999.0,25.0,71.94244604316548,43.47826086956522,45.87155963302752,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,57.14285714285714,63.291139240506325,62.893081761006286,9999.0,9999.0,56.17977528089888,30.487804878048777,36.76470588235294,9999.0,9999.0,9999.0,9999.0,94.33962264150944,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,129.87012987012986,9999.0,76.92307692307692,9999.0,9999.0,25.77319587628866,9999.0,9999.0,9999.0,72.99270072992701,9999.0,9999.0,9999.0,9999.0,46.08294930875576
crime_victimization|WVS_H,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
