,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocracy_support|WVS_E,,0.0,,0.0008,0.0096,0.0103,-0.0212,,,,,,,,,,,,0.0509,,-0.0423,,,0.0403,,0.0,,,,,,,,,,,,0.0026,,,0.0149,-0.0047,,,0.0101,,,,
basic_needs_deprivation|WVS_H,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,,0.0008,,0.0,,,0.0139,-0.0003,-0.0046,-0.0035,,-0.002,,0.0001,,,,,0.005,,,,,0.029,,0.0099,,,0.0044,,,,,-0.0185,,,,-0.0011,,,0.0095,,0.0196,,,,,,
child_qualities_conformity_tradition|WVS_A,,0.0096,,,0.0,,-0.0206,-0.0158,-0.0018,-0.0067,,-0.0019,,0.002,,,,,0.0204,,,,,0.004,,-0.0077,,,0.0004,,,,,0.0095,,,,0.0004,,,0.0025,,-0.0225,,,,,,
child_qualities_prosocial_diligence|WVS_A,,0.0103,,,,0.0,-0.0067,-0.0116,0.0024,-0.0068,,-0.0054,,-0.0118,,,,,0.0196,,,,,0.0134,,0.0025,,,0.0001,,,,,-0.0108,,,,0.0032,,,0.0035,,0.0058,,,,,,
civic_dishonesty_tolerance|WVS_F,,-0.0212,,0.0139,-0.0206,-0.0067,0.0,0.0256,-0.0102,0.0101,,0.0027,,0.0204,,,,,-0.0542,,0.0447,,,-0.0106,,,,,0.0027,,,,,-0.0108,,,,,,,,0.0216,0.0289,,-0.0062,,,,
confidence_in_civil_society_organizations|WVS_E,,,,-0.0003,-0.0158,-0.0116,0.0256,0.0,,,,,,,,,,,-0.0683,,0.0749,,,-0.0697,,-0.0007,,,,,,,,,,,,-0.0019,,,-0.0249,-0.0071,,,-0.0158,,,,
confidence_in_domestic_institutions|WVS_E,,,,-0.0046,-0.0018,0.0024,-0.0102,,0.0,,,,,,,,,,0.0027,,0.0367,,,-0.0261,,-0.0009,,,,,,,,,,,,0.0027,,,-0.0078,-0.028,,,-0.0032,,,,
confidence_in_international_organizations|WVS_E,,,,-0.0035,-0.0067,-0.0068,0.0101,,,0.0,,,,,,,,,-0.0375,,0.0421,,,-0.0431,,-0.0017,,,,,,,,,,,,-0.0008,,,-0.0144,-0.0069,,,-0.0095,,,,
crime_victimization|WVS_H,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_system_evaluation|WVS_E,,,,-0.002,-0.0019,-0.0054,0.0027,,,,,0.0,,,,,,,-0.0125,,0.0214,,,-0.0171,,-0.0008,,,,,,,,,,,,-0.0016,,,-0.0042,-0.0029,,,-0.0051,,,,
democratic_values_importance|WVS_E,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,,,0.0001,0.002,-0.0118,0.0204,,,,,,,0.0,,,,,-0.0422,,-0.0382,,,0.0058,,-0.004,,,,,,,,,,,,-0.0068,,,-0.0018,0.0396,,,-0.0021,,,,
electoral_integrity|WVS_E,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
familial_duty_obligations|WVS_D,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female_income_threat_to_marriage|WVS_D,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom_security_tradeoff_perception|WVS_H,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender_role_traditionalism|WVS_D,,0.0509,,0.005,0.0204,0.0196,-0.0542,-0.0683,0.0027,-0.0375,,-0.0125,,-0.0422,,,,,0.0,,-0.0817,,,0.1101,,0.0075,,,0.009,,,,,-0.0296,,,,0.0042,,,0.0453,-0.0131,-0.0051,,0.0239,,,,
immigrant_origin_status|WVS_G,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
importance_of_life_domains|WVS_A,,-0.0423,,,,,0.0447,0.0749,0.0367,0.0421,,0.0214,,-0.0382,,,,,-0.0817,,0.0,,,-0.0801,,0.0112,,,-0.0157,,,,,0.0076,,,,0.001,,,-0.0281,,0.0463,,,,,,
institutional_threat_perception|WVS_H,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_organization_knowledge|WVS_E,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
job_scarcity_gender_discrimination|WVS_C,,0.0403,,0.029,0.004,0.0134,-0.0106,-0.0697,-0.0261,-0.0431,,-0.0171,,0.0058,,,,,0.1101,,-0.0801,,,0.0,,0.0225,,,0.0237,,,,,-0.0607,,,,-0.0041,,,0.059,0.0401,0.0226,,0.0251,,,,
job_scarcity_nativist_preference|WVS_C,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
life_autonomy_morality_permissiveness|WVS_F,,0.0,,0.0099,-0.0077,0.0025,,-0.0007,-0.0009,-0.0017,,-0.0008,,-0.004,,,,,0.0075,,0.0112,,,0.0225,,0.0,,,0.0027,,,,,-0.0145,,,,,,,,0.007,0.0157,,0.0026,,,,
multilevel_place_attachment|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
neighborhood_disorder_and_crime|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
offline_political_participation|WVS_E,,,,0.0044,0.0004,0.0001,0.0027,,,,,,,,,,,,0.009,,-0.0157,,,0.0237,,0.0027,,,0.0,,,,,,,,,-0.0017,,,0.008,0.0125,,,0.0033,,,,
outgroup_trust|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
perceived_negative_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
perceived_positive_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
political_information_sources|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
postmaterialist_values|WVS_E,,,,-0.0185,0.0095,-0.0108,-0.0108,,,,,,,,,,,,-0.0296,,0.0076,,,-0.0607,,-0.0145,,,,,,,,0.0,,,,-0.0015,,,-0.019,-0.0118,,,-0.0107,,,,
precautionary_security_behaviors|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
religion_versus_secularism_orientation|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
religious_exclusivism|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
religious_practice_and_self_identification|WVS_F,,0.0026,,-0.0011,0.0004,0.0032,,-0.0019,0.0027,-0.0008,,-0.0016,,-0.0068,,,,,0.0042,,0.001,,,-0.0041,,,,,-0.0017,,,,,-0.0015,,,,0.0,,,,-0.0076,0.001,,0.0008,,,,
science_skepticism|WVS_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
science_technology_optimism|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
sexual_and_reproductive_morality_permissiveness|WVS_F,,0.0149,,0.0095,0.0025,0.0035,,-0.0249,-0.0078,-0.0144,,-0.0042,,-0.0018,,,,,0.0453,,-0.0281,,,0.059,,,,,0.008,,,,,-0.019,,,,,,,0.0,0.0149,0.0054,,0.0087,,,,
social_intolerance_outgroups|WVS_A,,-0.0047,,,,,0.0216,-0.0071,-0.028,-0.0069,,-0.0029,,0.0396,,,,,-0.0131,,,,,0.0401,,0.007,,,0.0125,,,,,-0.0118,,,,-0.0076,,,0.0149,0.0,0.0039,,,,,,
societal_change_attitudes|WVS_E,,,,0.0196,-0.0225,0.0058,0.0289,,,,,,,,,,,,-0.0051,,0.0463,,,0.0226,,0.0157,,,,,,,,,,,,0.001,,,0.0054,0.0039,0.0,,0.0013,,,,
socioeconomic_insecurity_worry|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
subjective_wellbeing|WVS_A,,0.0101,,,,,-0.0062,-0.0158,-0.0032,-0.0095,,-0.0051,,-0.0021,,,,,0.0239,,,,,0.0251,,0.0026,,,0.0033,,,,,-0.0107,,,,0.0008,,,0.0087,,0.0013,,0.0,,,,
violence_tolerance|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
voluntary_association_active_membership|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
