,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,9999.0,1000.0,104.16666666666667,97.08737864077669,47.16981132075472,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,19.646365422396855,9999.0,23.64066193853428,9999.0,9999.0,24.813895781637715,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,384.61538461538464,9999.0,9999.0,67.11409395973155,212.7659574468085,9999.0,9999.0,99.00990099009901,9999.0,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,1000.0,9999.0,0.0,9999.0,9999.0,71.94244604316548,1000.0,217.3913043478261,285.7142857142857,9999.0,500.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,200.0,9999.0,9999.0,9999.0,9999.0,34.48275862068965,9999.0,101.010101010101,9999.0,9999.0,227.27272727272725,9999.0,9999.0,9999.0,9999.0,54.054054054054056,9999.0,9999.0,9999.0,909.090909090909,9999.0,9999.0,105.26315789473685,9999.0,51.02040816326531,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,104.16666666666667,9999.0,9999.0,0.0,9999.0,48.543689320388346,63.291139240506325,555.5555555555555,149.2537313432836,9999.0,526.3157894736842,9999.0,500.0,9999.0,9999.0,9999.0,9999.0,49.01960784313725,9999.0,9999.0,9999.0,9999.0,250.0,9999.0,129.87012987012986,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,105.26315789473685,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,400.0,9999.0,44.44444444444444,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,97.08737864077669,9999.0,9999.0,9999.0,0.0,149.2537313432836,86.20689655172414,416.6666666666667,147.05882352941177,9999.0,185.18518518518516,9999.0,84.74576271186442,9999.0,9999.0,9999.0,9999.0,51.02040816326531,9999.0,9999.0,9999.0,9999.0,74.6268656716418,9999.0,400.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,92.59259259259258,9999.0,9999.0,9999.0,312.5,9999.0,9999.0,285.7142857142857,9999.0,172.41379310344828,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,47.16981132075472,9999.0,71.94244604316548,48.543689320388346,149.2537313432836,0.0,39.0625,98.0392156862745,99.00990099009901,9999.0,370.3703703703703,9999.0,49.01960784313725,9999.0,9999.0,9999.0,9999.0,18.45018450184502,9999.0,22.371364653243848,9999.0,9999.0,94.33962264150944,9999.0,9999.0,9999.0,9999.0,370.3703703703703,9999.0,9999.0,9999.0,9999.0,92.59259259259258,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,46.29629629629629,34.602076124567475,9999.0,161.29032258064515,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,1000.0,63.291139240506325,86.20689655172414,39.0625,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,14.641288433382138,9999.0,13.35113484646195,9999.0,9999.0,14.347202295552368,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,526.3157894736842,9999.0,9999.0,40.16064257028113,140.8450704225352,9999.0,9999.0,63.291139240506325,9999.0,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,217.3913043478261,555.5555555555555,416.6666666666667,98.0392156862745,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,370.3703703703703,9999.0,27.247956403269754,9999.0,9999.0,38.314176245210724,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,370.3703703703703,9999.0,9999.0,128.2051282051282,35.714285714285715,9999.0,9999.0,312.5,9999.0,9999.0,9999.0,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,9999.0,285.7142857142857,149.2537313432836,147.05882352941177,99.00990099009901,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,26.666666666666668,9999.0,23.752969121140143,9999.0,9999.0,23.20185614849188,9999.0,588.2352941176471,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,69.44444444444444,144.92753623188406,9999.0,9999.0,105.26315789473685,9999.0,9999.0,9999.0,9999.0
