construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,33.74423833041054,39.34531844398086,19.304880503868166,18.552875695732837,18.57521044841324,29.85024284943335,21.009874641081307,35.63178191550787,28.653295128939828,47.00571152879891,16.538883823064182,9999.0,51.455042971847085,46.08294930875576,78.65068506530021,23.92119003278988,35.698323126818984,25.223048092576,19.87831884013241,17.793594306049823,9999.0,35.05279556863424,39.948128337117446,24.30486038322479,19.213823293229773,43.51917195953893,17.785009301813417,18.85341428048731,9999.0,11.46788990825688,22.44483831659936,23.148148148148145,16.13860452759364,51.691899390795584,12.048192771084336,28.015089088163712,17.35024284943335,20.333138135207236,46.432924873291846,75.57045401082098,34.09232429739715,45.71446525072263,48.92548977349527,17.234902595684794,52.903310409946585,33.01961404618792,104.06048250084946,42.793594306049826,19.512942201096784,31.793093160289402,16.627848628587117
authoritarian_governance_tolerance|WVS_E,33.74423833041054,0.0,45.695521443266344,24.154589371980677,24.449877750611247,28.248587570621467,40.658701363330124,31.818333154978085,37.098811190731126,34.18938172984841,51.85542039691143,21.05263157894737,9999.0,54.1019841677804,50.07316627034936,83.1644328211834,34.72964854668666,39.97699845606075,36.031506606472774,26.666666666666668,24.813895781637715,9999.0,45.86125408253102,41.41515761234071,35.113318897121566,30.022281807126546,54.327630473435704,22.573363431151243,29.661872794384088,9999.0,22.27634842215366,33.25329683049614,27.211781737495095,17.6056338028169,58.71220086638348,23.223611330906788,29.482118363386974,21.09704641350211,31.141596649104013,57.24138338718862,86.37891252471776,44.90078281129392,56.52292376461941,50.39251904871854,28.04336110958157,54.37033968516984,43.82807256008469,114.86894101474624,48.07803434805723,30.321400714993562,42.60155167418618,22.88329519450801
autocracy_support|WVS_E,39.34531844398086,45.695521443266344,0.0,21.551724137931036,26.666666666666668,36.435094444805905,43.338216512658704,32.154340836012864,40.41964866623292,37.81188673955705,49.25255516286178,34.39876781945684,9999.0,64.58623800541295,55.108771117796806,96.51056906169288,41.78107402918255,32.25806451612903,43.08293208896866,31.847133757961785,21.551724137931036,9999.0,52.912679565026906,51.89941144997324,41.5118039782504,37.07370728962243,61.37905595593159,35.644893298206085,36.713298276879975,9999.0,29.327773904649543,40.30472231299203,33.247630570679576,28.08988764044944,55.450029222676804,30.1354151250555,36.25760649087221,30.12048192771084,38.193022131599896,64.2928088696845,93.43033800721365,51.95220829378981,60.16176274796965,60.87677288635108,35.094786592077455,64.85459352280239,50.87949804258058,121.92036649724213,45.47516911400759,37.372826197489445,49.65297715668206,34.487732624979785
basic_needs_deprivation|WVS_H,19.304880503868166,24.154589371980677,21.551724137931036,0.0,12.315270935960593,14.944311135767647,21.78649237472767,14.57725947521866,18.867924528301888,16.260162601626018,27.700831024930746,12.907984510418588,9999.0,46.466440095771084,33.557046979865774,75.01978575265461,20.290290720144288,16.39344262295082,21.592148779930405,16.247419527486812,10.626992561105206,9999.0,31.421896255988646,33.77961354033138,20.673961070579193,15.582923980584177,39.888272646893334,14.154109989167825,15.222514967841715,9999.0,7.836990595611286,18.813939003953767,12.062726176115802,9.970089730807578,36.63003663003663,8.583690987124463,15.360983102918585,13.719343536787756,16.70223882256164,42.80202556064625,71.93955469817539,30.461424984751556,38.91050583657587,42.756974976709216,13.604003283039198,46.73479561316052,29.388714733542322,100.42958318820386,23.923444976076556,15.882042888451188,28.162193847643806,12.996949315941524
child_qualities_autonomy_self_expression|WVS_A,18.552875695732837,24.449877750611247,26.666666666666668,12.315270935960593,0.0,14.438698839276597,25.713731240296706,16.155088852988694,27.548209366391184,18.45018450184502,40.01610196089134,12.402372213927539,9999.0,47.318531362710445,38.75968992248062,74.51417345616356,19.784678423653236,24.449877750611247,21.086536483439353,15.313935681470138,11.918951132300357,9999.0,30.916283959497594,35.532853235080665,20.168348774088145,15.077311684093125,39.38266035040229,13.648497692676774,14.716902671350663,9999.0,7.331378299120235,18.308326707462715,13.175230566534916,11.723329425556859,45.81725621704612,8.333333333333334,17.6056338028169,12.69035532994924,16.196626526070588,42.296413264155206,71.43394240168433,29.955812688260504,41.57795364158599,44.5102146714585,13.098390986548146,48.4880353079098,28.88310243705127,99.92397089171281,34.36426116838488,15.376430591960139,27.656581551152755,12.491337019450473
child_qualities_conformity_tradition|WVS_A,18.57521044841324,28.248587570621467,36.435094444805905,14.944311135767647,14.438698839276597,0.0,25.489673481332833,16.649305272980786,31.271212547407348,28.36178308652463,42.64514216069839,12.178314454963663,9999.0,40.32258064516129,44.24556762702558,74.2901156971997,19.560620664689363,31.337753758718467,20.86247872447548,15.517749472031888,14.88337030687487,9999.0,30.69222620053372,35.587558969016925,19.944291015124268,14.853253925129252,39.15860259143841,13.4244399337129,14.49284491238679,9999.0,7.107320540156361,18.084268948498842,21.008403361344538,11.778035159493118,48.78167539162063,9.165902841429881,23.654519720063192,12.989673481332831,15.972568767106715,42.072355505191325,71.20988464272047,29.73175492929663,41.35389588262211,44.56492040539476,12.874333227584273,48.54274104184606,24.154589371980677,99.69991313274895,38.8677561118442,15.152372832996264,27.43252379218888,12.2672792604866
child_qualities_prosocial_diligence|WVS_A,29.85024284943335,40.658701363330124,43.338216512658704,21.78649237472767,25.713731240296706,25.489673481332833,0.0,27.924337674000896,40.654416903029556,36.63003663003663,49.487323399658415,23.453346855983774,9999.0,58.36950600476668,55.343539354593446,85.5651480982198,30.835653065709472,35.2112676056338,32.13751112549559,26.792781873051997,22.52252252252252,9999.0,41.96725860155383,46.86259137003704,31.219323416144377,26.12828632614936,50.43363499245852,24.69947233473301,25.7678773134069,9999.0,18.38235294117647,29.35930134951895,25.641025641025642,23.053067560513227,56.420827607268286,20.161290322580644,31.847133757961785,24.264705882352942,27.247601168126828,53.34738790621144,82.48491704374058,41.00678733031674,52.628928283642225,55.839952806414864,24.149365628604382,59.81777344286617,39.93407707910751,110.97494553376904,45.709937350804225,26.427405234016376,38.70755619320899,23.54231166150671
civic_dishonesty_tolerance|WVS_F,21.009874641081307,31.818333154978085,32.154340836012864,14.57725947521866,16.155088852988694,16.649305272980786,27.924337674000896,0.0,30.3030303030303,23.255813953488374,42.2780905001494,14.612978647631728,9999.0,49.52913779641463,46.680231819693645,76.72477988986776,21.995284857357426,26.315789473684212,23.297142917143546,17.952413664699954,14.22475106685633,9999.0,33.12689039320178,38.02222316168499,22.378955207792334,17.287918117797318,41.593266784106476,15.859104126380965,16.927509105054856,9999.0,9.541984732824426,20.518933141166904,16.528925619834713,14.212699352161184,48.12305615160209,10.615711252653927,20.964360587002098,15.408320493066256,18.40723295977478,44.50701969785939,73.64454883538853,32.166419121964694,43.78856007529018,46.999584598062825,15.30899742025234,50.97740523451412,31.093708870755464,102.13457732541701,38.50070445129522,17.58703702566433,29.867187984856947,14.701943453154664
confidence_in_civil_society_organizations|WVS_E,35.63178191550787,37.098811190731126,40.41964866623292,18.867924528301888,27.548209366391184,31.271212547407348,40.654416903029556,30.3030303030303,0.0,35.128087129927906,46.568755553232634,22.98850574712644,9999.0,55.989527752877734,51.960709855446694,85.10030698936247,36.61719213178399,24.271844660194173,37.91905019157011,32.574320939126515,20.74688796680498,9999.0,47.748797667628345,43.30270119743804,37.00086248221889,31.90982539222388,56.21517405853304,30.481011400807525,31.549416379481418,9999.0,24.163892007250986,30.8641975308642,29.099325322592424,19.49317738791423,31.746031746031747,25.111154916004118,31.3696619484843,29.855871688432366,33.02914023420134,59.12892697228595,88.2664561098151,45.87155963302752,57.778430364877764,52.28006263381587,29.9309046946789,56.25788327026717,25.77319587628866,116.75648459984357,39.37007874015748,25.510204081632654,44.48909525928351,29.323850727581224
confidence_in_domestic_institutions|WVS_E,28.653295128939828,34.18938172984841,37.81188673955705,16.260162601626018,18.45018450184502,28.36178308652463,36.63003663003663,23.255813953488374,35.128087129927906,0.0,43.960993626556764,21.231422505307854,9999.0,53.080098291995014,49.051280394563975,83.34322374754387,33.70776267090127,30.12048192771084,35.00962073068739,22.371364653243848,17.152658662092627,9999.0,44.839368206745625,40.39327173655532,33.003300330033,29.00039593134116,53.30574459765032,24.875621890547265,28.639986918598698,9999.0,21.254462546368266,32.231410954710746,26.189895861709704,16.58374792703151,51.05096374683839,22.201725455121398,28.46023248760158,19.37984496124031,30.119710773318623,56.21949751140323,85.35702664893238,43.878896935508536,55.170668438201886,49.37063317293315,27.02147523379618,53.34845380938445,42.806186684299306,113.84705513896085,40.183607577702574,27.47252747252747,41.57966579840079,24.752475247524753
