construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,67.24935517893132,62.11180124223603,122.54800812082979,9999.0,96.22969914784778,202.4303631978981,66.61513740007729,9999.0,9999.0,9999.0,136.21089295366008,9999.0,9999.0,9999.0,9999.0,9999.0,67.98111157722633,9999.0,99.03701219834434,9999.0,9999.0,82.02605539745105,42.918454935622314,80.23188777144321,9999.0,9999.0,91.99306487810286,9999.0,9999.0,9999.0,9999.0,9999.0,82.06217816131563,9999.0,9999.0,70.85141582947706,9999.0,93.68805245126231,9999.0,9999.0,120.61269052459474,97.86350988067726,85.11254776262653,9999.0,88.33393331199454,9999.0,9999.0,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,67.24935517893132,9999.0,0.0,55.483548218386886,89.99192897497983,9999.0,61.36117035207842,178.972312297331,41.1522633744856,9999.0,9999.0,9999.0,112.75284205309296,9999.0,9999.0,9999.0,9999.0,9999.0,33.11258278145695,9999.0,64.16848340257496,9999.0,9999.0,42.37288135593221,24.330900243309003,61.6443330791299,9999.0,9999.0,68.53501397753574,9999.0,9999.0,9999.0,9999.0,9999.0,58.60412726074852,9999.0,9999.0,47.39336492890995,9999.0,58.819523655492944,9999.0,9999.0,85.6629246459755,79.27595518836395,66.52499307031323,9999.0,62.01431688550319,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,62.11180124223603,9999.0,55.483548218386886,0.0,82.85871131544639,9999.0,84.46389218730336,185.16259105619181,54.849330439532864,9999.0,9999.0,9999.0,107.94107091132133,9999.0,9999.0,9999.0,9999.0,9999.0,56.21530461668189,9999.0,66.82275910654346,9999.0,9999.0,64.94624478708346,31.152647975077883,68.46608081089877,9999.0,9999.0,74.72529273639657,9999.0,9999.0,9999.0,9999.0,9999.0,42.37288135593221,9999.0,9999.0,53.583643687770774,9999.0,81.92224549071788,9999.0,9999.0,87.41792640097725,86.09770292013283,73.34674080208211,9999.0,55.30949196395291,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,122.54800812082979,9999.0,89.99192897497983,82.85871131544639,0.0,9999.0,75.47420082239023,183.27553965977378,81.54733856000945,9999.0,9999.0,9999.0,106.0540195149033,9999.0,9999.0,9999.0,9999.0,9999.0,57.80346820809249,9999.0,64.93570771012541,9999.0,9999.0,47.61904761904761,79.62955318520748,96.66560524041304,9999.0,9999.0,72.83824133997852,9999.0,9999.0,9999.0,9999.0,9999.0,40.48582995951417,9999.0,9999.0,51.69659229135274,9999.0,72.37152286657236,9999.0,9999.0,85.53087500455922,118.81068625108429,69.44444444444444,9999.0,53.42244056753487,9999.0,9999.0,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,96.22969914784778,9999.0,61.36117035207842,84.46389218730336,75.47420082239023,9999.0,0.0,193.21822633475347,66.85862618066008,9999.0,9999.0,9999.0,99.14320685434518,9999.0,9999.0,9999.0,9999.0,9999.0,28.248587570621467,9999.0,56.756887307388865,9999.0,9999.0,27.855153203342617,53.311244212225475,90.62467704804638,9999.0,9999.0,82.78092801495822,9999.0,9999.0,9999.0,9999.0,9999.0,50.42851663449386,9999.0,9999.0,61.63927896633243,9999.0,51.02040816326531,9999.0,9999.0,71.14519649338591,108.25629915728041,73.17829457364341,9999.0,46.51162790697675,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,202.4303631978981,9999.0,178.972312297331,185.16259105619181,183.27553965977378,9999.0,193.21822633475347,0.0,161.42969363707775,9999.0,9999.0,9999.0,196.93842449260404,9999.0,9999.0,9999.0,9999.0,9999.0,169.10549917394383,9999.0,167.23958745087086,9999.0,9999.0,165.36307313141086,159.5119082622758,196.8253410980967,9999.0,9999.0,152.72059641704683,9999.0,9999.0,9999.0,9999.0,9999.0,142.7897097002596,9999.0,9999.0,131.57894736842104,9999.0,190.1155483789356,9999.0,9999.0,187.83475474530465,198.6930413281526,169.74688629971874,9999.0,149.06146485093853,9999.0,9999.0,9999.0,9999.0,9999.0
