,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,31.545741324921135,151.51515151515153,156.25,16.233766233766232,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,41.49377593360996,9999.0,59.523809523809526,9999.0,9999.0,42.918454935622314,52.631578947368425,10.604453870625663,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,35.3356890459364,9999.0,24.154589371980677,9999.0,9999.0,12.077294685990339,26.7379679144385,9999.0,9999.0,26.80965147453083,9999.0,9999.0,9999.0,64.93506493506493
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,31.545741324921135,9999.0,0.0,9999.0,9999.0,25.188916876574307,54.6448087431694,38.75968992248062,169.49152542372883,9999.0,88.49557522123894,9999.0,85.47008547008546,9999.0,9999.0,9999.0,9999.0,9999.0,59.1715976331361,9999.0,9999.0,9999.0,9999.0,104.16666666666667,250.0,20.833333333333332,9999.0,9999.0,28.08988764044944,9999.0,9999.0,9999.0,9999.0,9999.0,43.10344827586207,9999.0,9999.0,270.27027027027026,9999.0,64.93506493506493,9999.0,9999.0,18.45018450184502,9999.0,99.00990099009901,9999.0,9999.0,9999.0,9999.0,9999.0,31.746031746031747
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,151.51515151515153,9999.0,9999.0,0.0,9999.0,54.6448087431694,1000.0,45.87155963302752,178.57142857142858,9999.0,126.58227848101265,9999.0,625.0,9999.0,9999.0,9999.0,9999.0,9999.0,500.0,9999.0,9999.0,9999.0,9999.0,133.33333333333334,625.0,44.84304932735426,9999.0,9999.0,196.078431372549,9999.0,9999.0,9999.0,9999.0,9999.0,84.74576271186442,9999.0,9999.0,84.03361344537815,9999.0,185.18518518518516,9999.0,9999.0,35.08771929824561,9999.0,147.05882352941177,9999.0,9999.0,9999.0,9999.0,9999.0,161.29032258064515
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,156.25,9999.0,9999.0,9999.0,0.0,1000.0,243.90243902439022,169.49152542372883,416.6666666666667,9999.0,454.5454545454545,9999.0,93.45794392523365,9999.0,9999.0,9999.0,9999.0,9999.0,294.11764705882354,9999.0,9999.0,9999.0,9999.0,129.87012987012986,1000.0,185.18518518518516,9999.0,9999.0,71.42857142857143,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,208.33333333333334,9999.0,204.08163265306123,9999.0,9999.0,109.89010989010988,9999.0,250.0,9999.0,9999.0,9999.0,9999.0,9999.0,76.92307692307692
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,16.233766233766232,9999.0,25.188916876574307,54.6448087431694,1000.0,0.0,18.867924528301888,27.247956403269754,34.129692832764505,9999.0,625.0,9999.0,86.20689655172414,9999.0,9999.0,9999.0,9999.0,9999.0,33.78378378378378,9999.0,384.61538461538464,9999.0,9999.0,53.191489361702125,47.16981132075472,9999.0,9999.0,9999.0,13.75515818431912,9999.0,9999.0,9999.0,9999.0,9999.0,25.839793281653748,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,22.123893805309734,52.083333333333336,9999.0,28.328611898016998,9999.0,9999.0,9999.0,66.66666666666667
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,54.6448087431694,1000.0,243.90243902439022,18.867924528301888,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,32.362459546925564,9999.0,45.04504504504504,9999.0,9999.0,34.96503496503497,42.37288135593221,10.34126163391934,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,26.595744680851062,9999.0,20.833333333333332,9999.0,9999.0,12.547051442910917,23.980815347721823,9999.0,9999.0,30.487804878048777,9999.0,9999.0,9999.0,588.2352941176471
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,9999.0,38.75968992248062,45.87155963302752,169.49152542372883,27.247956403269754,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,212.7659574468085,9999.0,58.47953216374269,9999.0,9999.0,250.0,400.0,20.449897750511248,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,178.57142857142858,9999.0,52.083333333333336,9999.0,9999.0,18.38235294117647,100.0,9999.0,9999.0,312.5,9999.0,9999.0,9999.0,112.35955056179776
