construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,106.66742519057912,86.8615230317358,115.30329060393815,113.07172888266021,70.4225352112676,169.81023051830442,162.16565447732265,113.43245321712381,144.2144702175139,88.03469493661501,194.9968670825728,254.70136160328167,90.78547432410815,223.16983007175014,87.08979444644788,9999.0,142.36498125443308,9999.0,93.45794392523365,81.36050344620917,114.23726920131085,79.7872340425532,9999.0,93.45794392523365,278.64312911041884,99.30346385542168,9999.0,103.69653986675263,83.96072013093288,9999.0,60.24096385542168,9999.0,9999.0,78.00538514333984,125.07173197365206,78.06711125224939,126.0304375396322,90.09009009009009,53.191489361702125,95.67506046379285,169.74850440939488,90.64467288230136,126.91971035251053,70.4225352112676,232.9622311684991,91.21430304991506,168.08480959687546,175.42515703998774,101.73517868209046,109.371264642601,9999.0
autocracy_support|WVS_E,9999.0,106.66742519057912,0.0,87.14596949891066,115.58773707111303,113.35617534983508,55.55555555555556,170.0946769854793,147.2986748216106,112.37373737373737,131.31313131313132,88.3191414037899,195.28131354974767,254.98580807045656,91.06992079128301,223.45427653892503,74.6268656716418,9999.0,151.73417134572668,9999.0,94.45954238625404,81.64494991338404,114.52171566848573,80.07168050972805,9999.0,94.45954238625404,279.6447275714392,82.64462809917356,9999.0,103.98098633392749,84.24516659810777,9999.0,65.78947368421052,9999.0,9999.0,78.28983161051471,125.35617844082694,78.35155771942426,131.57894736842104,64.51612903225806,53.475935828877,101.078830446697,170.03295087656977,90.92911934947625,112.05273069679849,79.79172530256122,233.24667763567396,91.49874951708992,169.08640805789582,176.42675550100813,102.01962514926535,107.36902705814623,9999.0
basic_needs_deprivation|WVS_H,9999.0,86.8615230317358,87.14596949891066,0.0,92.30443527045622,81.30081300813008,40.816326530612244,150.28877482663597,132.5594457966673,93.91099752545534,116.57390228818801,68.51323924494656,164.9184149184149,235.17990591161322,71.26401863243969,203.6483743800817,67.56833875477943,9999.0,104.88552963084675,9999.0,72.32963115316056,51.282051282051285,78.78507554733272,60.26577835088473,9999.0,74.6536402274107,257.5148163383457,54.6448087431694,9999.0,84.17508417508417,55.55555555555556,9999.0,42.5531914893617,9999.0,9999.0,42.5531914893617,105.5502762819836,58.54565556058093,108.34266517357221,79.31789737171465,33.67003367003367,49.01960784313725,134.29631075541676,60.24096385542168,97.31350167185518,49.01960784313725,213.44077547683062,71.6928473582466,146.10698648391394,154.29684426791465,82.21372299042201,89.84980895093256,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,115.30329060393815,115.58773707111303,92.30443527045622,0.0,94.79628882613957,75.13195444099301,166.36998493769684,119.04761904761905,96.15384615384616,90.09009009009009,51.81347150259067,203.9171789631067,218.48013816925732,99.70578620464204,181.81818181818184,84.353319905662,9999.0,122.98001574744104,9999.0,90.42411726975486,90.28081532674307,85.98312783906555,88.70754592308708,9999.0,80.0,275.60930245494,76.33587786259541,9999.0,112.61685174728652,92.8810320114668,9999.0,82.51996450754214,9999.0,9999.0,49.75124378109453,64.93506493506493,74.6268656716418,144.4781713238089,99.00990099009901,62.11180124223603,67.11409395973155,141.4943630471496,99.56498476283528,92.59259259259258,88.42759071592025,196.74100773447475,98.06042252505588,154.62686567164178,172.39133038450893,110.65549056262438,58.13953488372093,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,113.07172888266021,113.35617534983508,81.30081300813008,94.79628882613957,0.0,70.42575570494353,143.02517054810633,139.97113997113996,117.50721684496519,116.78583588695949,60.6060606060606,195.6035767511177,227.27272727272725,97.47422448336411,195.74119574119572,79.64712116961252,9999.0,129.87524579703353,9999.0,92.26565783942833,81.96721311475409,81.27692910301606,86.47598420180915,9999.0,100.86384607833513,277.4508430246135,81.94541404873507,9999.0,110.38529002600859,81.96721311475409,9999.0,80.28840278626421,9999.0,9999.0,45.04504504504504,97.64309764309763,51.282051282051285,138.2385730211817,101.22482032594392,59.880239520958085,74.00932400932402,136.7881643111001,75.18796992481204,113.07225592939879,83.9617898441428,205.53359683794466,93.3542237890064,171.09670265010072,174.23287095418243,108.42392884134642,100.92864125122189,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,70.4225352112676,55.55555555555556,40.816326530612244,75.13195444099301,70.42575570494353,0.0,124.6378561081603,91.74311926605505,56.81818181818181,75.75757575757576,34.96503496503497,159.0909090909091,201.63170163170162,46.948356807511736,170.1001701001701,35.842293906810035,9999.0,104.64640959258755,9999.0,61.30880980940957,45.45454545454546,61.6125947178695,44.24778761061947,9999.0,43.859649122807014,246.49399499459471,35.842293906810035,9999.0,70.83025375708301,45.45454545454546,9999.0,28.57142857142857,9999.0,9999.0,25.38071065989848,72.002072002072,32.89473684210526,94.36090225563909,41.49377593360996,20.32520325203252,48.78048780487805,117.12382992595353,51.282051282051285,56.497175141242934,46.64099272571673,179.89257119691902,51.81347150259067,118.48651479444881,143.27602292416364,68.86889257242086,51.81347150259067,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,169.81023051830442,170.0946769854793,150.28877482663597,166.36998493769684,143.02517054810633,124.6378561081603,0.0,216.38097537421535,157.96828482896893,191.74311926605503,148.45404551785475,239.98155902698613,284.05081157374735,148.56130108423685,283.5891806529899,150.51704624134808,9999.0,170.3363137810373,9999.0,132.7267258234321,126.34519539062252,157.96828482896893,143.21448583745337,9999.0,149.5581112915734,317.91191100861727,129.91105819735276,9999.0,167.1237916616528,124.00118378218409,9999.0,128.507825148408,9999.0,9999.0,122.13825604417055,185.49108255489182,91.74311926605505,178.69964100518547,165.27253103076094,116.61874115660231,114.47039199332778,213.8813753102256,126.34519539062252,180.23869448729397,124.42285782814656,293.3815817497388,154.64155484481523,211.5577706341045,214.6939389381862,156.67818420111996,144.65317217610794,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,162.16565447732265,147.2986748216106,132.5594457966673,119.04761904761905,139.97113997113996,91.74311926605505,216.38097537421535,0.0,136.5079365079365,135.54485464597826,79.36507936507937,250.83402835696413,246.03174603174602,138.69147607356678,214.5002145002145,127.58541317286509,9999.0,173.10978903157672,9999.0,140.55389055389054,137.1976647206005,106.38297872340425,135.9909068766745,9999.0,135.60276838886205,325.7390757390757,125.23663899810688,9999.0,162.57337302313806,137.1976647206005,9999.0,120.31454783748362,9999.0,9999.0,105.68086883876359,116.4021164021164,124.6378561081603,186.10402152169414,133.236895199665,112.06832251808757,117.24386724386724,197.42398810481865,143.02517054810633,148.240294407298,127.90876868546772,224.29261559696343,143.55659076864572,210.22963406050383,222.52110366864463,150.79365079365078,119.68766001024065,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,113.43245321712381,112.37373737373737,93.91099752545534,96.15384615384616,117.50721684496519,56.81818181818181,157.96828482896893,136.5079365079365,0.0,113.32263242375602,57.14285714285714,202.04634157629235,223.8095238095238,97.8349488178277,192.27799227799227,90.90909090909092,9999.0,134.60607926802447,9999.0,101.22457041279873,88.40997793992872,86.20689655172414,86.83670853627274,9999.0,100.67783094098883,286.4097555979839,80.64516129032258,9999.0,110.74601436047217,91.01019462465246,9999.0,80.6491271207278,9999.0,9999.0,82.1988924780803,94.17989417989418,66.2251655629139,146.43860080493832,98.31195775179177,60.24096385542168,78.74015748031496,173.94201174413536,97.69414737602094,113.31535695942475,74.07407407407408,202.0703933747412,98.2637775436346,175.3046966126306,183.19178352755281,108.78465317581004,97.46543778801842,9999.0
