,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,312.5,322.5806451612903,9999.0,101.010101010101,79.36507936507937,322.5806451612903,94.33962264150944,57.80346820809249,45.24886877828054,156.25,9999.0,9999.0,108.69565217391305,434.7826086956522,109.89010989010988,9999.0,49.01960784313725,44.642857142857146,9999.0,58.8235294117647,9999.0,227.27272727272725,9999.0,93.45794392523365,65.78947368421052,166.66666666666666,285.7142857142857,9999.0,95.23809523809523,39.8406374501992,86.95652173913044,1000.0,322.5806451612903,63.69426751592357,83.33333333333333,9999.0,192.30769230769232,384.61538461538464,1000.0,80.0,476.1904761904762,161.29032258064515,136.986301369863,70.4225352112676,588.2352941176471,9999.0,43.10344827586207,322.5806451612903,48.309178743961354,44.44444444444444,357.14285714285717,76.92307692307692
authoritarian_governance_tolerance|WVS_E,312.5,0.0,9999.0,112.35955056179776,212.7659574468085,119.04761904761905,200.0,555.5555555555555,9999.0,9999.0,9999.0,588.2352941176471,9999.0,9999.0,9999.0,9999.0,200.0,50.76142131979696,58.13953488372093,125.0,149.2537313432836,9999.0,131.57894736842104,144.92753623188406,9999.0,120.48192771084337,35.3356890459364,54.34782608695652,714.2857142857143,9999.0,9999.0,1000.0,166.66666666666666,588.2352941176471,9999.0,9999.0,100.0,111.11111111111111,36.101083032490976,135.13513513513513,108.69565217391305,322.5806451612903,9999.0,303.03030303030306,123.4567901234568,9999.0,85.47008547008546,175.43859649122805,172.41379310344828,161.29032258064515,83.33333333333333,9999.0,96.15384615384616
autocracy_support|WVS_E,322.5806451612903,9999.0,0.0,96.15384615384616,1000.0,212.7659574468085,156.25,161.29032258064515,9999.0,9999.0,9999.0,476.1904761904762,9999.0,9999.0,9999.0,9999.0,384.61538461538464,34.48275862068965,35.97122302158274,1000.0,54.34782608695652,9999.0,102.04081632653062,222.22222222222223,9999.0,51.02040816326531,29.069767441860463,60.975609756097555,270.27027027027026,9999.0,9999.0,270.27027027027026,178.57142857142858,357.14285714285717,9999.0,9999.0,79.36507936507937,128.2051282051282,38.314176245210724,114.9425287356322,476.1904761904762,256.4102564102564,9999.0,1000.0,212.7659574468085,9999.0,172.41379310344828,70.4225352112676,131.57894736842104,454.5454545454545,151.51515151515153,9999.0,67.56756756756756
basic_needs_deprivation|WVS_H,9999.0,112.35955056179776,96.15384615384616,0.0,1000.0,1000.0,270.27027027027026,294.11764705882354,75.18796992481204,78.74015748031496,121.95121951219511,9999.0,9999.0,123.4567901234568,185.18518518518516,131.57894736842104,9999.0,65.78947368421052,68.4931506849315,9999.0,200.0,9999.0,263.1578947368421,9999.0,98.0392156862745,227.27272727272725,69.93006993006993,96.15384615384616,9999.0,357.14285714285717,169.49152542372883,303.03030303030306,256.4102564102564,400.0,666.6666666666666,1000.0,9999.0,227.27272727272725,66.2251655629139,312.5,222.22222222222223,769.2307692307693,105.26315789473685,1000.0,666.6666666666666,1000.0,9999.0,114.9425287356322,285.7142857142857,666.6666666666666,588.2352941176471,1000.0,123.4567901234568
child_qualities_autonomy_self_expression|WVS_A,101.010101010101,212.7659574468085,1000.0,1000.0,0.0,9999.0,9999.0,222.22222222222223,769.2307692307693,196.078431372549,1000.0,169.49152542372883,9999.0,222.22222222222223,769.2307692307693,294.11764705882354,555.5555555555555,238.0952380952381,80.64516129032258,175.43859649122805,66.66666666666667,9999.0,9999.0,238.0952380952381,714.2857142857143,78.125,714.2857142857143,212.7659574468085,416.6666666666667,1000.0,333.3333333333333,178.57142857142858,344.82758620689657,555.5555555555555,144.92753623188406,588.2352941176471,909.090909090909,833.3333333333334,212.7659574468085,185.18518518518516,57.80346820809249,294.11764705882354,158.73015873015873,256.4102564102564,9999.0,1000.0,200.0,9999.0,476.1904761904762,9999.0,9999.0,75.18796992481204,303.03030303030306
child_qualities_conformity_tradition|WVS_A,79.36507936507937,119.04761904761905,212.7659574468085,1000.0,9999.0,0.0,9999.0,217.3913043478261,1000.0,153.84615384615384,769.2307692307693,161.29032258064515,9999.0,172.41379310344828,526.3157894736842,400.0,277.77777777777777,322.5806451612903,107.52688172043011,95.23809523809523,78.74015748031496,9999.0,9999.0,156.25,357.14285714285717,103.09278350515464,200.0,120.48192771084337,526.3157894736842,416.6666666666667,129.87012987012986,153.84615384615384,256.4102564102564,666.6666666666666,96.15384615384616,250.0,204.08163265306123,666.6666666666666,97.08737864077669,312.5,53.191489361702125,250.0,86.20689655172414,192.30769230769232,9999.0,1000.0,97.08737864077669,9999.0,1000.0,9999.0,9999.0,72.99270072992701,434.7826086956522
child_qualities_prosocial_diligence|WVS_A,322.5806451612903,200.0,156.25,270.27027027027026,9999.0,9999.0,0.0,285.7142857142857,102.04081632653062,116.27906976744185,196.078431372549,1000.0,9999.0,129.87012987012986,1000.0,250.0,833.3333333333334,64.93506493506493,86.20689655172414,204.08163265306123,140.8450704225352,9999.0,9999.0,1000.0,86.95652173913044,111.11111111111111,78.125,232.5581395348837,227.27272727272725,833.3333333333334,166.66666666666666,454.5454545454545,454.5454545454545,400.0,1000.0,243.90243902439022,185.18518518518516,714.2857142857143,138.88888888888889,1000.0,454.5454545454545,270.27027027027026,175.43859649122805,1000.0,9999.0,238.0952380952381,476.1904761904762,9999.0,357.14285714285717,9999.0,9999.0,140.8450704225352,123.4567901234568
civic_dishonesty_tolerance|WVS_F,94.33962264150944,555.5555555555555,161.29032258064515,294.11764705882354,222.22222222222223,217.3913043478261,285.7142857142857,0.0,86.95652173913044,71.42857142857143,204.08163265306123,208.33333333333334,9999.0,156.25,1000.0,158.73015873015873,277.77777777777777,51.54639175257732,48.78048780487805,108.69565217391305,50.5050505050505,9999.0,144.92753623188406,434.7826086956522,70.92198581560284,53.475935828877,60.975609756097555,9999.0,217.3913043478261,1000.0,108.69565217391305,151.51515151515153,1000.0,625.0,222.22222222222223,142.85714285714286,149.2537313432836,9999.0,9999.0,9999.0,9999.0,357.14285714285717,1000.0,9999.0,454.5454545454545,169.49152542372883,166.66666666666666,62.893081761006286,9999.0,75.75757575757576,94.33962264150944,1000.0,83.33333333333333
confidence_in_civil_society_organizations|WVS_E,57.80346820809249,9999.0,9999.0,75.18796992481204,769.2307692307693,1000.0,102.04081632653062,86.95652173913044,0.0,9999.0,9999.0,285.7142857142857,9999.0,9999.0,9999.0,9999.0,227.27272727272725,22.471910112359552,28.73563218390805,39.21568627450981,55.24861878453038,9999.0,91.74311926605505,500.0,9999.0,49.26108374384237,32.362459546925564,82.64462809917356,104.16666666666667,9999.0,9999.0,104.16666666666667,153.84615384615384,129.87012987012986,9999.0,9999.0,114.9425287356322,357.14285714285717,45.662100456621005,1000.0,158.73015873015873,217.3913043478261,9999.0,270.27027027027026,294.11764705882354,9999.0,71.42857142857143,40.65040650406504,136.986301369863,37.45318352059925,54.94505494505494,9999.0,42.016806722689076
confidence_in_domestic_institutions|WVS_E,45.24886877828054,9999.0,9999.0,78.74015748031496,196.078431372549,153.84615384615384,116.27906976744185,71.42857142857143,9999.0,0.0,9999.0,149.2537313432836,9999.0,9999.0,9999.0,9999.0,149.2537313432836,22.271714922048996,26.7379679144385,37.59398496240602,36.90036900369004,9999.0,87.71929824561403,222.22222222222223,9999.0,38.167938931297705,34.72222222222222,151.51515151515153,107.52688172043011,9999.0,9999.0,82.64462809917356,243.90243902439022,158.73015873015873,9999.0,9999.0,117.6470588235294,322.5806451612903,66.66666666666667,312.5,196.078431372549,222.22222222222223,9999.0,192.30769230769232,181.81818181818184,9999.0,61.34969325153375,34.36426116838488,135.13513513513513,34.84320557491289,46.08294930875576,9999.0,42.918454935622314
