construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,26.702084255666378,30.40700562622026,33.047735618115055,9999.0,22.15723591576537,27.366272173025465,31.15332823816283,9999.0,26.50497607900325,9999.0,37.05560010692328,9999.0,9999.0,9999.0,9999.0,9999.0,22.55606214670734,9999.0,45.62435789670309,9999.0,9999.0,31.671832429296217,28.855010815454197,36.396172913820266,9999.0,27.213477842528548,9999.0,9999.0,9999.0,9999.0,9999.0,29.954743021015368,9999.0,9999.0,15.503875968992247,9999.0,23.86634844868735,9999.0,9999.0,9999.0,32.00552613400875,25.27904703448589,9999.0,51.50497607900325,9999.0,9999.0,9999.0,9999.0,47.06820459717923
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,26.702084255666378,9999.0,0.0,26.101337943902145,28.742067935796936,9999.0,17.851568233447253,23.060604490707348,26.847660555844712,9999.0,22.199308396685133,9999.0,32.74993242460516,9999.0,9999.0,9999.0,9999.0,9999.0,15.552099533437016,9999.0,41.31869021438497,9999.0,9999.0,20.242914979757085,24.54934313313608,28.49002849002849,9999.0,22.90781016021043,9999.0,9999.0,9999.0,9999.0,9999.0,25.64907533869725,9999.0,9999.0,11.19820828667413,9999.0,16.722408026755854,9999.0,9999.0,9999.0,27.69985845169063,20.973379352167775,9999.0,47.19930839668513,9999.0,9999.0,9999.0,9999.0,39.924264175247735
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,30.40700562622026,9999.0,26.101337943902145,0.0,32.44698930635082,9999.0,21.556489604001136,26.76552586126123,30.552581926398595,9999.0,16.722408026755854,9999.0,36.45485379515905,9999.0,9999.0,9999.0,9999.0,9999.0,21.955315834943107,9999.0,45.023611584938855,9999.0,9999.0,30.967422271770097,28.254264503689967,25.839793281653748,9999.0,22.88329519450801,9999.0,9999.0,9999.0,9999.0,9999.0,29.35399670925114,9999.0,9999.0,14.903129657228016,9999.0,28.474220658932676,9999.0,9999.0,9999.0,27.895592384297753,24.678300722721662,9999.0,41.72240802675586,9999.0,9999.0,9999.0,9999.0,51.02508327680357
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,33.047735618115055,9999.0,28.742067935796936,32.44698930635082,0.0,9999.0,24.197219595895927,29.40625585315602,33.19331191829338,9999.0,28.544959759133807,9999.0,39.09558378705384,9999.0,9999.0,9999.0,9999.0,9999.0,24.596045826837894,9999.0,47.66434157683365,9999.0,9999.0,33.71181610942678,30.894994495584754,38.43615659395082,9999.0,29.2534615226591,9999.0,9999.0,9999.0,9999.0,9999.0,31.99472670114593,9999.0,9999.0,17.543859649122805,9999.0,31.114950650827467,9999.0,9999.0,9999.0,34.04550981413931,27.319030714616453,9999.0,53.5449597591338,9999.0,9999.0,9999.0,9999.0,53.66581326869836
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,22.15723591576537,9999.0,17.851568233447253,21.556489604001136,24.197219595895927,9999.0,0.0,18.515756150806336,22.3028122159437,9999.0,17.654460056784124,9999.0,28.205084084704158,9999.0,9999.0,9999.0,9999.0,9999.0,12.836970474967908,9999.0,36.77384187448396,9999.0,9999.0,16.38150830876218,20.00449479323507,27.545656891601137,9999.0,18.36296182030942,9999.0,9999.0,9999.0,9999.0,9999.0,21.104226998796243,9999.0,9999.0,6.653359946773121,9999.0,7.412898443291327,9999.0,9999.0,9999.0,23.155010111789622,16.428531012266767,9999.0,42.654460056784124,9999.0,9999.0,9999.0,9999.0,30.61475459178321
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,27.366272173025465,9999.0,23.060604490707348,26.76552586126123,29.40625585315602,9999.0,18.515756150806336,0.0,27.511848473203795,9999.0,22.86349631404422,9999.0,33.41412034196425,9999.0,9999.0,9999.0,9999.0,9999.0,18.914582381748307,9999.0,41.98287813174406,9999.0,9999.0,25.52490125619933,25.213531050495163,32.75469314886123,9999.0,23.571998077569514,9999.0,9999.0,9999.0,9999.0,9999.0,26.313263256056338,9999.0,9999.0,11.862396204033216,9999.0,16.556291390728475,9999.0,9999.0,9999.0,28.364046369049717,21.637567269526862,9999.0,47.86349631404422,9999.0,9999.0,9999.0,9999.0,39.75814753922036
