,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,0.0,1000.0,227.27272727272725,476.1904761904762,238.0952380952381,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,256.4102564102564,9999.0,526.3157894736842,357.14285714285717,1000.0,181.81818181818184,9999.0,9999.0,9999.0,833.3333333333334,1000.0,9999.0,172.41379310344828,227.27272727272725,9999.0,434.7826086956522,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,1000.0,0.0,9999.0,9999.0,56.17977528089888,109.89010989010988,111.11111111111111,100.0,142.85714285714286,9999.0,33.11258278145695,277.77777777777777,9999.0,9999.0,227.27272727272725,37.59398496240602,34.36426116838488,27.932960893854748,9999.0,105.26315789473685,31.545741324921135,16.0,9999.0,47.16981132075472,9999.0,172.41379310344828,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,227.27272727272725,9999.0,0.0,9999.0,76.33587786259541,45.04504504504504,98.0392156862745,82.64462809917356,625.0,9999.0,30.395136778115504,312.5,9999.0,9999.0,121.95121951219511,22.52252252252252,34.602076124567475,18.181818181818183,9999.0,57.4712643678161,26.954177897574123,14.144271570014144,9999.0,56.81818181818181,9999.0,36.63003663003663,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,476.1904761904762,9999.0,9999.0,0.0,40.816326530612244,26.666666666666668,113.63636363636363,59.523809523809526,128.2051282051282,9999.0,26.455026455026456,111.11111111111111,9999.0,9999.0,50.25125628140703,18.93939393939394,18.93939393939394,15.503875968992247,9999.0,49.504950495049506,22.93577981651376,12.67427122940431,9999.0,24.752475247524753,9999.0,48.543689320388346,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,238.0952380952381,56.17977528089888,76.33587786259541,40.816326530612244,0.0,116.27906976744185,153.84615384615384,185.18518518518516,107.52688172043011,9999.0,29.58579881656805,192.30769230769232,9999.0,55.24861878453038,113.63636363636363,48.78048780487805,9999.0,49.01960784313725,9999.0,357.14285714285717,9999.0,9999.0,9999.0,9999.0,158.73015873015873,92.59259259259258,25.510204081632654,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,109.89010989010988,45.04504504504504,26.666666666666668,116.27906976744185,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,46.728971962616825,9999.0,23.419203747072597,35.97122302158274,20.32520325203252,28.409090909090907,9999.0,9999.0,9999.0,49.26108374384237,25.188916876574307,9999.0,35.46099290780142,59.1715976331361,9999.0,64.93506493506493,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,111.11111111111111,98.0392156862745,113.63636363636363,153.84615384615384,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,312.5,9999.0,181.81818181818184,1000.0,84.03361344537815,92.59259259259258,9999.0,9999.0,9999.0,64.1025641025641,36.101083032490976,9999.0,129.87012987012986,294.11764705882354,9999.0,83.33333333333333,9999.0
confidence_in_international_organizations|WVS_E,9999.0,9999.0,100.0,82.64462809917356,59.523809523809526,185.18518518518516,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,588.2352941176471,9999.0,112.35955056179776,212.7659574468085,49.75124378109453,54.6448087431694,9999.0,9999.0,9999.0,41.666666666666664,26.525198938992045,9999.0,79.36507936507937,208.33333333333334,9999.0,129.87012987012986,9999.0
democratic_system_evaluation|WVS_E,9999.0,9999.0,142.85714285714286,625.0,128.2051282051282,107.52688172043011,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,303.03030303030306,9999.0,769.2307692307693,1000.0,158.73015873015873,56.17977528089888,9999.0,9999.0,9999.0,47.39336492890995,28.653295128939828,9999.0,64.93506493506493,147.05882352941177,9999.0,147.05882352941177,9999.0
