,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocracy_support|WVS_E,,0.0,0.0197,-0.0236,-0.0031,-0.0051,,,,,,,0.0195,,-0.0065,0.0234,0.0134,0.0341,,,,-0.0106,0.0305,,0.0151,-0.0047,,0.0162,0.0226
child_qualities_autonomy_self_expression|WVS_A,,0.0197,0.0,,,0.006,-0.0014,0.062,-0.0184,0.0181,,-0.0253,0.0225,,,0.0328,0.0202,0.06,0.0257,,-0.0323,-0.015,0.0674,,0.0427,,0.0076,,0.0457
child_qualities_conformity_tradition|WVS_A,,-0.0236,,0.0,,0.0018,-0.0013,-0.0574,0.0034,-0.0055,,0.0041,-0.0438,,,-0.0334,-0.0205,-0.0559,-0.0417,,0.0424,0.0105,-0.0404,,-0.0354,,-0.0241,,-0.0425
child_qualities_prosocial_diligence|WVS_A,,-0.0031,,,0.0,0.0064,-0.0068,0.0036,-0.0136,0.0048,,-0.0155,0.0029,,,0.0016,0.0013,0.0095,-0.013,,0.0024,-0.0014,0.0117,,0.0117,,-0.011,,0.0099
civic_dishonesty_tolerance|WVS_F,,-0.0051,0.006,0.0018,0.0064,0.0,-0.0029,0.0017,-0.0106,0.0052,,-0.014,-0.008,,0.0055,-0.0021,-0.0002,,-0.0153,,0.0047,,,,,0.003,-0.0136,0.0018,0.0049
confidence_in_civil_society_organizations|WVS_E,,,-0.0014,-0.0013,-0.0068,-0.0029,0.0,,,,,,-0.009,,-0.0017,0.0011,0.0013,0.0005,,,,-0.0014,0.0099,,-0.0037,-0.0044,,0.0005,-0.0001
confidence_in_domestic_institutions|WVS_E,,,0.062,-0.0574,0.0036,0.0017,,0.0,,,,,0.0493,,-0.0106,0.0535,0.036,0.0946,,,,-0.0196,0.0891,,0.0615,-0.0065,,0.0486,0.0765
confidence_in_international_organizations|WVS_E,,,-0.0184,0.0034,-0.0136,-0.0106,,,0.0,,,,-0.0002,,-0.0082,-0.003,-0.0032,-0.0188,,,,0.0024,-0.0208,,-0.0174,-0.007,,-0.009,-0.0146
democratic_system_evaluation|WVS_E,,,0.0181,-0.0055,0.0048,0.0052,,,,0.0,,,-0.0272,,0.0082,0.0112,0.0022,0.0178,,,,-0.0136,0.0399,,0.0083,0.0019,,0.0059,0.0064
democratic_values_importance|WVS_E,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,,-0.0253,0.0041,-0.0155,-0.014,,,,,,0.0,0.0137,,-0.0132,-0.0063,-0.0033,-0.0237,,,,0.0078,-0.0468,,-0.0211,-0.0065,,-0.0083,-0.0162
gender_role_traditionalism|WVS_D,,0.0195,0.0225,-0.0438,0.0029,-0.008,-0.009,0.0493,-0.0002,-0.0272,,0.0137,0.0,,-0.024,0.0333,0.0233,0.0528,0.0375,,-0.0707,0.0041,-0.0218,,0.0402,-0.0011,0.0344,0.0317,0.0548
immigrant_origin_status|WVS_G,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
importance_of_life_domains|WVS_A,,-0.0065,,,,0.0055,-0.0017,-0.0106,-0.0082,0.0082,,-0.0132,-0.024,,0.0,-0.0066,-0.0043,-0.0076,-0.0168,,0.0168,-0.0014,0.0098,,-0.003,,-0.0154,,-0.0066
job_scarcity_gender_discrimination|WVS_C,,0.0234,0.0328,-0.0334,0.0016,-0.0021,0.0011,0.0535,-0.003,0.0112,,-0.0063,0.0333,,-0.0066,0.0,,0.0536,0.0428,,-0.0338,-0.0132,0.0404,,0.0294,-0.0024,0.0237,0.0254,
job_scarcity_nativist_preference|WVS_C,,0.0134,0.0202,-0.0205,0.0013,-0.0002,0.0013,0.036,-0.0032,0.0022,,-0.0033,0.0233,,-0.0043,,0.0,0.0342,0.0208,,-0.0265,-0.0057,0.0234,,0.0221,-0.0018,0.0117,0.0174,
life_autonomy_morality_permissiveness|WVS_F,,0.0341,0.06,-0.0559,0.0095,,0.0005,0.0946,-0.0188,0.0178,,-0.0237,0.0528,,-0.0076,0.0536,0.0342,0.0,0.0531,,-0.0657,,,,,-0.0013,0.0263,0.0469,0.0703
offline_political_participation|WVS_E,,,0.0257,-0.0417,-0.013,-0.0153,,,,,,,0.0375,,-0.0168,0.0428,0.0208,0.0531,0.0,,,-0.0168,0.0376,,0.019,-0.0111,,0.0262,0.0282
outgroup_trust|WVS_G,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
postmaterialist_values|WVS_E,,,-0.0323,0.0424,0.0024,0.0047,,,,,,,-0.0707,,0.0168,-0.0338,-0.0265,-0.0657,,,0.0,0.0045,-0.0312,,-0.0452,0.007,,-0.0369,-0.0578
religious_belief|WVS_F,,-0.0106,-0.015,0.0105,-0.0014,,-0.0014,-0.0196,0.0024,-0.0136,,0.0078,0.0041,,-0.0014,-0.0132,-0.0057,,-0.0168,,0.0045,0.0,,,,0.0009,-0.0063,-0.0074,-0.0082
religious_practice_and_self_identification|WVS_F,,0.0305,0.0674,-0.0404,0.0117,,0.0099,0.0891,-0.0208,0.0399,,-0.0468,-0.0218,,0.0098,0.0404,0.0234,,0.0376,,-0.0312,,0.0,,,-0.0028,0.0013,0.0413,0.0614
science_technology_optimism|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
sexual_and_reproductive_morality_permissiveness|WVS_F,,0.0151,0.0427,-0.0354,0.0117,,-0.0037,0.0615,-0.0174,0.0083,,-0.0211,0.0402,,-0.003,0.0294,0.0221,,0.019,,-0.0452,,,,0.0,0.0011,0.0076,0.0336,0.0539
social_intolerance_outgroups|WVS_A,,-0.0047,,,,0.003,-0.0044,-0.0065,-0.007,0.0019,,-0.0065,-0.0011,,,-0.0024,-0.0018,-0.0013,-0.0111,,0.007,0.0009,-0.0028,,0.0011,0.0,-0.0078,,-0.0014
societal_change_attitudes|WVS_E,,,0.0076,-0.0241,-0.011,-0.0136,,,,,,,0.0344,,-0.0154,0.0237,0.0117,0.0263,,,,-0.0063,0.0013,,0.0076,-0.0078,0.0,0.0125,0.0107
subjective_wellbeing|WVS_A,,0.0162,,,,0.0018,0.0005,0.0486,-0.009,0.0059,,-0.0083,0.0317,,,0.0254,0.0174,0.0469,0.0262,,-0.0369,-0.0074,0.0413,,0.0336,,0.0125,0.0,0.0387
work_ethic|WVS_C,,0.0226,0.0457,-0.0425,0.0099,0.0049,-0.0001,0.0765,-0.0146,0.0064,,-0.0162,0.0548,,-0.0066,,,0.0703,0.0282,,-0.0578,-0.0082,0.0614,,0.0539,-0.0014,0.0107,0.0387,0.0
