,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,-0.0051,0.007,-0.0026,-0.0035,,,,,,,0.0073,0.0178,-0.0011,-0.0007,0.0039,-0.0058,,0.0068,,0.0091,-0.0165,,-0.0061,-0.004,,-0.0106,-0.008
autocracy_support|WVS_E,,0.0,0.0004,-0.0076,0.0072,0.0025,,,,,,,0.0136,0.0238,-0.0021,0.0033,0.0206,0.0079,,0.0148,,-0.0059,-0.0049,,0.0097,-0.0177,,0.0061,0.0065
child_qualities_autonomy_self_expression|WVS_A,-0.0051,0.0004,0.0,,,0.0074,-0.0014,-0.0016,-0.006,0.006,-0.0125,-0.017,0.0263,-0.0446,,0.0083,0.0145,0.0189,-0.0016,-0.0022,-0.0144,0.0155,0.0023,0.0103,0.0223,,-0.0128,,0.026
child_qualities_conformity_tradition|WVS_A,0.007,-0.0076,,0.0,,-0.012,-0.007,0.0034,0.0109,-0.0116,0.0111,0.0302,0.0057,-0.0197,,-0.0063,-0.0286,-0.0275,-0.0191,-0.011,0.0058,0.052,-0.0413,-0.0123,-0.0308,,0.0053,,-0.031
child_qualities_prosocial_diligence|WVS_A,-0.0026,0.0072,,,0.0,0.0154,0.0022,-0.0021,-0.0142,0.0085,-0.0088,-0.0142,0.0085,-0.0346,,0.0058,0.0181,0.0204,0.0111,0.0076,-0.0105,-0.0054,0.0229,0.0139,0.0233,,-0.0097,,0.026
civic_dishonesty_tolerance|WVS_F,-0.0035,0.0025,0.0074,-0.012,0.0154,0.0,0.0015,-0.0014,-0.0101,0.008,-0.0075,-0.009,0.0001,-0.0254,0.0028,0.0035,0.0071,,0.0047,0.0001,-0.0092,,,0.0124,,-0.0007,-0.0078,0.0203,0.018
confidence_in_civil_society_organizations|WVS_E,,,-0.0014,-0.007,0.0022,0.0015,0.0,,,,,,-0.006,0.0082,-0.0016,-0.0002,0.0025,0.0023,,0.0015,,-0.0126,0.0092,,0.0027,-0.0021,,0.0026,0.002
confidence_in_domestic_institutions|WVS_E,,,-0.0016,0.0034,-0.0021,-0.0014,,0.0,,,,,-0.0022,-0.0011,0.0003,-0.0012,-0.0045,-0.0033,,-0.0018,,0.003,-0.0021,,-0.0039,0.0039,,-0.004,-0.0037
confidence_in_international_organizations|WVS_E,,,-0.006,0.0109,-0.0142,-0.0101,,,0.0,,,,0.008,0.0342,-0.0033,-0.0014,0.0033,-0.0106,,0.0064,,0.0085,-0.0279,,-0.0091,-0.0078,,-0.0184,-0.0138
democratic_system_evaluation|WVS_E,,,0.006,-0.0116,0.0085,0.008,,,,0.0,,,-0.0152,-0.0318,0.002,0.0002,-0.0072,0.0083,,-0.0101,,-0.0157,0.0328,,0.0088,0.0096,,0.0156,0.0128
