,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,90.90909090909092,90.09009009009009,111.11111111111111,270.27027027027026,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,38.75968992248062,9999.0,1000.0,9999.0,9999.0,20.79002079002079,263.1578947368421,22.779043280182233,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,123.4567901234568,9999.0,43.47826086956522,9999.0,9999.0,27.397260273972606,49.26108374384237,9999.0,172.41379310344828,9999.0,714.2857142857143,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,90.90909090909092,9999.0,0.0,9999.0,9999.0,166.66666666666666,1000.0,149.2537313432836,227.27272727272725,9999.0,9999.0,9999.0,285.7142857142857,9999.0,9999.0,9999.0,9999.0,357.14285714285717,9999.0,9999.0,9999.0,9999.0,69.44444444444444,1000.0,58.47953216374269,9999.0,9999.0,416.6666666666667,9999.0,9999.0,9999.0,9999.0,9999.0,166.66666666666666,9999.0,9999.0,312.5,9999.0,67.56756756756756,9999.0,9999.0,66.2251655629139,9999.0,68.9655172413793,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,90.09009009009009,9999.0,9999.0,0.0,9999.0,181.81818181818184,83.33333333333333,50.0,163.93442622950818,9999.0,9999.0,9999.0,166.66666666666666,9999.0,9999.0,9999.0,9999.0,434.7826086956522,9999.0,9999.0,9999.0,9999.0,47.16981132075472,769.2307692307693,147.05882352941177,9999.0,9999.0,69.93006993006993,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,33.003300330033,9999.0,112.35955056179776,9999.0,9999.0,196.078431372549,9999.0,32.57328990228013,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,111.11111111111111,9999.0,9999.0,9999.0,0.0,196.078431372549,140.8450704225352,81.30081300813008,1000.0,9999.0,9999.0,9999.0,158.73015873015873,9999.0,9999.0,9999.0,9999.0,232.5581395348837,9999.0,9999.0,9999.0,9999.0,68.9655172413793,1000.0,80.64516129032258,9999.0,9999.0,111.11111111111111,9999.0,9999.0,9999.0,9999.0,9999.0,312.5,9999.0,9999.0,87.71929824561403,9999.0,147.05882352941177,9999.0,9999.0,151.51515151515153,9999.0,51.282051282051285,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,270.27027027027026,9999.0,166.66666666666666,181.81818181818184,196.078431372549,0.0,476.1904761904762,1000.0,114.9425287356322,9999.0,9999.0,9999.0,192.30769230769232,9999.0,9999.0,9999.0,9999.0,136.986301369863,9999.0,121.95121951219511,9999.0,9999.0,416.6666666666667,1000.0,9999.0,9999.0,9999.0,158.73015873015873,9999.0,9999.0,9999.0,9999.0,9999.0,303.03030303030306,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,1000.0,909.090909090909,9999.0,1000.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,1000.0,83.33333333333333,140.8450704225352,476.1904761904762,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,62.11180124223603,9999.0,1000.0,9999.0,9999.0,114.9425287356322,500.0,86.95652173913044,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,59.1715976331361,9999.0,161.29032258064515,9999.0,9999.0,59.880239520958085,476.1904761904762,9999.0,111.11111111111111,9999.0,102.04081632653062,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,9999.0,149.2537313432836,50.0,81.30081300813008,1000.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,588.2352941176471,9999.0,625.0,9999.0,9999.0,38.02281368821293,1000.0,66.66666666666667,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,69.44444444444444,9999.0,166.66666666666666,9999.0,9999.0,238.0952380952381,87.71929824561403,9999.0,217.3913043478261,9999.0,91.74311926605505,9999.0,9999.0,9999.0
