construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,16.31321370309951,51.42758857929137,93.26294620412267,69.93006993006993,48.494210117058614,43.56976380144015,34.00771380401395,9999.0,77.63895971443142,9999.0,82.97988036976618,9999.0,9999.0,9999.0,9999.0,15.479876160990711,9999.0,72.34432234432234,9999.0,9999.0,21.321961620469086,47.61904761904761,17.421602787456447,9999.0,9999.0,31.03197569442773,9999.0,9999.0,9999.0,9999.0,9999.0,102.43639790012115,9999.0,9999.0,23.58490566037736,9999.0,35.714285714285715,9999.0,9999.0,16.339869281045754,17.035775127768314,42.95240363351818,47.61904761904761,9999.0,9999.0,9999.0,9999.0,31.98932155021633
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,16.31321370309951,9999.0,0.0,45.209176788124154,86.2663906142167,56.42739023320172,35.2112676056338,37.3134328358209,19.880715705765407,9999.0,68.20745280810402,9999.0,66.66666666666667,9999.0,9999.0,9999.0,9999.0,12.062726176115802,9999.0,60.784626002017305,9999.0,9999.0,18.76172607879925,52.672696866493325,10.638297872340425,9999.0,9999.0,17.21170395869191,9999.0,9999.0,9999.0,9999.0,9999.0,99.01924791524624,9999.0,9999.0,16.89189189189189,9999.0,24.154589371980677,9999.0,9999.0,10.121457489878543,18.83985330504855,39.53525364864328,55.52588020390263,9999.0,9999.0,9999.0,9999.0,18.181818181818183
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,51.42758857929137,9999.0,45.209176788124154,0.0,87.81874211627202,79.86609277857485,67.24206013425848,67.87460454414725,52.75556382121381,9999.0,58.47953216374269,9999.0,111.87584345479081,9999.0,9999.0,9999.0,9999.0,46.451355661881976,9999.0,62.33697750407262,9999.0,9999.0,52.570236780763096,76.11139941186646,41.666666666666664,9999.0,9999.0,40.65040650406504,9999.0,9999.0,9999.0,9999.0,9999.0,133.4078774010124,9999.0,9999.0,40.816326530612244,9999.0,25.706940874035993,9999.0,9999.0,35.08771929824561,43.806115113415615,73.54925775978407,78.96458274927576,9999.0,9999.0,9999.0,9999.0,50.73717156741619
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,93.26294620412267,9999.0,86.2663906142167,87.81874211627202,0.0,127.90745040531183,109.07741775908978,109.70996216897856,91.87370600414079,9999.0,106.16466467835937,9999.0,152.93305728088336,9999.0,9999.0,9999.0,9999.0,87.35276699348556,9999.0,98.74183787227265,9999.0,9999.0,91.82912131009546,125.19710354230264,90.85904247965794,9999.0,9999.0,89.73611063450122,9999.0,9999.0,9999.0,9999.0,9999.0,163.93442622950818,9999.0,9999.0,95.23809523809523,9999.0,62.11180124223603,9999.0,9999.0,76.92307692307692,80.90879372343903,59.880239520958085,121.60863458268648,9999.0,9999.0,9999.0,9999.0,92.5725291922475
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,69.93006993006993,9999.0,56.42739023320172,79.86609277857485,127.90745040531183,0.0,89.45320975066733,82.85767344839627,74.96671343762267,9999.0,110.89285910289834,9999.0,123.09405689986839,9999.0,9999.0,9999.0,9999.0,54.76778580794682,9999.0,70.92198581560284,9999.0,9999.0,61.193708252531785,74.67667918231123,56.05070310952664,9999.0,9999.0,39.21568627450981,9999.0,9999.0,9999.0,9999.0,9999.0,116.27906976744185,9999.0,9999.0,59.336410620586264,9999.0,66.839995666775,9999.0,9999.0,57.29886891465447,57.734204793028326,68.02721088435375,77.52986251972052,9999.0,9999.0,9999.0,9999.0,71.94244604316548
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,48.494210117058614,9999.0,35.2112676056338,67.24206013425848,109.07741775908978,89.45320975066733,0.0,64.9412260819145,49.82218535898106,9999.0,96.29467197083807,9999.0,101.87793427230048,9999.0,9999.0,9999.0,9999.0,43.51797719964923,9999.0,88.87184516475133,9999.0,9999.0,49.636858318530344,85.69851638395895,35.3356890459364,9999.0,9999.0,50.23752347615753,9999.0,9999.0,9999.0,9999.0,9999.0,130.47449893877967,9999.0,9999.0,48.996915586948724,9999.0,52.24180853471472,9999.0,9999.0,32.154340836012864,33.44481605351171,70.61587929755132,88.55169972136825,9999.0,9999.0,9999.0,9999.0,47.803793105183445
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,43.56976380144015,9999.0,37.3134328358209,67.87460454414725,109.70996216897856,82.85767344839627,64.9412260819145,0.0,48.415090892481956,9999.0,95.31738838485882,9999.0,103.98009950248758,9999.0,9999.0,9999.0,9999.0,28.08988764044944,9999.0,87.8945615787721,9999.0,9999.0,34.48275862068965,79.10298008168787,37.3134328358209,9999.0,9999.0,43.641987173886456,9999.0,9999.0,9999.0,9999.0,9999.0,115.04640937957987,9999.0,9999.0,48.01963200096948,9999.0,51.26452494873547,9999.0,9999.0,32.78688524590164,32.467532467532465,55.56241511297691,81.95616341909718,9999.0,9999.0,9999.0,9999.0,48.43633751507222
