,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,277.77777777777777,185.18518518518516,263.1578947368421,57.80346820809249,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,50.76142131979696,9999.0,166.66666666666666,9999.0,9999.0,60.975609756097555,500.0,666.6666666666666,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,49.26108374384237,9999.0,9999.0,9999.0,9999.0,9999.0,51.54639175257732,9999.0,9999.0,35.714285714285715,9999.0,39.0625,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,277.77777777777777,9999.0,0.0,9999.0,9999.0,294.11764705882354,588.2352941176471,384.61538461538464,62.11180124223603,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,322.5806451612903,9999.0,9999.0,9999.0,9999.0,86.95652173913044,196.078431372549,136.986301369863,9999.0,9999.0,28.653295128939828,9999.0,9999.0,9999.0,9999.0,9999.0,74.07407407407408,9999.0,9999.0,500.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,133.33333333333334,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,185.18518518518516,9999.0,9999.0,0.0,9999.0,149.2537313432836,172.41379310344828,277.77777777777777,64.51612903225806,9999.0,9999.0,9999.0,833.3333333333334,9999.0,9999.0,9999.0,9999.0,9999.0,175.43859649122805,9999.0,9999.0,9999.0,9999.0,79.36507936507937,192.30769230769232,107.52688172043011,9999.0,9999.0,29.58579881656805,9999.0,9999.0,9999.0,9999.0,9999.0,80.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,217.3913043478261,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,263.1578947368421,9999.0,9999.0,9999.0,0.0,1000.0,169.49152542372883,188.67924528301887,500.0,9999.0,9999.0,9999.0,454.5454545454545,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,714.2857142857143,1000.0,370.3703703703703,9999.0,9999.0,98.0392156862745,9999.0,9999.0,9999.0,9999.0,9999.0,625.0,9999.0,9999.0,588.2352941176471,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,769.2307692307693,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,57.80346820809249,9999.0,294.11764705882354,149.2537313432836,1000.0,0.0,243.90243902439022,56.17977528089888,322.5806451612903,9999.0,9999.0,9999.0,133.33333333333334,9999.0,9999.0,9999.0,9999.0,9999.0,30.581039755351682,9999.0,243.90243902439022,9999.0,9999.0,31.446540880503143,263.1578947368421,9999.0,9999.0,9999.0,39.52569169960474,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,49.26108374384237,1000.0,9999.0,88.49557522123894,9999.0,156.25,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,588.2352941176471,172.41379310344828,169.49152542372883,243.90243902439022,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,52.083333333333336,9999.0,135.13513513513513,9999.0,9999.0,53.763440860215056,256.4102564102564,133.33333333333334,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,133.33333333333334,9999.0,45.662100456621005,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,9999.0,384.61538461538464,277.77777777777777,188.67924528301887,56.17977528089888,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,32.57328990228013,9999.0,97.08737864077669,9999.0,9999.0,42.37288135593221,1000.0,769.2307692307693,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,44.44444444444444,9999.0,9999.0,9999.0,9999.0,9999.0,49.75124378109453,9999.0,9999.0,40.0,9999.0,45.45454545454546,9999.0,9999.0,9999.0
