construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,68.9655172413793,96.67173694895939,181.81818181818184,103.5594417947359,115.41924959891107,105.17498138495904,169.57486409935314,9999.0,100.09935419771486,9999.0,234.88311906278054,9999.0,9999.0,9999.0,9999.0,9999.0,73.52941176470588,9999.0,114.17981826877093,9999.0,9999.0,83.36796754762901,113.77526898013033,118.17226890756302,9999.0,9999.0,72.28149304652037,9999.0,9999.0,9999.0,9999.0,9999.0,181.22708722418204,9999.0,9999.0,132.88755365258098,9999.0,9999.0,9999.0,9999.0,9999.0,127.53011183105073,168.9655172413793,9999.0,54.6448087431694,9999.0,9999.0,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,68.9655172413793,9999.0,0.0,39.966567889977966,133.22338281106835,57.62255081062901,58.71408053992964,62.763881521138565,112.86969504037172,9999.0,39.682539682539684,9999.0,178.17795000379914,9999.0,9999.0,9999.0,9999.0,9999.0,36.96145966269496,9999.0,65.4224884111282,9999.0,9999.0,26.66279848864759,57.0700999211489,64.8307374199453,9999.0,9999.0,15.576323987538942,9999.0,9999.0,9999.0,9999.0,9999.0,159.79528677190257,9999.0,9999.0,76.18238459359955,9999.0,9999.0,9999.0,9999.0,9999.0,70.82494277206932,100.0,9999.0,33.21300829088991,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,96.67173694895939,9999.0,39.966567889977966,0.0,142.03730272596843,66.43647072552909,67.52800045482972,71.57780143603864,121.6836149552718,9999.0,74.69240467805747,9999.0,186.9918699186992,9999.0,9999.0,9999.0,9999.0,9999.0,45.77537957759505,9999.0,74.23640832602828,9999.0,9999.0,35.47671840354767,65.88401983604899,73.64465733484538,9999.0,9999.0,24.390243902439025,9999.0,9999.0,9999.0,9999.0,9999.0,168.60920668680265,9999.0,9999.0,84.99630450849963,9999.0,9999.0,9999.0,9999.0,9999.0,79.6388626869694,139.96656788997797,9999.0,42.02692820578999,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,181.81818181818184,9999.0,133.22338281106835,142.03730272596843,0.0,159.69328564661947,128.2051282051282,164.83461635712902,214.9404298763622,9999.0,131.57894736842104,9999.0,277.77777777777777,9999.0,9999.0,9999.0,9999.0,9999.0,139.03219449868544,9999.0,167.49322324711866,9999.0,9999.0,128.73353332463805,159.14083475713937,166.90147225593574,9999.0,9999.0,117.6470588235294,9999.0,9999.0,9999.0,9999.0,9999.0,261.866021607893,9999.0,9999.0,178.25311942959001,9999.0,9999.0,9999.0,9999.0,9999.0,172.89567760805977,233.22338281106835,9999.0,135.28374312688038,9999.0,9999.0,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,103.5594417947359,9999.0,57.62255081062901,66.43647072552909,159.69328564661947,0.0,63.01103437326347,61.67559965028319,117.16664887370557,9999.0,70.17543859649123,9999.0,182.47490383713296,9999.0,9999.0,9999.0,9999.0,9999.0,30.030030030030026,9999.0,69.71944224446204,9999.0,9999.0,30.959752321981423,83.54000275670003,69.12769125327912,9999.0,9999.0,42.046226823090066,9999.0,9999.0,9999.0,9999.0,9999.0,186.2651896074537,9999.0,9999.0,87.45692746322436,9999.0,9999.0,9999.0,9999.0,9999.0,97.29484560762045,144.59611595834505,9999.0,59.682911126441034,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,115.41924959891107,9999.0,58.71408053992964,67.52800045482972,128.2051282051282,63.01103437326347,0.0,68.15236508377302,118.2581786030062,9999.0,71.26696832579185,9999.0,183.56643356643357,9999.0,9999.0,9999.0,9999.0,9999.0,42.349943225329426,9999.0,70.81097197376266,9999.0,9999.0,32.05128205128205,84.63153248600065,70.21922098257976,9999.0,9999.0,43.1377565523907,9999.0,9999.0,9999.0,9999.0,9999.0,187.3567193367543,9999.0,9999.0,88.54845719252498,9999.0,9999.0,9999.0,9999.0,9999.0,98.38637533692108,145.68764568764567,9999.0,60.774440855741666,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,105.17498138495904,9999.0,62.763881521138565,71.57780143603864,164.83461635712902,61.67559965028319,68.15236508377302,0.0,122.30797958421512,9999.0,75.31676930700078,9999.0,187.6162345476425,9999.0,9999.0,9999.0,9999.0,9999.0,31.645569620253163,9999.0,72.2959761243182,9999.0,9999.0,36.101083032490976,88.68133346720958,74.26902196378867,9999.0,9999.0,47.18755753359962,9999.0,9999.0,9999.0,9999.0,9999.0,191.40652031796324,9999.0,9999.0,92.59825817373391,9999.0,9999.0,9999.0,9999.0,9999.0,102.43617631813001,149.7374466688546,9999.0,64.82424183695059,9999.0,9999.0,9999.0,9999.0,9999.0
