,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,126.58227848101265,107.52688172043011,270.27027027027026,45.45454545454546,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,285.7142857142857,9999.0,1000.0,9999.0,1000.0,175.43859649122805,126.58227848101265,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,108.69565217391305,9999.0,263.1578947368421,9999.0,9999.0,156.25,400.0,9999.0,9999.0,138.88888888888889,9999.0,9999.0,90.90909090909092,9999.0,114.9425287356322
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,126.58227848101265,9999.0,0.0,9999.0,9999.0,20.74688796680498,250.0,33.333333333333336,64.93506493506493,9999.0,42.73504273504273,9999.0,72.99270072992701,9999.0,9999.0,9999.0,9999.0,9999.0,37.735849056603776,9999.0,9999.0,9999.0,92.59259259259258,92.59259259259258,23.364485981308412,9999.0,9999.0,212.7659574468085,9999.0,9999.0,9999.0,9999.0,9999.0,56.81818181818181,9999.0,9999.0,94.33962264150944,9999.0,26.041666666666668,9999.0,9999.0,29.58579881656805,9999.0,34.013605442176875,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,19.880715705765407
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,107.52688172043011,9999.0,9999.0,0.0,9999.0,133.33333333333334,1000.0,116.27906976744185,217.3913043478261,9999.0,500.0,9999.0,147.05882352941177,9999.0,9999.0,9999.0,9999.0,9999.0,42.918454935622314,9999.0,9999.0,9999.0,333.3333333333333,1000.0,476.1904761904762,9999.0,9999.0,58.47953216374269,9999.0,9999.0,9999.0,9999.0,9999.0,147.05882352941177,9999.0,9999.0,116.27906976744185,9999.0,62.893081761006286,9999.0,9999.0,56.81818181818181,9999.0,53.475935828877,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,119.04761904761905
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,270.27027027027026,9999.0,9999.0,9999.0,0.0,55.865921787709496,126.58227848101265,243.90243902439022,169.49152542372883,9999.0,101.010101010101,9999.0,175.43859649122805,9999.0,9999.0,9999.0,9999.0,9999.0,43.859649122807014,9999.0,9999.0,9999.0,149.2537313432836,217.3913043478261,86.20689655172414,9999.0,9999.0,30.581039755351682,9999.0,9999.0,9999.0,9999.0,9999.0,96.15384615384616,9999.0,9999.0,43.859649122807014,9999.0,27.700831024930746,9999.0,9999.0,181.81818181818184,9999.0,38.75968992248062,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,400.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,45.45454545454546,9999.0,20.74688796680498,133.33333333333334,55.865921787709496,0.0,79.36507936507937,21.05263157894737,303.03030303030306,9999.0,21.645021645021647,9999.0,37.174721189591075,9999.0,9999.0,9999.0,9999.0,9999.0,19.960079840319363,9999.0,30.8641975308642,9999.0,27.247956403269754,38.02281368821293,9999.0,9999.0,9999.0,58.13953488372093,9999.0,9999.0,9999.0,9999.0,9999.0,81.96721311475409,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,23.364485981308412,20.833333333333332,9999.0,25.77319587628866,9999.0,9999.0,32.57328990228013,9999.0,11.723329425556859
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,250.0,1000.0,126.58227848101265,79.36507936507937,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,217.3913043478261,9999.0,102.04081632653062,9999.0,102.04081632653062,238.0952380952381,56.81818181818181,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,90.90909090909092,9999.0,68.9655172413793,9999.0,9999.0,75.75757575757576,344.82758620689657,9999.0,9999.0,59.1715976331361,9999.0,9999.0,285.7142857142857,9999.0,79.36507936507937
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,9999.0,33.333333333333336,116.27906976744185,243.90243902439022,21.05263157894737,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,30.12048192771084,9999.0,48.543689320388346,9999.0,42.016806722689076,80.0,19.49317738791423,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,163.93442622950818,9999.0,25.706940874035993,9999.0,9999.0,20.53388090349076,30.12048192771084,9999.0,9999.0,31.545741324921135,9999.0,9999.0,72.99270072992701,9999.0,17.699115044247787
