construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,66.20143342135044,107.52688172043011,101.32046724225495,45.45454545454546,124.81962481962483,66.50717703349284,121.69595762756795,9999.0,67.09956709956711,9999.0,82.62926664413654,9999.0,9999.0,9999.0,9999.0,9999.0,65.41462529486482,9999.0,76.31874298540966,9999.0,72.70250185781521,83.47735914275839,69.60023512854953,9999.0,9999.0,98.85944134837652,9999.0,9999.0,9999.0,9999.0,9999.0,104.34768620085704,9999.0,9999.0,107.59137769447048,9999.0,76.37173284555338,9999.0,9999.0,70.76483140184145,68.81903143585387,66.2878787878788,9999.0,71.22774133083412,9999.0,9999.0,78.02783535682559,9999.0,57.17787488010232
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,66.20143342135044,9999.0,0.0,79.80597336247617,53.742497691597414,20.74688796680498,80.18266779949022,33.333333333333336,64.93506493506493,9999.0,42.39190961182663,9999.0,50.74491323662961,9999.0,9999.0,9999.0,9999.0,9999.0,36.887518426853845,9999.0,51.61108549766918,9999.0,47.99484437007473,58.76970165501791,23.364485981308412,9999.0,9999.0,67.21937781653077,9999.0,9999.0,9999.0,9999.0,9999.0,56.81818181818181,9999.0,9999.0,82.88372020673,9999.0,26.041666666666668,9999.0,9999.0,29.58579881656805,36.35518028566656,34.013605442176875,9999.0,46.520083843093644,9999.0,9999.0,47.581546730696154,9999.0,19.880715705765407
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,107.52688172043011,9999.0,79.80597336247617,0.0,86.77810405842934,62.878534775941674,120.56997008713746,73.03893686333316,128.7806700333689,9999.0,74.0711029107002,9999.0,89.71291866028707,9999.0,9999.0,9999.0,9999.0,9999.0,42.918454935622314,9999.0,93.74273230680588,9999.0,86.40398063474987,100.90134846415461,63.75178826895565,9999.0,9999.0,58.47953216374269,9999.0,9999.0,9999.0,9999.0,9999.0,97.56326367879171,9999.0,9999.0,106.78871090770404,9999.0,62.893081761006286,9999.0,9999.0,56.81818181818181,60.87177630007474,53.475935828877,9999.0,87.79024980741718,9999.0,9999.0,85.11254776262653,9999.0,59.925257656710755
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,101.32046724225495,9999.0,53.742497691597414,86.77810405842934,0.0,55.865921787709496,96.66634826631005,53.40777189896674,94.11090540421404,9999.0,72.86871496440777,9999.0,71.17909189449597,9999.0,9999.0,9999.0,9999.0,9999.0,43.859649122807014,9999.0,69.89492385193496,9999.0,74.64918783244248,93.06030814911377,59.31704923882901,9999.0,9999.0,30.581039755351682,9999.0,9999.0,9999.0,9999.0,9999.0,94.06450031113653,9999.0,9999.0,43.859649122807014,9999.0,27.700831024930746,9999.0,9999.0,60.481645512120934,61.445237286215885,38.75968992248062,9999.0,53.341856665956385,9999.0,9999.0,74.59552001531254,9999.0,46.8946889903818
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,45.45454545454546,9999.0,20.74688796680498,62.878534775941674,55.865921787709496,0.0,79.36507936507937,21.05263157894737,76.2414121730225,9999.0,21.645021645021647,9999.0,37.174721189591075,9999.0,9999.0,9999.0,9999.0,9999.0,19.960079840319363,9999.0,30.8641975308642,9999.0,27.247956403269754,38.02281368821293,24.145689674004064,9999.0,9999.0,53.40489589383107,9999.0,9999.0,9999.0,9999.0,9999.0,58.89314074631157,9999.0,9999.0,62.13683223992503,9999.0,30.917187391007914,9999.0,9999.0,25.310285947295988,23.364485981308412,20.833333333333332,9999.0,25.77319587628866,9999.0,9999.0,32.57328990228013,9999.0,11.723329425556859
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,124.81962481962483,9999.0,80.18266779949022,120.56997008713746,96.66634826631005,79.36507936507937,0.0,76.31135920609604,120.52129088466985,9999.0,90.71648690292758,9999.0,88.76706360731919,9999.0,9999.0,9999.0,9999.0,9999.0,77.65151515151514,9999.0,89.28571428571428,9999.0,85.14679371619881,100.67783094098883,56.81818181818181,9999.0,9999.0,105.46789392943239,9999.0,9999.0,9999.0,9999.0,9999.0,116.41035338738374,9999.0,9999.0,90.90909090909092,9999.0,68.9655172413793,9999.0,9999.0,75.75757575757576,78.89323700581978,82.5251226922178,9999.0,59.1715976331361,9999.0,9999.0,96.94137309155977,9999.0,69.24054206662902
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,66.50717703349284,9999.0,33.333333333333336,73.03893686333316,53.40777189896674,21.05263157894737,76.31135920609604,0.0,89.0680683399209,9999.0,42.69765322396901,9999.0,48.563312575111986,9999.0,9999.0,9999.0,9999.0,9999.0,30.12048192771084,9999.0,48.543689320388346,9999.0,42.016806722689076,59.0754452671603,19.49317738791423,9999.0,9999.0,60.984679458575044,9999.0,9999.0,9999.0,9999.0,9999.0,64.86892636500251,9999.0,9999.0,67.9093776885575,9999.0,25.706940874035993,9999.0,9999.0,20.53388090349076,30.12048192771084,41.8859649122807,9999.0,31.545741324921135,9999.0,9999.0,45.39994606917853,9999.0,17.699115044247787
