,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authoritarian_governance_tolerance|WVS_E,,0.0,,0.0384,-0.0094,0.0319,-0.003,,,,,0.0047,,,,,-0.0081,,-0.0216,,-0.045,0.0065,0.0075,0.0124,,-0.0512,-0.0246,-0.0671,,0.0235,,,-0.0117,,,,,-0.0195,-0.0195,0.0343,-0.0712,-0.0425,0.0394,,-0.0735,0.0504,,0.0368,-0.0253,,
autocracy_support|WVS_E,,,0.0,-0.0396,0.007,-0.0313,0.0038,,,,,-0.0051,,,,,0.0093,,0.0188,,0.0422,0.0045,-0.01,-0.0058,,0.0515,0.0234,0.0655,,-0.0191,,,0.0139,,,,,0.0159,0.0162,-0.0372,0.072,0.0443,-0.0352,,0.0675,-0.0459,,-0.033,0.0261,,
basic_needs_deprivation|WVS_H,,0.0384,-0.0396,0.0,-0.0007,0.0379,-0.0044,,0.0118,-0.0223,0.008,,-0.029,0.0136,0.0363,0.0132,,,-0.01,,-0.0278,-0.0246,0.0108,,,-0.0518,-0.0207,-0.0524,,,-0.0734,,-0.0248,,,-0.0621,-0.01,,-0.0157,0.0495,-0.0711,-0.0504,0.0381,-0.0435,-0.0647,0.0395,-0.0036,,-0.0231,-0.0159,
child_qualities_autonomy_self_expression|WVS_A,,-0.0094,0.007,-0.0007,0.0,,,,-0.0051,0.0111,-0.0103,-0.0002,-0.0213,-0.0124,0.0034,-0.0071,0.0104,,0.0121,,0.0098,-0.0508,,-0.0236,,0.0162,0.0142,0.0199,,-0.0091,-0.0008,,-0.0075,,,0.0362,-0.0136,-0.0102,-0.0033,-0.0153,0.0179,0.0257,-0.006,-0.0013,0.0244,,-0.0081,-0.0444,,0.0471,
child_qualities_conformity_tradition|WVS_A,,0.0319,-0.0313,0.0379,,0.0,,,0.0172,-0.0207,0.0118,-0.004,-0.0205,0.0134,0.0296,0.0243,-0.0208,,-0.0075,,-0.0195,0.0119,,0.0149,,-0.0473,-0.0209,-0.047,,0.018,-0.0643,,-0.0196,,,-0.0674,-0.0043,0.0061,-0.0172,0.055,-0.0565,-0.0552,0.0346,-0.0357,-0.0613,,-0.0031,0.0307,,-0.0326,
child_qualities_prosocial_diligence|WVS_A,,-0.003,0.0038,-0.0044,,,0.0,,0.0003,0.0026,-0.0027,-0.0,0.0008,-0.0034,-0.0032,-0.0008,0.0047,,0.0012,,-0.0006,-0.0027,,-0.0024,,0.0071,0.0034,0.005,,0.0002,0.0056,,0.0026,,,0.0096,-0.0001,-0.0063,-0.0012,-0.0077,0.0076,0.0099,-0.0033,0.0031,0.0058,,-0.0035,-0.0053,,0.0034,
civic_dishonesty_tolerance|WVS_F,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_in_civil_society_organizations|WVS_E,,,,0.0118,-0.0051,0.0172,0.0003,,0.0,,,-0.0001,,,,,0.002,,-0.0123,,-0.0314,0.0233,-0.0025,0.0135,,-0.0187,-0.012,-0.0372,,0.0221,,,0.0026,,,,,-0.0226,-0.0175,0.0135,-0.0296,-0.0137,0.0153,,-0.0365,0.0232,,0.0306,-0.0111,,
confidence_in_domestic_institutions|WVS_E,,,,-0.0223,0.0111,-0.0207,0.0026,,,0.0,,-0.0031,,,,,0.0051,,0.0179,,0.0339,-0.0201,-0.0036,-0.0145,,0.0367,0.02,0.0492,,-0.0201,,,0.0036,,,,,0.0156,0.0132,-0.0259,0.0499,0.0316,-0.0231,,0.055,-0.0359,,-0.0356,0.0192,,
