,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,26.041666666666668,106.38297872340425,31.347962382445143,333.3333333333333,9999.0,9999.0,9999.0,9999.0,212.7659574468085,9999.0,9999.0,9999.0,9999.0,123.4567901234568,9999.0,46.29629629629629,9999.0,22.22222222222222,153.84615384615384,133.33333333333334,80.64516129032258,9999.0,19.53125,40.65040650406504,14.903129657228016,9999.0,42.5531914893617,9999.0,9999.0,85.47008547008546,9999.0,9999.0,9999.0,9999.0,51.282051282051285,51.282051282051285,29.15451895043732,14.04494382022472,23.52941176470588,25.38071065989848,9999.0,13.60544217687075,19.841269841269842,9999.0,27.17391304347826,39.52569169960474,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,25.25252525252525,142.85714285714286,31.948881789137378,263.1578947368421,9999.0,9999.0,9999.0,9999.0,196.078431372549,9999.0,9999.0,9999.0,9999.0,107.52688172043011,9999.0,53.191489361702125,9999.0,23.696682464454977,222.22222222222223,100.0,172.41379310344828,9999.0,19.417475728155342,42.73504273504273,15.267175572519083,9999.0,52.35602094240838,9999.0,9999.0,71.94244604316548,9999.0,9999.0,9999.0,9999.0,62.893081761006286,61.7283950617284,26.881720430107528,13.88888888888889,22.573363431151243,28.409090909090907,9999.0,14.814814814814813,21.78649237472767,9999.0,30.3030303030303,38.314176245210724,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,26.041666666666668,25.25252525252525,0.0,1000.0,26.38522427440633,227.27272727272725,9999.0,84.74576271186442,44.84304932735426,125.0,9999.0,34.48275862068965,73.52941176470588,27.548209366391184,75.75757575757576,9999.0,9999.0,100.0,9999.0,35.97122302158274,40.65040650406504,92.59259259259258,9999.0,9999.0,19.305019305019304,48.309178743961354,19.083969465648853,9999.0,9999.0,13.623978201634877,9999.0,40.32258064516129,9999.0,9999.0,16.10305958132045,100.0,9999.0,63.69426751592357,20.2020202020202,14.064697609001406,19.841269841269842,26.246719160104984,22.98850574712644,15.45595054095827,25.31645569620253,277.77777777777777,9999.0,43.29004329004329,62.893081761006286,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,106.38297872340425,142.85714285714286,1000.0,0.0,9999.0,9999.0,9999.0,196.078431372549,90.09009009009009,97.08737864077669,1000.0,46.948356807511736,80.64516129032258,294.11764705882354,140.8450704225352,96.15384615384616,9999.0,82.64462809917356,9999.0,102.04081632653062,19.68503937007874,9999.0,42.37288135593221,9999.0,61.7283950617284,70.4225352112676,50.25125628140703,9999.0,109.89010989010988,1000.0,9999.0,133.33333333333334,9999.0,9999.0,27.62430939226519,73.52941176470588,98.0392156862745,303.03030303030306,65.35947712418302,55.865921787709496,38.91050583657587,166.66666666666666,769.2307692307693,40.983606557377044,9999.0,123.4567901234568,22.52252252252252,9999.0,21.231422505307854,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,31.347962382445143,31.948881789137378,26.38522427440633,9999.0,0.0,9999.0,9999.0,58.13953488372093,48.309178743961354,84.74576271186442,250.0,48.78048780487805,74.6268656716418,33.78378378378378,41.1522633744856,48.07692307692308,9999.0,133.33333333333334,9999.0,51.282051282051285,84.03361344537815,9999.0,67.11409395973155,9999.0,21.14164904862579,47.84688995215311,21.27659574468085,9999.0,55.55555555555556,15.552099533437016,9999.0,51.02040816326531,9999.0,9999.0,14.836795252225519,232.5581395348837,163.93442622950818,58.13953488372093,18.181818181818183,17.699115044247787,18.115942028985508,28.901734104046245,28.011204481792713,16.31321370309951,9999.0,322.5806451612903,32.57328990228013,9999.0,30.674846625766875,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,333.3333333333333,263.1578947368421,227.27272727272725,9999.0,9999.0,0.0,9999.0,1000.0,384.61538461538464,370.3703703703703,1000.0,1000.0,294.11764705882354,312.5,1000.0,212.7659574468085,9999.0,833.3333333333334,9999.0,1000.0,370.3703703703703,9999.0,416.6666666666667,9999.0,140.8450704225352,294.11764705882354,200.0,9999.0,1000.0,178.57142857142858,9999.0,384.61538461538464,9999.0,9999.0,104.16666666666667,1000.0,158.73015873015873,833.3333333333334,129.87012987012986,131.57894736842104,101.010101010101,303.03030303030306,322.5806451612903,172.41379310344828,9999.0,285.7142857142857,188.67924528301887,9999.0,294.11764705882354,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,84.74576271186442,196.078431372549,58.13953488372093,1000.0,9999.0,0.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,500.0,9999.0,81.30081300813008,9999.0,31.847133757961785,42.918454935622314,400.0,74.07407407407408,9999.0,53.475935828877,83.33333333333333,26.881720430107528,9999.0,45.24886877828054,9999.0,9999.0,384.61538461538464,9999.0,9999.0,9999.0,9999.0,44.24778761061947,57.14285714285714,74.07407407407408,33.78378378378378,72.99270072992701,65.35947712418302,9999.0,27.397260273972606,43.10344827586207,9999.0,32.67973856209151,90.09009009009009,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,44.84304932735426,90.09009009009009,48.309178743961354,384.61538461538464,9999.0,9999.0,0.0,9999.0,322.5806451612903,9999.0,9999.0,9999.0,9999.0,196.078431372549,9999.0,55.865921787709496,9999.0,29.498525073746315,49.75124378109453,277.77777777777777,68.9655172413793,9999.0,27.247956403269754,50.0,20.32520325203252,9999.0,49.75124378109453,9999.0,9999.0,277.77777777777777,9999.0,9999.0,9999.0,9999.0,64.1025641025641,75.75757575757576,38.61003861003861,20.04008016032064,31.645569620253163,43.29004329004329,9999.0,18.181818181818183,27.855153203342617,9999.0,28.08988764044944,52.083333333333336,9999.0,9999.0
