,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,-0.0005,-0.0071,,-0.0302,0.0121,-0.0074,-0.0341,-0.0058,-0.021,0.0076,,0.0045,0.0233,-0.0009,0.0241,,-0.0259,0.0036,,0.0042,0.0102,-0.0207,,-0.0264,-0.0153,-0.0148,-0.0307,0.0059,,,-0.05,0.0059,0.0157,-0.0035,0.0017,0.0141,,0.0197,0.0181,-0.0234,-0.0342,0.026,-0.0048,-0.0456,-0.0055,0.0251,,-0.0339,-0.0152,-0.0511,-0.0341
authoritarian_governance_tolerance|WVS_E,-0.0005,0.0,,,0.0041,0.0041,-0.0015,0.0019,,,,0.0007,,,,,-0.0032,0.003,0.0043,0.0017,0.0076,0.0007,0.0031,-0.0013,,0.0071,0.0038,0.002,0.0003,-0.0006,,,0.0001,-0.0031,-0.0025,,,0.0062,0.0004,0.0031,-0.0018,-0.0089,0.0002,,0.0023,-0.0016,,-0.0036,-0.0008,-0.0043,,0.0049
autocracy_support|WVS_E,-0.0071,,0.0,,0.0071,-0.0072,0.0034,0.0072,,,,0.0136,,,,,0.0091,0.0053,-0.0047,-0.0077,-0.0074,-0.0032,0.0024,-0.0055,,-0.0006,0.0011,0.0071,-0.0015,-0.0037,,,-0.0013,-0.0022,0.0032,,,-0.0082,-0.0058,-0.0077,0.0084,0.0156,-0.0078,,0.0117,0.0024,,-0.0085,0.0098,0.007,,0.0057
basic_needs_deprivation|WVS_H,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,-0.0302,0.0041,0.0071,,0.0,,,0.0375,0.0061,0.0272,-0.0007,0.0616,-0.0154,-0.0288,-0.0001,-0.0274,0.0242,0.0385,0.0001,-0.0179,0.0134,0.0045,,-0.02,0.0256,0.0452,0.0204,0.0463,-0.0042,-0.0235,,0.0616,0.0032,-0.0195,0.0052,-0.0041,-0.0225,-0.001,-0.024,-0.0182,0.0292,0.0186,-0.0305,0.0075,0.0666,,-0.0288,-0.0407,,0.0033,0.0506,0.0475
child_qualities_conformity_tradition|WVS_A,0.0121,0.0041,-0.0072,,,0.0,,-0.0034,-0.0161,-0.0185,-0.0131,-0.024,-0.0002,0.0102,0.0024,0.0054,-0.0207,-0.0068,0.0192,0.0074,0.0226,0.0029,,0.0034,-0.0141,0.0008,0.0082,-0.0091,-0.0056,0.013,,-0.0221,0.001,-0.0038,-0.0144,-0.0128,0.0007,0.0144,0.0097,0.0165,-0.0146,-0.0334,0.0078,-0.0094,-0.0215,,0.0122,-0.0097,,-0.01,-0.0092,-0.002
child_qualities_prosocial_diligence|WVS_A,-0.0074,-0.0015,0.0034,,,,0.0,0.0074,0.0069,0.0104,0.0037,0.0134,-0.0023,-0.008,-0.0,-0.007,0.0108,0.0057,-0.0059,-0.0068,-0.0066,0.0014,,-0.0026,0.011,0.0021,0.0007,0.0091,-0.0027,-0.0045,,0.0203,0.0021,-0.0006,0.0047,0.0066,-0.001,-0.009,-0.0067,-0.0085,0.0106,0.0175,-0.0096,0.0057,0.0149,,-0.0086,-0.0087,,0.0071,0.0117,0.0068
civic_dishonesty_tolerance|WVS_F,-0.0341,0.0019,0.0072,,0.0375,-0.0034,0.0074,0.0,0.0024,0.0253,-0.0173,0.0612,-0.011,-0.0357,0.0041,-0.0389,0.0275,0.0375,0.0048,-0.0375,0.0059,-0.0059,0.0399,-0.0274,0.039,0.0217,0.0304,,-0.0208,-0.0121,,0.0801,-0.0019,-0.0251,-0.0013,0.0012,-0.0182,-0.0233,,,,,-0.0425,0.009,,0.0136,-0.0371,-0.0813,0.0507,,0.0769,0.0521
confidence_in_civil_society_organizations|WVS_E,-0.0058,,,,0.0061,-0.0161,0.0069,0.0024,0.0,,,0.01,,,,,0.0153,0.0001,-0.0121,-0.0065,-0.0161,0.0035,-0.0046,0.0009,,-0.0074,-0.0045,0.0068,-0.0028,-0.0032,,,0.0039,0.0045,0.0085,,,-0.0169,-0.0067,-0.0127,0.0132,0.028,-0.0106,,0.012,0.0047,,-0.0021,0.0118,0.0124,,0.0011
confidence_in_domestic_institutions|WVS_E,-0.021,,,,0.0272,-0.0185,0.0104,0.0253,,0.0,,0.0388,,,,,0.0251,0.0179,-0.0105,-0.0197,-0.0113,-0.0005,0.0092,-0.0123,,0.0078,0.0078,0.0275,-0.0075,-0.0117,,,0.0017,-0.0071,0.0081,,,-0.0219,-0.0172,-0.0191,0.0259,0.0396,-0.0261,,0.0389,0.0071,,-0.0302,0.0317,0.0184,,0.0252
confidence_in_international_organizations|WVS_E,0.0076,,,,-0.0007,-0.0131,0.0037,-0.0173,,,0.0,-0.0134,,,,,0.0019,-0.0105,-0.0105,0.0133,-0.0076,0.0119,-0.0187,0.0157,,-0.0024,-0.0131,-0.0078,0.0056,-0.0004,,,0.0076,0.013,0.0084,,,0.0025,0.0034,-0.0008,-0.003,0.0011,0.008,,-0.0093,-0.0039,,0.0319,-0.0128,-0.0049,,-0.0157
crime_victimization|WVS_H,,0.0007,0.0136,,0.0616,-0.024,0.0134,0.0612,0.01,0.0388,-0.0134,0.0,-0.0064,-0.0405,0.0007,-0.0431,,0.0469,-0.0084,,-0.0113,-0.0241,0.0334,,0.0415,0.0264,0.0259,0.0524,-0.0062,,,0.0875,-0.0171,-0.0305,0.0065,-0.0052,-0.0269,,-0.035,-0.0319,0.0437,0.0649,-0.0431,0.0069,0.0861,0.0084,-0.0489,,0.0601,0.0295,0.0956,0.0567
