,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,9.46969696969697,18.484288354898336,238.0952380952381,23.52941176470588,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,25.974025974025974,9999.0,34.013605442176875,9999.0,9999.0,16.129032258064516,19.011406844106464,17.857142857142858,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,21.413276231263385,9999.0,20.920502092050206,9999.0,9999.0,20.2020202020202,16.339869281045754,9999.0,9999.0,21.186440677966104,9999.0,9999.0,9.9304865938431,9999.0,21.05263157894737
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,9.46969696969697,9999.0,0.0,9999.0,9999.0,21.78649237472767,114.9425287356322,11.273957158962796,16.69449081803005,9999.0,8.340283569641368,9999.0,31.446540880503143,9999.0,9999.0,9999.0,9999.0,9999.0,7.79423226812159,9999.0,9999.0,9999.0,9999.0,8.064516129032258,11.098779134295228,9.84251968503937,9999.0,9999.0,5.393743257820928,9999.0,9999.0,9999.0,9999.0,9999.0,153.84615384615384,9999.0,9999.0,18.115942028985508,9999.0,18.01801801801802,9999.0,9999.0,9.250693802035153,9999.0,212.7659574468085,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,14.326647564469914
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,18.484288354898336,9999.0,9999.0,0.0,9999.0,322.5806451612903,120.48192771084337,23.86634844868735,45.45454545454546,9999.0,14.836795252225519,9999.0,172.41379310344828,9999.0,9999.0,9999.0,9999.0,9999.0,12.69035532994924,9999.0,9999.0,9999.0,9999.0,13.123359580052492,15.220700152207003,21.50537634408602,9999.0,9999.0,9.025270758122744,9999.0,9999.0,9999.0,9999.0,9999.0,149.2537313432836,9999.0,9999.0,21.27659574468085,9999.0,24.449877750611247,9999.0,9999.0,16.077170418006432,9999.0,82.64462809917356,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,35.714285714285715
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,238.0952380952381,9999.0,9999.0,9999.0,0.0,39.52569169960474,312.5,185.18518518518516,69.93006993006993,9999.0,156.25,9999.0,63.69426751592357,9999.0,9999.0,9999.0,9999.0,9999.0,69.93006993006993,9999.0,9999.0,9999.0,9999.0,156.25,88.49557522123894,294.11764705882354,9999.0,9999.0,625.0,9999.0,9999.0,9999.0,9999.0,9999.0,400.0,9999.0,9999.0,123.4567901234568,9999.0,277.77777777777777,9999.0,9999.0,384.61538461538464,9999.0,100.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,84.74576271186442
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,23.52941176470588,9999.0,21.78649237472767,322.5806451612903,39.52569169960474,0.0,37.174721189591075,25.641025641025642,15.174506828528072,9999.0,42.19409282700422,9999.0,20.0,9999.0,9999.0,9999.0,9999.0,9999.0,94.33962264150944,9999.0,25.06265664160401,9999.0,9999.0,40.32258064516129,125.0,9999.0,9999.0,9999.0,13.736263736263735,9999.0,9999.0,9999.0,9999.0,9999.0,32.67973856209151,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,25.706940874035993,11.750881316098708,9999.0,84.03361344537815,9999.0,9999.0,17.6678445229682,9999.0,11.025358324145534
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,114.9425287356322,120.48192771084337,312.5,37.174721189591075,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,61.7283950617284,9999.0,1000.0,9999.0,9999.0,131.57894736842104,100.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0,9999.0,169.49152542372883,9999.0,9999.0,909.090909090909,1000.0,9999.0,9999.0,232.5581395348837,9999.0,9999.0,625.0,9999.0,67.56756756756756
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,9999.0,11.273957158962796,23.86634844868735,185.18518518518516,25.641025641025642,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,25.641025641025642,9999.0,39.0625,9999.0,9999.0,19.083969465648853,24.691358024691358,21.14164904862579,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,36.36363636363637,9999.0,36.101083032490976,9999.0,9999.0,22.026431718061673,21.008403361344538,9999.0,9999.0,27.548209366391184,9999.0,9999.0,14.084507042253522,9999.0,24.390243902439025
