,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,0.0149,-0.0185,,0.0149,0.011,0.0157,0.0229,-0.0018,-0.015,-0.012,,0.0011,0.0076,0.0144,0.0094,,0.0005,-0.0084,,-0.0042,-0.0078,0.0054,,-0.0095,-0.0183,0.0184,-0.0,0.0134,,,-0.0025,0.0026,-0.0164,-0.0221,0.012,-0.0013,,-0.0323,0.0004,0.0022,-0.0062,-0.015,0.0023,0.0077,0.0033,-0.0114,,0.0007,0.0153,0.0107,0.016,0.044,-0.0028
authoritarian_governance_tolerance|WVS_E,0.0149,0.0,,0.0108,0.0136,0.0138,0.0057,0.0203,,,,-0.0017,,,,,0.0101,0.0043,-0.0038,0.0047,-0.0075,-0.0007,0.0055,-0.0107,,-0.0134,0.0102,0.0055,-0.0072,0.0026,,,-0.0008,-0.0017,-0.0138,,,-0.0104,-0.0155,0.0087,-0.0071,-0.0073,0.0061,,0.0048,0.0029,,0.0055,-0.004,0.0159,-0.0108,-0.0031,,-0.0029
autocracy_support|WVS_E,-0.0185,,0.0,-0.0138,-0.0239,-0.0091,-0.019,-0.034,,,,-0.0141,,,,,-0.0199,-0.0056,0.0022,0.0014,-0.002,-0.0052,-0.0099,0.0186,,0.007,-0.0199,-0.006,-0.0105,0.0052,,,-0.007,0.0219,0.0225,,,0.0039,0.025,-0.0003,-0.006,0.0018,0.0215,,-0.02,-0.0141,,-0.0131,-0.0099,-0.0221,-0.0224,-0.0281,,-0.0025
basic_needs_deprivation|WVS_H,,0.0108,-0.0138,0.0,0.0024,0.0098,0.014,0.0085,0.0,-0.0223,-0.0082,,0.003,0.0068,0.0078,0.0202,,-0.0062,-0.0142,,-0.0119,-0.0249,-0.0002,,-0.0105,-0.0225,0.0154,-0.0082,0.0221,,,-0.0157,-0.0035,-0.0116,-0.0206,-0.0012,0.0002,,-0.0402,-0.0009,-0.003,-0.0072,-0.0081,-0.0023,-0.009,-0.009,-0.0042,,-0.0065,0.0055,0.0046,0.0007,0.0279,-0.0082
child_qualities_autonomy_self_expression|WVS_A,0.0149,0.0136,-0.0239,0.0024,0.0,,,0.0763,-0.013,0.0156,-0.0271,0.0139,0.0052,0.0064,0.0437,-0.0413,0.0432,0.0229,0.0175,-0.0106,0.0247,0.0521,,-0.0226,0.0216,0.0146,0.0256,0.0302,-0.0055,-0.0152,,0.0745,0.0306,-0.0467,-0.0268,0.0792,-0.0089,-0.0368,0.0078,-0.0003,0.0356,0.0156,-0.0497,0.0373,0.0702,,-0.0371,-0.0129,,0.0478,,,0.0881,0.0257
child_qualities_conformity_tradition|WVS_A,0.011,0.0138,-0.0091,0.0098,,0.0,,0.0122,-0.0003,-0.0072,0.0004,-0.0065,0.0011,0.0112,0.0058,0.0002,0.0086,-0.003,-0.0074,-0.002,-0.0207,-0.0065,,-0.0041,-0.0038,-0.0281,0.0097,0.001,-0.0037,0.007,,-0.0117,-0.0004,0.0001,-0.0115,-0.0032,0.0022,-0.0121,-0.0144,0.006,-0.0073,-0.0031,0.0079,-0.011,-0.0043,,-0.0001,0.0083,,0.0134,,,0.0146,-0.007
child_qualities_prosocial_diligence|WVS_A,0.0157,0.0057,-0.019,0.014,,,0.0,0.0416,-0.0087,-0.0132,-0.0209,0.0234,0.0115,0.0047,0.0257,-0.0004,0.0276,0.0021,-0.003,-0.0128,0.0041,0.0053,,-0.019,0.0116,-0.0124,0.0254,0.0038,0.0269,-0.0095,,0.029,0.0185,-0.0379,-0.0243,0.0344,-0.005,0.0017,-0.0282,-0.0096,0.0224,0.0091,-0.0436,0.0222,0.0242,,-0.0183,0.0173,,0.0222,,,0.0556,0.0059
civic_dishonesty_tolerance|WVS_F,0.0229,0.0203,-0.034,0.0085,0.0763,0.0122,0.0416,0.0,-0.0167,0.0096,-0.0341,0.0159,0.0084,0.0132,0.0542,-0.044,0.0577,0.022,0.0163,-0.0202,0.0148,0.0531,0.028,-0.0281,0.0239,-0.0009,0.0339,,-0.0015,-0.015,,0.0759,0.036,-0.0568,-0.036,0.0885,-0.0091,-0.0467,,,,,-0.0599,0.0383,,0.0569,-0.0441,-0.008,0.0506,,0.0832,0.0898,0.1063,0.0244
confidence_in_civil_society_organizations|WVS_E,-0.0018,,,0.0,-0.013,-0.0003,-0.0087,-0.0167,0.0,,,-0.0037,,,,,-0.0114,-0.001,-0.0018,0.0087,0.0,-0.0084,-0.004,0.003,,0.004,-0.007,-0.0045,-0.0044,0.0026,,,-0.0105,0.0144,0.0049,,,0.0086,0.0009,0.0035,-0.012,-0.008,0.0158,,-0.0122,-0.0108,,-0.0007,-0.0125,-0.0107,-0.0236,-0.0238,,-0.0042
confidence_in_domestic_institutions|WVS_E,-0.015,,,-0.0223,0.0156,-0.0072,-0.0132,0.0096,,0.0,,-0.0163,,,,,-0.0042,0.0193,0.0229,0.0072,0.0246,0.0458,0.0074,0.0059,,0.0389,-0.0158,0.0206,-0.0372,-0.0034,,,0.0047,0.0116,0.016,,,-0.0273,0.052,0.0069,0.006,0.0052,0.007,,0.0345,0.0212,,-0.0431,0.0143,0.0083,-0.0034,-0.0023,,0.0172
