construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,9.46969696969697,18.484288354898336,63.05510346431062,23.52941176470588,60.70413295429695,20.743654128659767,21.103670951385,9999.0,17.114394639820112,9999.0,21.11616892046502,9999.0,9999.0,9999.0,9999.0,9999.0,17.26392923781856,9999.0,34.013605442176875,9999.0,9999.0,16.129032258064516,19.011406844106464,17.857142857142858,9999.0,9999.0,14.863440227517899,9999.0,9999.0,9999.0,9999.0,9999.0,34.62184461853445,9999.0,9999.0,21.413276231263385,9999.0,20.920502092050206,9999.0,9999.0,18.720390771732124,16.339869281045754,35.28029308080459,9999.0,21.186440677966104,9999.0,9999.0,9.9304865938431,9999.0,21.05263157894737
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,9.46969696969697,9999.0,0.0,14.419014015943672,58.65569869368941,19.130006994084663,56.30472818367574,11.273957158962796,16.69449081803005,9999.0,8.340283569641368,9999.0,23.026878840406745,9999.0,9999.0,9999.0,9999.0,9999.0,7.79423226812159,9999.0,27.815267921498055,9999.0,9999.0,8.064516129032258,11.098779134295228,9.84251968503937,9999.0,9999.0,5.393743257820928,9999.0,9999.0,9999.0,9999.0,9999.0,36.53255453847618,9999.0,9999.0,18.115942028985508,9999.0,18.01801801801802,9999.0,9999.0,9.250693802035153,13.904381555693268,30.880888310183373,9999.0,18.709322485517333,9999.0,9999.0,11.841196513784823,9999.0,14.326647564469914
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,18.484288354898336,9999.0,14.419014015943672,0.0,62.28722619399122,22.76153449438648,59.936255683977556,23.86634844868735,26.645908371628536,9999.0,14.836795252225519,9999.0,26.658406340708563,9999.0,9999.0,9999.0,9999.0,9999.0,12.69035532994924,9999.0,31.446795421799873,9999.0,9999.0,13.123359580052492,15.220700152207003,19.954232506756625,9999.0,9999.0,9.025270758122744,9999.0,9999.0,9999.0,9999.0,9999.0,40.164082038778,9999.0,9999.0,21.27659574468085,9999.0,21.651533384385367,9999.0,9999.0,16.077170418006432,17.535909055995084,34.51241581048519,9999.0,22.340849985819148,9999.0,9999.0,15.472724014086639,9999.0,20.88766696215596
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,63.05510346431062,9999.0,58.65569869368941,62.28722619399122,0.0,39.52569169960474,76.70041288919582,65.16671734063038,54.700198528132816,9999.0,64.37744426854995,9999.0,59.52569169960474,9999.0,9999.0,9999.0,9999.0,9999.0,66.44993096181099,9999.0,64.58834834120876,9999.0,9999.0,62.436267362473984,64.99904463774641,64.19091718450235,9999.0,9999.0,53.26195543586848,9999.0,9999.0,9999.0,9999.0,9999.0,72.20543026169625,9999.0,9999.0,66.50698854845126,9999.0,65.8882180621311,9999.0,9999.0,64.0146436079115,61.77259373374082,51.27657301570345,9999.0,66.57753466356489,9999.0,9999.0,57.193536222572945,9999.0,50.55105002375028
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,23.52941176470588,9999.0,19.130006994084663,22.76153449438648,39.52569169960474,0.0,37.174721189591075,25.641025641025642,15.174506828528072,9999.0,24.851752568945212,9999.0,20.0,9999.0,9999.0,9999.0,9999.0,9999.0,26.924239262206253,9999.0,25.06265664160401,9999.0,9999.0,22.910575662869242,25.47335293814167,24.665225484897615,9999.0,9999.0,13.736263736263735,9999.0,9999.0,9999.0,9999.0,9999.0,32.67973856209151,9999.0,9999.0,26.98129684884652,9999.0,26.36252636252636,9999.0,9999.0,24.488951908306746,22.246902034136077,11.750881316098708,9999.0,27.05184296396014,9999.0,9999.0,17.6678445229682,9999.0,11.025358324145534
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,60.70413295429695,9999.0,56.30472818367574,59.936255683977556,76.70041288919582,37.174721189591075,0.0,62.81574683061672,52.34922801811915,9999.0,62.02647375853629,9999.0,57.174721189591075,9999.0,9999.0,9999.0,9999.0,9999.0,61.7283950617284,9999.0,62.23737783119509,9999.0,9999.0,60.08529685246032,62.64807412773275,61.839946674488694,9999.0,9999.0,50.91098492585481,9999.0,9999.0,9999.0,9999.0,9999.0,69.85445975168258,9999.0,9999.0,64.1560180384376,9999.0,63.537247552117435,9999.0,9999.0,61.66367309789782,59.42162322372715,48.92560250568978,9999.0,64.22656415355122,9999.0,9999.0,54.84256571255928,9999.0,48.20007951373661
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,20.743654128659767,9999.0,11.273957158962796,23.86634844868735,65.16671734063038,25.641025641025642,62.81574683061672,0.0,25.25769139979542,9999.0,19.614240728604166,9999.0,25.270189368875446,9999.0,9999.0,9999.0,9999.0,9999.0,19.068189427084384,9999.0,39.0625,9999.0,9999.0,19.083969465648853,22.372736293258022,21.116476844002165,9999.0,9999.0,16.667700416783724,9999.0,9999.0,9999.0,9999.0,9999.0,38.77586506694488,9999.0,9999.0,25.91882656888074,9999.0,25.539260765048482,9999.0,9999.0,20.52465096099795,21.008403361344538,37.39190695712435,9999.0,27.548209366391184,9999.0,9999.0,14.084507042253522,9999.0,24.390243902439025
