,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocracy_support|WVS_E,,0.0,0.0702,-0.0736,0.0537,0.0222,,,,,,,,,,0.0898,,-0.0291,0.0695,0.0828,0.0781,,,,,,,,-0.0743,,0.0783,,,0.0968,-0.1069,,,0.0762,0.0204,,
child_qualities_autonomy_self_expression|WVS_A,,0.0702,0.0,,,0.0425,0.0008,0.0299,0.0226,,,,-0.0113,,,0.0908,,,0.0671,0.079,0.0978,,0.1054,,,0.0199,,,-0.0914,,0.1043,,,0.1102,,-0.0018,,,,,
child_qualities_conformity_tradition|WVS_A,,-0.0736,,0.0,,-0.0288,-0.0066,-0.0279,-0.0173,,,,0.0167,,,-0.09,,,-0.0699,-0.0862,-0.0913,,-0.1121,,,-0.0321,,,0.0903,,-0.1017,,,-0.1088,,-0.0113,,,,,
child_qualities_prosocial_diligence|WVS_A,,0.0537,,,0.0,0.0154,0.0082,0.0189,0.0097,,,,-0.0146,,,0.0633,,,0.0525,0.0603,0.0605,,0.0765,,,0.0291,,,-0.0649,,0.0647,,,0.066,,0.011,,,,,
civic_dishonesty_tolerance|WVS_F,,0.0222,0.0425,-0.0288,0.0154,0.0,0.011,0.0078,0.0191,,,,-0.0146,,,0.0286,,-0.0501,0.0408,0.0505,,,0.0225,,,-0.0166,,,,,,,,,-0.0613,-0.0542,,0.0386,0.0366,,
confidence_in_civil_society_organizations|WVS_E,,,0.0008,-0.0066,0.0082,0.011,0.0,,,,,,,,,-0.0047,,-0.0075,0.0128,0.0118,0.0062,,,,,,,,-0.014,,0.0073,,,0.01,-0.003,,,0.0036,0.008,,
confidence_in_domestic_institutions|WVS_E,,,0.0299,-0.0279,0.0189,0.0078,,0.0,,,,,,,,0.0294,,-0.0073,0.0221,0.0283,0.0305,,,,,,,,-0.0353,,0.0406,,,0.0331,-0.039,,,0.0301,0.0029,,
confidence_in_international_organizations|WVS_E,,,0.0226,-0.0173,0.0097,0.0191,,,0.0,,,,,,,0.024,,-0.0116,0.0141,0.0207,0.0256,,,,,,,,-0.0193,,0.0256,,,0.0306,-0.0301,,,0.0199,0.0059,,
crime_victimization|WVS_H,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_system_evaluation|WVS_E,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_values_importance|WVS_E,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,,-0.0113,0.0167,-0.0146,-0.0146,,,,,,,0.0,,,-0.0021,,0.0097,-0.0187,-0.0193,-0.0194,,,,,,,,0.0317,,-0.0247,,,-0.022,0.0106,,,-0.012,-0.0084,,
existential_threat_worry|WVS_H,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
female_income_threat_to_marriage|WVS_D,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gender_role_traditionalism|WVS_D,,0.0898,0.0908,-0.09,0.0633,0.0286,-0.0047,0.0294,0.024,,,,-0.0021,,,0.0,,-0.0382,0.0837,0.0991,0.1091,,0.1109,,,0.02,,,-0.0775,,0.0915,,,0.1232,-0.1387,0.0067,,0.0966,0.0235,,
immigrant_origin_status|WVS_G,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
importance_of_life_domains|WVS_A,,-0.0291,,,,-0.0501,-0.0075,-0.0073,-0.0116,,,,0.0097,,,-0.0382,,0.0,-0.0362,-0.0411,-0.0492,,-0.023,,,0.0017,,,0.0305,,-0.0328,,,-0.0634,,0.0245,,,,,
job_scarcity_gender_discrimination|WVS_C,,0.0695,0.0671,-0.0699,0.0525,0.0408,0.0128,0.0221,0.0141,,,,-0.0187,,,0.0837,,-0.0362,0.0,,0.0852,,0.0825,,,0.0244,,,-0.0783,,0.0757,,,0.0989,-0.1036,-0.0045,,0.074,0.0262,,
job_scarcity_nativist_preference|WVS_C,,0.0828,0.079,-0.0862,0.0603,0.0505,0.0118,0.0283,0.0207,,,,-0.0193,,,0.0991,,-0.0411,,0.0,0.1006,,0.0983,,,0.0303,,,-0.0918,,0.0892,,,0.1213,-0.1254,-0.0018,,0.0868,0.0275,,
life_autonomy_morality_permissiveness|WVS_F,,0.0781,0.0978,-0.0913,0.0605,,0.0062,0.0305,0.0256,,,,-0.0194,,,0.1091,,-0.0492,0.0852,0.1006,0.0,,0.1085,,,0.0185,,,,,,,,,-0.1388,-0.0131,,0.0925,0.0347,,
neighborhood_disorder_and_crime|WVS_H,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
offline_political_participation|WVS_E,,,0.1054,-0.1121,0.0765,0.0225,,,,,,,,,,0.1109,,-0.023,0.0825,0.0983,0.1085,,0.0,,,,,,-0.1406,,0.1492,,,0.1206,-0.1408,,,0.105,0.0102,,
outgroup_trust|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
political_information_sources|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
postmaterialist_values|WVS_E,,,0.0199,-0.0321,0.0291,-0.0166,,,,,,,,,,0.02,,0.0017,0.0244,0.0303,0.0185,,,,,0.0,,,-0.0374,,0.0316,,,0.018,-0.0278,,,0.0201,-0.0022,,
precautionary_security_behaviors|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
religion_versus_secularism_orientation|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
religious_belief|WVS_F,,-0.0743,-0.0914,0.0903,-0.0649,,-0.014,-0.0353,-0.0193,,,,0.0317,,,-0.0775,,0.0305,-0.0783,-0.0918,,,-0.1406,,,-0.0374,,,0.0,,,,,,0.1142,-0.0071,,-0.0864,-0.015,,
