construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,41.34803929728308,47.430534932669765,87.6094001856066,38.200858922437334,83.94560324909459,18.0754096416747,76.7423762033781,27.081934777232092,40.192668601038925,29.076509751685705,20.549831501893106,30.220725255198403,44.74207630834137,23.789872994135486,50.842069565202515,9999.0,30.25792182418688,9999.0,36.23218369031897,10.952902519167578,32.09455156779337,9999.0,9999.0,35.058245773447005,16.218831955713128,18.83933785039786,9999.0,18.343885519906678,30.138135817790506,9999.0,61.83573348843472,9999.0,9999.0,33.125851521384874,29.85649420158724,52.608316798170065,28.527594962049825,52.55966048146763,33.1751247413898,25.177653586023908,45.082595351932085,32.834740593565826,20.728073584661225,34.76364116229563,34.9337178668894,22.342424159258695,74.19099925391384,31.444705797856102,88.13271061261773,9999.0,22.77323348843472,9999.0
autocracy_support|WVS_E,9999.0,41.34803929728308,0.0,66.87276919161769,107.05163444455454,57.643093181385254,103.38783750804251,37.51764390062262,96.18461046232602,46.52416903618002,59.63490285998685,48.518744010633625,39.99206576084103,49.66295951414633,64.18431056728929,43.23210725308341,70.28430382415044,9999.0,49.70015608313481,9999.0,55.674417949266896,30.395136778115504,51.536785826741294,9999.0,9999.0,54.50048003239493,35.661066214661055,38.28157210934579,9999.0,37.7861197788546,49.58037007673843,9999.0,81.27796774738265,9999.0,9999.0,52.568085780332794,49.29872846053516,72.05055105711799,47.96982922099775,72.00189474041557,52.61735900033773,44.619887844971835,64.52482961088,52.27697485251375,40.17030784360915,52.91005291005291,54.37595212583733,41.78465841820662,93.63323351286178,50.88694005680402,107.57494487156566,9999.0,42.21546774738265,9999.0
basic_needs_deprivation|WVS_H,9999.0,47.430534932669765,66.87276919161769,0.0,75.68620061553924,47.16981132075472,78.74015748031496,30.277662423838937,59.1715976331361,26.455026455026456,65.71739849537353,28.295581409013458,38.88250475670177,55.745455149533015,34.48275862068965,23.64066193853428,38.91886999513514,9999.0,43.53139194392567,9999.0,27.700831024930746,36.477632413502185,34.013605442176875,9999.0,9999.0,28.8193901183488,40.908178289385624,40.89067320917438,9999.0,41.75660396751979,18.214936247723134,9999.0,68.13226744186046,9999.0,9999.0,20.161290322580644,40.57084607543323,40.89067320917438,51.291989664082685,40.63646091140026,23.980815347721823,29.92453812125943,55.24777791306465,58.35947048790044,29.46353017348241,18.34862385321101,45.662100456621005,41.48325194304973,62.26779968384648,56.96943569219071,94.42924456604348,9999.0,29.069767441860463,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,87.6094001856066,107.05163444455454,75.68620061553924,0.0,103.90445406970878,149.64919839636605,69.5339905439319,134.85779824867532,80.06118398290734,105.89626374831036,67.55190952910642,82.92087140069228,95.92432040246985,83.23627488268713,76.88064755428907,78.17519811522811,9999.0,82.78772006401863,9999.0,68.97874422972635,76.65649766643902,74.95378185033358,9999.0,9999.0,68.07571823844177,81.92242710298457,80.14700132926734,9999.0,83.01046106160402,57.4712643678161,9999.0,108.0280172413793,9999.0,9999.0,75.97425762298636,87.79065258194115,80.14700132926734,91.18773946360153,79.89278903149322,68.1779024834478,69.18086624135239,95.14352771258349,98.53833574083728,68.71985829357537,65.56843035971893,94.30406254362698,84.35298479792363,101.52412780393945,97.14830094512754,134.3249943655623,9999.0,68.9655172413793,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,38.200858922437334,57.643093181385254,47.16981132075472,103.90445406970878,0.0,100.24065713319676,34.37046352577688,90.09009009009009,43.376988661334266,56.4877224851411,45.37156363578788,36.84488538599528,46.51577913930058,61.03713019244354,40.08492687823766,62.76774969915765,9999.0,46.552975708289054,9999.0,51.84911452855397,27.247956403269754,48.38960545189555,9999.0,9999.0,51.071142912730494,32.5138858398153,35.134391734500035,9999.0,34.63893940400885,46.43318970189268,9999.0,78.1307873725369,9999.0,9999.0,36.101083032490976,46.15154808568941,64.34967060311244,44.822648846152006,63.878860810268755,46.29629629629629,41.47270747012608,61.37764923603426,49.129794477668,37.0231274687634,46.5069102957584,51.22877175099158,38.63747804336087,90.48605313801602,47.739759681958276,104.4277644967199,9999.0,39.06828737253689,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,83.94560324909459,103.38783750804251,78.74015748031496,149.64919839636605,100.24065713319676,0.0,80.11520785243412,137.91175511345108,89.12173298799152,102.23246681179836,91.11630796244513,82.58962971265254,92.26052346595783,106.7818745191008,85.82967120489492,112.88186777596195,9999.0,92.29772003494631,9999.0,98.27198190107839,72.99270072992701,94.1343497785528,9999.0,9999.0,97.09804398420643,78.25863016647256,80.8791360611573,9999.0,80.3836837306661,92.17793402854994,9999.0,123.87553169919414,9999.0,9999.0,95.1656497321443,91.89629241234667,114.6481150089295,90.56739317280926,114.59945869222707,95.21492295214924,87.21745179678334,107.12239356269151,94.87453880432525,82.76787179542066,96.80343937305506,96.97351607764884,84.38222237001813,136.2307974646733,93.48450400861553,150.17250882337714,9999.0,84.81303169919414,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,18.0754096416747,37.51764390062262,30.277662423838937,69.5339905439319,34.37046352577688,80.11520785243412,0.0,72.91198080671764,15.1285930408472,36.36227320437847,11.001100110011002,13.386880856760374,26.39032985853795,26.666666666666668,11.534025374855824,32.76665992352781,9999.0,26.427526427526427,9999.0,21.367521367521366,7.122507122507122,25.25252525252525,9999.0,9999.0,19.120458891013385,12.388436559052671,15.008942453737406,9999.0,14.513490123246221,12.062726176115802,9999.0,48.18658759124088,9999.0,9999.0,26.77397077247157,26.026098804926782,34.73846313756705,24.697199565389372,34.484250839792935,22.769364291747493,21.34725818936345,34.84320557491289,29.004345196905373,16.897678188000768,19.49317738791423,31.103322470228946,18.512028762598238,56.11558961223915,27.614310401195645,74.4835647154239,9999.0,9.124087591240876,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,76.7423762033781,96.18461046232602,59.1715976331361,134.85779824867532,90.09009009009009,137.91175511345108,72.91198080671764,0.0,81.91850594227503,95.02923976608187,83.91308091672865,75.38640266693605,85.05729642024134,93.65435625382575,78.62644415917843,98.09046762827124,9999.0,85.09449298922982,9999.0,86.87242865806685,65.78947368421052,86.93112273283631,9999.0,9999.0,87.9909877514849,71.05540312075607,73.67590901544081,9999.0,73.18045668494962,77.38653388085923,9999.0,116.67230465347765,9999.0,9999.0,79.33288795571674,84.69306536663018,100.06227084231048,83.36416612709277,99.80805854453637,83.15241298085792,80.01422475106685,99.91916651697503,87.67131175860877,75.56464474970417,77.52022148634711,89.77028903193235,77.17899532430164,121.43939731698258,86.28127696289904,142.96928177766068,9999.0,77.60980465347765,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,27.081934777232092,46.52416903618002,26.455026455026456,80.06118398290734,43.376988661334266,89.12173298799152,15.1285930408472,81.91850594227503,0.0,45.368798339935864,14.04494382022472,25.725961240790042,35.39685499409534,32.1605981461566,25.486591417478724,39.36837551373567,9999.0,27.548209366391184,9999.0,18.34862385321101,16.129032258064516,22.98850574712644,9999.0,9999.0,19.083969465648853,21.394961694610068,24.0154675892948,9999.0,23.520015258803614,22.58991961509124,9999.0,60.96907904035051,9999.0,9999.0,24.898580886455832,35.03262394048417,38.314176245210724,33.703724700946765,36.101083032490976,20.964360587002098,24.03846153846154,48.0845895115547,38.010870332462765,15.082956259426847,14.492753623188404,40.10984760578634,27.51855389815563,66.64278305121458,36.620835536753034,87.26605616453352,9999.0,21.906579040350508,9999.0
