,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,72.46376811594203,625.0,227.27272727272725,263.1578947368421,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,714.2857142857143,35.3356890459364,67.56756756756756,9999.0,56.81818181818181,34.72222222222222,109.89010989010988,9999.0,9999.0,9999.0,65.35947712418302,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,74.6268656716418,9999.0,188.67924528301887,9999.0,9999.0,114.9425287356322,172.41379310344828,9999.0,9999.0,133.33333333333334,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,111.11111111111111,909.090909090909,625.0,217.3913043478261,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,208.33333333333334,17.73049645390071,121.95121951219511,9999.0,90.90909090909092,31.152647975077883,100.0,9999.0,9999.0,9999.0,49.75124378109453,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,116.27906976744185,9999.0,666.6666666666666,9999.0,9999.0,169.49152542372883,136.986301369863,9999.0,9999.0,144.92753623188406,9999.0,9999.0,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,72.46376811594203,111.11111111111111,9999.0,0.0,9999.0,9999.0,19.342359767891683,17.18213058419244,153.84615384615384,26.17801047120419,9999.0,53.191489361702125,78.125,81.96721311475409,9999.0,9999.0,9999.0,9999.0,9999.0,12.391573729863694,333.3333333333333,9999.0,9999.0,13.36898395721925,17.953321364452425,11.52073732718894,9999.0,29.673590504451038,9999.0,27.100271002710027,9999.0,9999.0,9999.0,64.93506493506493,9999.0,9999.0,37.3134328358209,9999.0,21.88183807439825,9999.0,39.21568627450981,9.380863039399625,9999.0,15.360983102918585,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,625.0,909.090909090909,9999.0,9999.0,0.0,9999.0,75.18796992481204,94.33962264150944,263.1578947368421,142.85714285714286,9999.0,156.25,1000.0,192.30769230769232,9999.0,9999.0,9999.0,9999.0,9999.0,126.58227848101265,40.65040650406504,9999.0,9999.0,64.51612903225806,112.35955056179776,78.74015748031496,9999.0,217.3913043478261,9999.0,277.77777777777777,9999.0,9999.0,9999.0,526.3157894736842,9999.0,9999.0,125.0,9999.0,75.18796992481204,9999.0,238.0952380952381,41.32231404958678,9999.0,59.523809523809526,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,227.27272727272725,625.0,9999.0,9999.0,9999.0,0.0,40.65040650406504,35.46099290780142,285.7142857142857,62.11180124223603,9999.0,119.04761904761905,208.33333333333334,384.61538461538464,9999.0,9999.0,9999.0,9999.0,9999.0,28.49002849002849,153.84615384615384,9999.0,9999.0,32.05128205128205,56.81818181818181,25.974025974025974,9999.0,90.09009009009009,9999.0,73.52941176470588,9999.0,9999.0,9999.0,133.33333333333334,9999.0,9999.0,97.08737864077669,9999.0,51.02040816326531,9999.0,81.30081300813008,21.78649237472767,9999.0,34.84320557491289,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,263.1578947368421,217.3913043478261,9999.0,19.342359767891683,75.18796992481204,40.65040650406504,0.0,35.587188612099645,303.03030303030306,54.34782608695652,9999.0,153.84615384615384,294.11764705882354,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,26.954177897574123,18.34862385321101,178.57142857142858,9999.0,28.08988764044944,80.0,9999.0,9999.0,72.99270072992701,9999.0,125.0,9999.0,9999.0,9999.0,204.08163265306123,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,62.11180124223603,9999.0,13.071895424836601,26.041666666666668,9999.0,136.986301369863,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,17.18213058419244,94.33962264150944,35.46099290780142,35.587188612099645,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,25.57544757033248,106.38297872340425,36.76470588235294,9999.0,23.31002331002331,36.231884057971016,19.880715705765407,9999.0,9999.0,9999.0,55.24861878453038,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,56.17977528089888,9999.0,37.3134328358209,9999.0,9999.0,17.6056338028169,13.49527665317139,9999.0,9999.0,116.27906976744185,9999.0,9999.0,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,9999.0,153.84615384615384,263.1578947368421,285.7142857142857,303.03030303030306,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,416.6666666666667,44.44444444444444,149.2537313432836,9999.0,121.95121951219511,416.6666666666667,357.14285714285717,9999.0,9999.0,9999.0,588.2352941176471,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,138.88888888888889,9999.0,136.986301369863,9999.0,9999.0,107.52688172043011,169.49152542372883,9999.0,9999.0,555.5555555555555,9999.0,9999.0,9999.0,9999.0,9999.0
