,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,57.14285714285714,121.95121951219511,125.0,238.0952380952381,1000.0,9999.0,9999.0,9999.0,158.73015873015873,9999.0,9999.0,9999.0,9999.0,500.0,9999.0,96.15384615384616,9999.0,49.504950495049506,59.880239520958085,1000.0,9999.0,9999.0,135.13513513513513,82.64462809917356,1000.0,9999.0,192.30769230769232,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,70.92198581560284,147.05882352941177,41.1522633744856,106.38297872340425,37.735849056603776,76.92307692307692,9999.0,227.27272727272725,1000.0,9999.0,270.27027027027026,144.92753623188406,588.2352941176471,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,37.03703703703704,51.81347150259067,109.89010989010988,131.57894736842104,86.20689655172414,9999.0,9999.0,9999.0,212.7659574468085,9999.0,9999.0,9999.0,9999.0,185.18518518518516,9999.0,111.11111111111111,9999.0,909.090909090909,37.87878787878788,101.010101010101,9999.0,9999.0,357.14285714285717,188.67924528301887,97.08737864077669,9999.0,138.88888888888889,9999.0,9999.0,185.18518518518516,9999.0,9999.0,9999.0,9999.0,89.28571428571429,181.81818181818184,114.9425287356322,119.04761904761905,93.45794392523365,166.66666666666666,9999.0,135.13513513513513,222.22222222222223,9999.0,71.42857142857143,120.48192771084337,91.74311926605505,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,57.14285714285714,37.03703703703704,0.0,25.188916876574307,44.44444444444444,69.44444444444444,344.82758620689657,51.02040816326531,51.02040816326531,285.7142857142857,9999.0,38.46153846153846,238.0952380952381,149.2537313432836,98.0392156862745,9999.0,9999.0,1000.0,9999.0,56.17977528089888,37.45318352059925,344.82758620689657,9999.0,9999.0,131.57894736842104,57.80346820809249,29.498525073746315,9999.0,9999.0,15.082956259426847,9999.0,1000.0,9999.0,9999.0,18.248175182481752,51.54639175257732,9999.0,70.92198581560284,25.906735751295336,32.78688524590164,20.0,25.706940874035993,28.011204481792713,21.78649237472767,64.1025641025641,91.74311926605505,9999.0,27.932960893854748,178.57142857142858,9999.0,64.51612903225806,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,121.95121951219511,51.81347150259067,25.188916876574307,0.0,9999.0,9999.0,714.2857142857143,84.03361344537815,80.64516129032258,400.0,90.09009009009009,70.4225352112676,1000.0,344.82758620689657,135.13513513513513,120.48192771084337,9999.0,158.73015873015873,9999.0,370.3703703703703,65.78947368421052,9999.0,9999.0,9999.0,263.1578947368421,116.27906976744185,38.02281368821293,9999.0,64.93506493506493,24.154589371980677,9999.0,909.090909090909,9999.0,9999.0,31.446540880503143,90.09009009009009,232.5581395348837,144.92753623188406,43.47826086956522,49.01960784313725,35.97122302158274,49.504950495049506,48.543689320388346,32.78688524590164,9999.0,94.33962264150944,98.0392156862745,9999.0,625.0,9999.0,82.64462809917356,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,125.0,109.89010989010988,44.44444444444444,9999.0,0.0,9999.0,136.986301369863,86.20689655172414,128.2051282051282,357.14285714285717,149.2537313432836,125.0,185.18518518518516,166.66666666666666,185.18518518518516,217.3913043478261,9999.0,217.3913043478261,9999.0,84.03361344537815,166.66666666666666,9999.0,9999.0,9999.0,217.3913043478261,93.45794392523365,63.291139240506325,9999.0,196.078431372549,39.37007874015748,9999.0,714.2857142857143,9999.0,9999.0,43.859649122807014,112.35955056179776,63.69426751592357,188.67924528301887,40.983606557377044,67.56756756756756,35.842293906810035,48.07692307692308,64.1025641025641,44.642857142857146,9999.0,238.0952380952381,70.4225352112676,9999.0,142.85714285714286,9999.0,72.99270072992701,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,238.0952380952381,131.57894736842104,69.44444444444444,9999.0,9999.0,0.0,625.0,153.84615384615384,222.22222222222223,833.3333333333334,1000.0,163.93442622950818,1000.0,714.2857142857143,238.0952380952381,238.0952380952381,9999.0,1000.0,9999.0,200.0,93.45794392523365,9999.0,9999.0,9999.0,270.27027027027026,158.73015873015873,133.33333333333334,9999.0,125.0,53.763440860215056,9999.0,588.2352941176471,9999.0,9999.0,111.11111111111111,285.7142857142857,555.5555555555555,476.1904761904762,84.74576271186442,161.29032258064515,68.4931506849315,212.7659574468085,169.49152542372883,104.16666666666667,9999.0,294.11764705882354,166.66666666666666,9999.0,1000.0,9999.0,588.2352941176471,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,1000.0,86.20689655172414,344.82758620689657,714.2857142857143,136.986301369863,625.0,0.0,74.6268656716418,555.5555555555555,50.0,28.98550724637681,105.26315789473685,43.10344827586207,34.013605442176875,1000.0,344.82758620689657,9999.0,56.81818181818181,9999.0,76.92307692307692,20.28397565922921,27.247956403269754,9999.0,9999.0,303.03030303030306,1000.0,9999.0,9999.0,128.2051282051282,41.84100418410041,9999.0,59.880239520958085,9999.0,9999.0,38.61003861003861,59.1715976331361,20.66115702479339,9999.0,9999.0,9999.0,9999.0,26.38522427440633,41.84100418410041,9999.0,97.08737864077669,294.11764705882354,11.49425287356322,31.645569620253163,9999.0,9999.0,16.920473773265652,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,51.02040816326531,84.03361344537815,86.20689655172414,153.84615384615384,74.6268656716418,0.0,9999.0,9999.0,129.87012987012986,9999.0,9999.0,9999.0,9999.0,138.88888888888889,9999.0,76.33587786259541,9999.0,41.84100418410041,370.3703703703703,200.0,9999.0,9999.0,103.09278350515464,56.17977528089888,66.66666666666667,9999.0,80.64516129032258,9999.0,9999.0,769.2307692307693,9999.0,9999.0,9999.0,9999.0,35.08771929824561,270.27027027027026,26.246719160104984,60.6060606060606,23.31002331002331,60.24096385542168,9999.0,39.21568627450981,116.27906976744185,9999.0,74.07407407407408,80.64516129032258,76.92307692307692,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,51.02040816326531,80.64516129032258,128.2051282051282,222.22222222222223,555.5555555555555,9999.0,0.0,9999.0,238.0952380952381,9999.0,9999.0,9999.0,9999.0,294.11764705882354,9999.0,1000.0,9999.0,217.3913043478261,129.87012987012986,1000.0,9999.0,9999.0,416.6666666666667,196.078431372549,84.03361344537815,9999.0,200.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,181.81818181818184,256.4102564102564,74.6268656716418,104.16666666666667,65.35947712418302,81.30081300813008,9999.0,68.9655172413793,188.67924528301887,9999.0,119.04761904761905,87.71929824561403,500.0,9999.0,9999.0,9999.0
