construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,98.11832887063052,82.72823962958284,60.21334743894913,49.27065769499467,59.509826951687415,57.08923741710626,45.87155963302752,53.88776384568925,74.99234771962045,45.49222691870759,47.75006252984379,105.0058676616616,69.25722228213331,57.14421207378953,159.7916231225149,52.9034059184813,55.40916410481628,73.99261431519496,46.13403150204805,57.826304083669754,25.125628140703515,51.01992191322528,53.08750939818901,49.22213320347068,53.07379013704004,57.69891804298365,37.03703703703704,66.78261645149061,43.51255335507304,9999.0,44.57515907897587,70.84475485962474,72.70293688483085,70.3000703000703,41.33308357020108,118.11832887063052,45.12562814070351,56.02789079802007,81.25307680375329,53.289017470911446,33.67003367003367,52.222909365766505,53.13683262249623,45.662100456621005,68.70147023164733,43.9935526690054,34.241398423292395,44.01656948878604,69.35234663672679,72.51899306961347,43.23026311554036,49.4620985754994
authoritarian_governance_tolerance|WVS_E,98.11832887063052,0.0,122.63540698918753,63.69426751592357,90.0032903160937,87.23859914336106,97.17178851117097,94.50321979139314,93.93766552014856,115.72498034071948,83.56374807987712,91.67382345866292,121.60863458268648,108.02469135802468,95.47588135423949,199.6987904821196,100.77047850770478,96.14179672591531,114.72524693629398,89.51612903225806,97.87620575812906,72.99270072992701,91.0698235876846,93.82014201928804,85.39295575459627,93.12369181149936,105.56599063220713,81.63941670349094,92.42989969983162,83.41972071467772,9999.0,76.84658525913846,111.57738748072379,112.75283855929017,111.03270292116933,77.35309950722598,134.72109579165542,61.7283950617284,94.09085460865396,112.74880322499371,82.89848197343454,74.4026662911327,68.9655172413793,93.98645957785743,78.19601959313357,108.60863759125203,91.8606252582289,74.29130009775172,64.51612903225806,105.01843835177169,89.28571428571429,80.33891384238464,85.30614982227885
autocracy_support|WVS_E,82.72823962958284,122.63540698918753,0.0,77.62312380060928,51.76273771742072,74.89799924120292,59.58228505251388,52.321846169660525,77.07695878113392,90.38052000913595,70.20702070207021,65.25140459426783,121.61271670991158,84.64539457164882,67.30557391495924,155.49475604195166,91.43108731548139,61.89142323596106,79.86609277857485,69.55093099671413,81.01549901911443,66.54636364132595,59.919620021921816,64.91917868064657,53.89997408655093,76.26298507248472,88.47677001835217,45.87155963302752,63.90704429920116,39.21568627450981,9999.0,50.40136860113173,72.00257152041144,90.23609443777511,85.6882425895858,58.1449007844947,134.7251779188805,61.73247718895349,79.21708573346474,86.74420338477597,55.63604752245726,49.05820595954918,65.77974870657798,72.62845849802372,45.45454545454546,64.40460315108412,75.84679962024721,57.43059335873708,58.119277956929466,65.05547955616356,77.23849996272273,48.72138969656304,61.14551083591331
basic_needs_deprivation|WVS_H,60.21334743894913,63.69426751592357,77.62312380060928,0.0,44.16890967656533,63.952183757981274,56.756887307388865,43.06604005305474,58.09919790275637,79.78427759913971,50.76142131979696,46.14311341439107,111.01647429991533,74.04915216165259,61.936141953308805,154.68650729354133,62.86549707602339,50.22369572451533,78.78454419471423,56.09612265959015,62.03773814073688,35.08771929824561,50.164054819184344,45.214947807145755,52.23325247632364,30.395136778115504,67.66100920052574,40.39598697760947,28.73563218390805,38.40743752609948,9999.0,36.76470588235294,54.34782608695652,76.91437094189799,49.01960784313725,31.152647975077883,124.12893550888425,51.136234778957245,51.54639175257732,66.92454779225918,46.95227562029173,38.461963549552934,38.314176245210724,61.52072426241283,37.96791724094561,62.571767774079916,53.9556438265475,38.45283248035952,31.847133757961785,58.75248037270296,40.0,28.901734104046245,47.351918605891264
child_qualities_autonomy_self_expression|WVS_A,49.27065769499467,90.0032903160937,51.76273771742072,44.16890967656533,0.0,41.44041730661475,32.91365022091499,21.186440677966104,44.46463937122921,56.92293807454777,37.87310423603863,23.52941176470588,88.15513477532339,51.187812637060645,39.074802428716865,128.82612121035277,57.9735053808932,35.22278840436216,53.19745794697596,37.387116399688665,48.403179609209715,33.93404423142124,32.537274046708006,23.809523809523807,24.93765586034913,43.65066566258001,61.80813518675329,15.847860538827257,37.238409467602274,12.547051442910917,9999.0,19.047619047619047,45.33393668881256,63.27981241037082,52.23066065499762,28.07497071456462,101.26759598429231,28.274895254365305,46.60476632356003,53.289989260732014,27.77777777777778,15.600624024960997,34.15349972069383,42.558528428093645,15.384615384615383,37.735968319485224,43.23448021034248,24.818273948832356,29.064505945490897,38.38684472456467,50.56986513112385,15.267175572519083,33.7173600743641
child_qualities_conformity_tradition|WVS_A,59.509826951687415,87.23859914336106,74.89799924120292,63.952183757981274,41.44041730661475,0.0,49.25899702872634,48.788472861843836,55.24861878453038,67.16210733124052,56.05127364419151,43.110950449183974,78.74015748031496,61.42698189375339,49.31397168540961,151.961382734135,59.880239520958085,47.57892371643636,66.16237392681504,47.62628565638141,55.55555555555556,45.51020408163265,46.89242486060112,45.25726900980909,41.39189281509076,33.557046979865774,78.08349398391279,44.92445714414229,58.9523760631107,35.68231296669312,9999.0,36.74491869059595,63.01451447124482,83.09832422439521,62.469829911690375,45.4092649059199,98.50290481155966,25.510204081632654,35.46099290780142,73.42283641537337,51.450801043537126,25.839793281653748,44.392668977386585,53.013706325132006,43.659024408311424,60.87122984326742,63.05299202436689,44.63678576285676,42.70319968974818,61.522106248346866,73.70512665490605,35.40002272716044,47.96368708696348
child_qualities_prosocial_diligence|WVS_A,57.08923741710626,97.17178851117097,59.58228505251388,56.756887307388865,32.91365022091499,49.25899702872634,0.0,33.47275867315479,52.28357035138186,64.74151779665938,45.41363227231814,40.69036091460282,95.973714497435,59.00639235917224,45.23118159481796,136.64566854544591,65.79208510300481,42.25942916302233,61.017005282069114,44.75754256696206,56.222110589362366,41.75297521157388,36.1982191250484,40.26900016204829,30.769230769230766,51.469596642732654,69.62768252184645,22.62443438914027,45.05795680269543,20.366598778004075,9999.0,20.32520325203252,53.15348402390571,71.09874339052347,60.04924037710923,32.362459546925564,109.08617570640392,36.093474976476905,54.42369730371267,65.87796689155554,31.645569620253163,23.419203747072597,37.7165075998586,47.83507006827165,20.66115702479339,45.555515654578386,51.05341119049514,32.63720492898501,32.65565947891291,46.20639205965782,58.389412466217,27.855153203342617,39.40917271768137
civic_dishonesty_tolerance|WVS_F,45.87155963302752,94.50321979139314,52.321846169660525,43.06604005305474,21.186440677966104,48.788472861843836,33.47275867315479,0.0,43.36176974771863,64.27099362977687,36.77023461252804,20.70393374741201,95.50319033055248,58.53586819228973,41.19604753560016,129.38522966259256,60.60895238568843,33.67003367003367,53.75656639921576,44.73517195491776,47.30030998569914,32.831174607910654,33.81009364256273,22.831050228310502,26.666666666666668,42.547796039069425,62.36724363899309,22.348304072599888,31.948881789137378,13.10615989515072,9999.0,20.66115702479339,44.44444444444444,62.17694278686024,58.80716309186565,33.32155225999997,108.61565153952141,35.6229508095944,45.50189670004944,52.18711963722143,29.526521143098172,22.94867958019009,38.052461372619476,47.869993697302455,21.963555820748596,38.29507677172503,42.131610586831904,23.715404325321774,29.98709075913508,38.945953176804466,51.128973583363646,14.164305949008499,32.614490450853516
confidence_in_civil_society_organizations|WVS_E,53.88776384568925,93.93766552014856,77.07695878113392,58.09919790275637,44.46463937122921,55.24861878453038,52.28357035138186,43.36176974771863,0.0,79.76567195318664,32.70119570960312,46.43884310905496,104.39212813426127,74.03054651569951,56.19243789661304,154.98223698820522,56.53991348276351,49.49711169105357,76.46546265394272,49.77053906633027,43.231271082774214,28.76213570498573,36.42488891232974,45.51067750180964,45.887748561966504,30.581039755351682,61.33542560726586,37.00747653350797,53.06381224739748,38.70316722076336,9999.0,32.48333589736476,62.09220064081539,58.107903883935315,73.84032094156728,29.25251335707505,121.75483643491273,48.76213570498573,36.101083032490976,67.22027748692307,38.693984470015906,38.44335790359986,42.58214523891061,43.80095479437753,31.62241332658847,62.8674974687438,38.06257168390698,19.646365422396855,29.4215364878905,59.048210067366846,71.39155662571434,29.19746379871013,34.867065574603856
confidence_in_domestic_institutions|WVS_E,74.99234771962045,115.72498034071948,90.38052000913595,79.78427759913971,56.92293807454777,67.16210733124052,64.74151779665938,64.27099362977687,79.76567195318664,0.0,71.53379441212455,58.593471217117,113.87682479994918,76.90950266168642,64.79649245334265,167.443903502068,83.69519540551899,63.06144448436939,81.64489469474807,63.10880642431445,83.70421219116714,69.23507681337867,62.37494562853415,60.73978977774212,56.874413583023795,78.95169824453743,100.42591747846852,60.40697791207532,74.43489683104373,51.16483373462615,9999.0,52.227439458528984,78.49703523917785,98.58084499232825,77.95235067962341,60.89178567385292,126.9892860089181,53.99658527899109,81.90579890551746,88.90535718330639,66.93332181147017,41.32231404958678,59.87518974531962,68.49622709306504,59.880239520958085,76.35375061120045,78.53551279229991,60.119306530789785,58.185720457681214,77.0046270162799,89.18764742283908,50.88254349509347,63.446207854896514
