,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authoritarian_governance_tolerance|WVS_E,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocracy_support|WVS_E,,,0.0,,0.0634,-0.0284,0.0089,,,,,,,,,,,,,,0.0391,,0.0051,,,0.0791,0.0127,0.0309,,,,,,,,,,,,,-0.0194,,0.0072,,,0.0481,-0.0463,,,0.0071,,,,
basic_needs_deprivation|WVS_H,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,,,0.0634,,0.0,,,,-0.0009,0.0627,-0.0206,,,,-0.0031,,,,,,0.0709,,,,,0.1394,0.0274,0.0688,,,0.1068,,,,,,,-0.0547,,,-0.0534,,0.0419,,,0.1062,,0.0061,,,,,,
child_qualities_conformity_tradition|WVS_A,,,-0.0284,,,0.0,,,0.0012,-0.0279,0.0167,,,,0.0024,,,,,,-0.029,,,,,-0.0648,-0.0118,-0.0392,,,-0.0672,,,,,,,0.0298,,,0.045,,-0.0404,,,-0.0567,,0.0025,,,,,,
child_qualities_prosocial_diligence|WVS_A,,,0.0089,,,,0.0,,-0.0007,0.0016,-0.0076,,,,-0.0037,,,,,,0.0042,,,,,0.015,0.0061,0.0036,,,0.0165,,,,,,,-0.0018,,,-0.0074,,0.0018,,,0.0071,,0.0065,,,,,,
civic_dishonesty_tolerance|WVS_F,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_in_civil_society_organizations|WVS_E,,,,,-0.0009,0.0012,-0.0007,,0.0,,,,,,,,,,,,-0.0056,,-0.0043,,,-0.0123,0.0068,0.0013,,,,,,,,,,,,,-0.0024,,0.0179,,,0.0008,0.0047,,,-0.0017,,,,
confidence_in_domestic_institutions|WVS_E,,,,,0.0627,-0.0279,0.0016,,,0.0,,,,,,,,,,,0.0482,,-0.0139,,,0.0702,0.0193,0.0528,,,,,,,,,,,,,-0.0223,,0.0531,,,0.0755,-0.0558,,,-0.0016,,,,
confidence_in_international_organizations|WVS_E,,,,,-0.0206,0.0167,-0.0076,,,,0.0,,,,,,,,,,0.007,,-0.0094,,,-0.0158,-0.005,0.0035,,,,,,,,,,,,,0.0231,,-0.0017,,,-0.0011,-0.0013,,,-0.0058,,,,
crime_victimization|WVS_H,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_system_evaluation|WVS_E,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_values_importance|WVS_E,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,,,,-0.0031,0.0024,-0.0037,,,,,,,,0.0,,,,,,0.0077,,-0.006,,,-0.0006,-0.003,0.0082,,,,,,,,,,,,,0.005,,0.0049,,,0.008,-0.0073,,,-0.003,,,,
electoral_integrity|WVS_E,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existential_threat_worry|WVS_H,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
familial_duty_obligations|WVS_D,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female_income_threat_to_marriage|WVS_D,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom_security_tradeoff_perception|WVS_H,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender_role_traditionalism|WVS_D,,,0.0391,,0.0709,-0.029,0.0042,,-0.0056,0.0482,0.007,,,,0.0077,,,,,,0.0,,-0.0009,,,0.1028,0.0046,0.0521,,,0.0495,,,,,,,-0.0448,,,-0.0068,,0.0018,,,0.0737,-0.073,-0.0057,,0.004,,,,
immigrant_origin_status|WVS_G,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
importance_of_life_domains|WVS_A,,,0.0051,,,,,,-0.0043,-0.0139,-0.0094,,,,-0.006,,,,,,-0.0009,,0.0,,,0.0075,0.0037,-0.0124,,,0.0024,,,,,,,0.0109,,,0.0087,,-0.0246,,,-0.0142,,0.0131,,,,,,
institutional_threat_perception|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_organization_knowledge|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
job_scarcity_gender_discrimination|WVS_C,,,0.0791,,0.1394,-0.0648,0.015,,-0.0123,0.0702,-0.0158,,,,-0.0006,,,,,,0.1028,,0.0075,,,0.0,,0.0772,,,0.1261,,,,,,,-0.0668,,,-0.0391,,0.0157,,,0.1232,-0.1122,0.0053,,0.0116,,,,
job_scarcity_nativist_preference|WVS_C,,,0.0127,,0.0274,-0.0118,0.0061,,0.0068,0.0193,-0.005,,,,-0.003,,,,,,0.0046,,0.0037,,,,0.0,0.0086,,,0.0129,,,,,,,-0.008,,,-0.0125,,0.0153,,,0.0133,-0.0078,0.0096,,0.0044,,,,
life_autonomy_morality_permissiveness|WVS_F,,,0.0309,,0.0688,-0.0392,0.0036,,0.0013,0.0528,0.0035,,,,0.0082,,,,,,0.0521,,-0.0124,,,0.0772,0.0086,0.0,,,0.0563,,,,,,,-0.0494,,,,,,,,,-0.0653,-0.0148,,-0.0001,,,,
multilevel_place_attachment|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
neighborhood_disorder_and_crime|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
offline_political_participation|WVS_E,,,,,0.1068,-0.0672,0.0165,,,,,,,,,,,,,,0.0495,,0.0024,,,0.1261,0.0129,0.0563,,,0.0,,,,,,,,,,-0.075,,0.0381,,,0.0833,-0.0754,,,0.01,,,,
online_political_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
outgroup_trust|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
perceived_corruption|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
perceived_negative_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
perceived_positive_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
political_information_sources|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
postmaterialist_values|WVS_E,,,,,-0.0547,0.0298,-0.0018,,,,,,,,,,,,,,-0.0448,,0.0109,,,-0.0668,-0.008,-0.0494,,,,,,,,,,0.0,,,0.0239,,-0.0377,,,-0.0699,0.0554,,,0.0004,,,,
precautionary_security_behaviors|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
religion_versus_secularism_orientation|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
religious_belief|WVS_F,,,-0.0194,,-0.0534,0.045,-0.0074,,-0.0024,-0.0223,0.0231,,,,0.005,,,,,,-0.0068,,0.0087,,,-0.0391,-0.0125,,,,-0.075,,,,,,,0.0239,,,0.0,,,,,,0.0331,0.0049,,-0.001,,,,
religious_exclusivism|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
religious_practice_and_self_identification|WVS_F,,,0.0072,,0.0419,-0.0404,0.0018,,0.0179,0.0531,-0.0017,,,,0.0049,,,,,,0.0018,,-0.0246,,,0.0157,0.0153,,,,0.0381,,,,,,,-0.0377,,,,,0.0,,,,-0.0297,-0.0167,,-0.0056,,,,
science_skepticism|WVS_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
science_technology_optimism|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
sexual_and_reproductive_morality_permissiveness|WVS_F,,,0.0481,,0.1062,-0.0567,0.0071,,0.0008,0.0755,-0.0011,,,,0.008,,,,,,0.0737,,-0.0142,,,0.1232,0.0133,,,,0.0833,,,,,,,-0.0699,,,,,,,,0.0,-0.0987,-0.0171,,0.0013,,,,
social_intolerance_outgroups|WVS_A,,,-0.0463,,,,,,0.0047,-0.0558,-0.0013,,,,-0.0073,,,,,,-0.073,,,,,-0.1122,-0.0078,-0.0653,,,-0.0754,,,,,,,0.0554,,,0.0331,,-0.0297,,,-0.0987,0.0,0.0116,,,,,,
societal_change_attitudes|WVS_E,,,,,0.0061,0.0025,0.0065,,,,,,,,,,,,,,-0.0057,,0.0131,,,0.0053,0.0096,-0.0148,,,,,,,,,,,,,0.0049,,-0.0167,,,-0.0171,0.0116,0.0,,0.006,,,,
socioeconomic_insecurity_worry|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
subjective_wellbeing|WVS_A,,,0.0071,,,,,,-0.0017,-0.0016,-0.0058,,,,-0.003,,,,,,0.004,,,,,0.0116,0.0044,-0.0001,,,0.01,,,,,,,0.0004,,,-0.001,,-0.0056,,,0.0013,,0.006,,0.0,,,,
violence_tolerance|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
voluntary_association_belonging|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
voting_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
work_ethic|WVS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
