construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,44.358556130770864,9999.0,27.496491826904844,17.035775127768314,50.78283169118639,10.460251046025103,66.64002632692399,27.986198198964154,50.78283169118639,9999.0,30.724356768966693,26.208282542088096,49.26034888487955,9999.0,9999.0,9999.0,9999.0,9999.0,58.76172607879925,17.5143171388478,56.12435574888641,9999.0,9999.0,50.88761873817997,28.328611898016998,18.76172607879925,9999.0,9999.0,18.420086270647502,9999.0,32.34208912042335,9999.0,9999.0,9999.0,9999.0,26.134232237247673,9999.0,9999.0,9.671179883945841,9999.0,15.290519877675841,9999.0,33.18752377329783,15.174506828528072,9999.0,37.76106752439528,9999.0,45.52035727335753,9999.0,9999.0,9999.0,27.721721400191328
autocracy_support|WVS_E,9999.0,44.358556130770864,0.0,9999.0,55.24861878453038,52.87363715305696,74.22088572990705,33.898305084745765,90.07808036564464,58.6375989601796,74.22088572990705,9999.0,54.13268152713941,49.64633658080876,77.86927570608313,9999.0,9999.0,9999.0,9999.0,9999.0,82.73504273504273,46.12324396005139,77.17669323003682,9999.0,9999.0,55.865921787709496,65.00927955038743,42.73504273504273,9999.0,9999.0,42.06823972526864,9999.0,35.3356890459364,9999.0,9999.0,9999.0,9999.0,49.57228627596834,9999.0,9999.0,40.32258064516129,9999.0,55.059794451561665,9999.0,56.62557781201849,42.73504273504273,9999.0,68.41246828561073,9999.0,68.0154276080279,9999.0,9999.0,9999.0,58.373122161406776
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,27.496491826904844,55.24861878453038,9999.0,0.0,31.949605728269738,63.60477540615351,26.931660719322124,79.36507936507937,36.14033025797732,66.36900126334734,9999.0,38.87848882797985,42.67969221538512,57.41448094389271,9999.0,9999.0,9999.0,9999.0,9999.0,57.14285714285714,25.668449197860966,64.27848780789958,9999.0,9999.0,42.19409282700422,55.825103724921846,23.809523809523807,9999.0,9999.0,18.76172607879925,9999.0,33.047440364513534,9999.0,9999.0,9999.0,9999.0,37.62729214097881,9999.0,9999.0,17.825311942959004,9999.0,27.47252747252747,9999.0,48.68950947382321,24.875621890547265,9999.0,45.915199583408445,9999.0,45.86199708150927,9999.0,9999.0,9999.0,35.87585345920449
child_qualities_conformity_tradition|WVS_A,9999.0,17.035775127768314,52.87363715305696,9999.0,31.949605728269738,0.0,59.297912713472485,18.975332068311197,75.15510734921008,32.43931210032905,59.297912713472485,9999.0,35.17747067033159,34.72336356437419,53.71346278624444,9999.0,9999.0,9999.0,9999.0,9999.0,66.86867553261133,21.967431040212695,60.5774696502513,9999.0,9999.0,47.527773431387885,45.36438702578531,27.513541088388422,9999.0,9999.0,15.06024096385542,9999.0,29.345955249569705,9999.0,9999.0,9999.0,9999.0,31.347962382445143,9999.0,9999.0,14.124293785310734,9999.0,19.9203187250996,9999.0,41.70260479558392,25.94163378213616,9999.0,42.214181425760174,9999.0,42.16051196656545,9999.0,9999.0,9999.0,32.17483530155622
child_qualities_prosocial_diligence|WVS_A,9999.0,50.78283169118639,74.22088572990705,9999.0,63.60477540615351,59.297912713472485,0.0,40.32258064516129,96.50235592606018,71.90697402907423,80.64516129032258,9999.0,65.7575591505858,56.07061214122428,84.29355126649867,9999.0,9999.0,9999.0,9999.0,9999.0,59.1715976331361,52.54751952046691,91.15755813050552,9999.0,9999.0,77.31058179488673,79.11144358920339,57.29634945188726,9999.0,9999.0,44.84304932735426,9999.0,59.12876361306854,9999.0,9999.0,9999.0,9999.0,55.99656183638386,9999.0,9999.0,53.59195571405592,9999.0,59.81310920759378,9999.0,63.049853372434015,55.724442145634995,9999.0,81.68184335450536,9999.0,71.94332033006428,9999.0,9999.0,9999.0,66.17149772210179
civic_dishonesty_tolerance|WVS_F,9999.0,10.460251046025103,33.898305084745765,9999.0,26.931660719322124,18.975332068311197,40.32258064516129,0.0,56.17977528089888,32.06620871657547,40.32258064516129,9999.0,25.434978505424514,15.748031496062993,43.97097062133737,9999.0,9999.0,9999.0,9999.0,9999.0,60.62323476505588,12.224938875305623,50.83497748534423,9999.0,9999.0,40.63746710805534,38.7888629440421,20.623234765055876,9999.0,9999.0,8.169934640522877,9999.0,21.88183807439825,9999.0,9999.0,9999.0,9999.0,15.673981191222571,9999.0,9999.0,16.918841027224538,9999.0,21.1614893668159,9999.0,22.72727272727273,19.05132745880362,9999.0,45.00872866767398,9999.0,35.270205643232906,9999.0,9999.0,9999.0,25.848917076940502
confidence_in_civil_society_organizations|WVS_E,9999.0,66.64002632692399,90.07808036564464,9999.0,79.36507936507937,75.15510734921008,96.50235592606018,56.17977528089888,0.0,82.72114625705785,96.50235592606018,9999.0,81.61475378632339,71.92780677696187,100.15074590223625,9999.0,9999.0,9999.0,9999.0,9999.0,50.25125628140703,68.4047141562045,107.0147527662431,9999.0,9999.0,90.09189373160623,74.07407407407408,55.55555555555556,9999.0,9999.0,64.34970992142176,9999.0,78.06161335529713,9999.0,9999.0,9999.0,9999.0,71.85375647212145,9999.0,9999.0,73.09861630812343,9999.0,77.34126464771478,9999.0,78.90704800817161,55.24861878453038,9999.0,101.18850394857287,9999.0,91.4499809241318,9999.0,9999.0,9999.0,65.35947712418302
confidence_in_domestic_institutions|WVS_E,9999.0,27.986198198964154,58.6375989601796,9999.0,36.14033025797732,32.43931210032905,71.90697402907423,32.06620871657547,82.72114625705785,0.0,66.85870763540666,9999.0,33.051309471388734,43.19064020556558,51.58730158730159,9999.0,9999.0,9999.0,9999.0,9999.0,71.64556962025316,19.841269841269842,58.45130845130845,9999.0,9999.0,59.53145716925244,37.45318352059925,31.645569620253163,9999.0,9999.0,27.063924701719976,9999.0,41.34963898743426,9999.0,9999.0,9999.0,9999.0,38.11699851303811,9999.0,9999.0,18.315018315018314,9999.0,27.932960893854748,9999.0,49.17921584588251,27.47252747252747,9999.0,46.404905955467754,9999.0,54.16419570443001,9999.0,9999.0,9999.0,30.581039755351682
confidence_in_international_organizations|WVS_E,9999.0,50.78283169118639,74.22088572990705,9999.0,66.36900126334734,59.297912713472485,80.64516129032258,40.32258064516129,96.50235592606018,66.85870763540666,0.0,9999.0,65.7575591505858,56.07061214122428,84.29355126649867,9999.0,9999.0,9999.0,9999.0,9999.0,62.5,52.54751952046691,91.15755813050552,9999.0,9999.0,80.96004775321663,79.11144358920339,60.945815410217165,9999.0,9999.0,48.49251528568416,9999.0,62.20441871955954,9999.0,9999.0,9999.0,9999.0,55.99656183638386,9999.0,9999.0,48.543689320388346,9999.0,52.083333333333336,9999.0,63.049853372434015,59.37390810396491,9999.0,76.63357696083779,9999.0,75.5927862883942,9999.0,9999.0,9999.0,66.17149772210179
