,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authoritarian_governance_tolerance|WVS_E,,0.0,,,-0.0027,0.0142,-0.0478,0.0473,,,,,,,,,,,,-0.0104,-0.0481,0.0154,,,0.019,-0.0162,-0.0423,,,,,-0.0882,,,,,,,-0.0103,,0.0336,,,-0.0411,0.0303,,,-0.026,,-0.0742,,,-0.0299
autocracy_support|WVS_E,,,0.0,,-0.0025,-0.0043,0.0287,-0.0338,,,,,,,,,,,,0.0042,0.0207,-0.005,,,-0.0123,0.0052,0.0253,,,,,0.0625,,,,,,,0.0162,,-0.0267,,,0.0203,-0.0126,,,0.021,,0.0458,,,0.0193
basic_needs_deprivation|WVS_H,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,,-0.0027,-0.0025,,0.0,,,0.0095,-0.0096,0.0078,-0.0219,,-0.0134,0.0004,0.0207,,,,,0.0444,-0.005,,,,-0.0178,0.0093,0.0081,,,0.0027,,-0.011,,,,-0.0027,,,-0.0065,,0.002,,0.0002,0.0153,,-0.0242,,,,,,,0.0232
child_qualities_conformity_tradition|WVS_A,,0.0142,-0.0043,,,0.0,,-0.0339,-0.0016,-0.0206,0.0135,,-0.0017,-0.0016,-0.0143,,,,,-0.008,-0.0098,,,,0.0056,-0.0185,-0.0275,,,-0.0177,,0.0078,,,,0.0074,,,0.0527,,-0.0189,,-0.0146,-0.0377,,0.0469,,,,,,,-0.015
child_qualities_prosocial_diligence|WVS_A,,-0.0478,0.0287,,,,0.0,-0.0043,-0.0155,0.0053,-0.0016,,0.0293,0.0204,-0.0087,,,,,0.0111,0.0172,,,,-0.0115,0.0123,0.0296,,,0.0452,,0.0353,,,,0.0026,,,-0.015,,-0.0079,,0.0305,0.032,,-0.0291,,,,,,,0.0201
civic_dishonesty_tolerance|WVS_F,,0.0473,-0.0338,,0.0095,-0.0339,-0.0043,0.0,0.0264,0.0304,-0.0264,,-0.048,-0.0297,0.0437,,,,,0.0019,-0.034,-0.0243,,,0.007,0.0073,,,,-0.0488,,-0.0722,,,,-0.0232,,,,,,,-0.025,,-0.0296,-0.0469,,-0.0171,,-0.037,,,0.0052
confidence_in_civil_society_organizations|WVS_E,,,,,-0.0096,-0.0016,-0.0155,0.0264,0.0,,,,,,,,,,,-0.0341,-0.0067,-0.0076,,,0.0196,-0.0046,-0.0122,,,,,-0.0329,,,,,,,-0.0258,,0.0214,,,-0.0119,0.0228,,,-0.0144,,-0.0216,,,-0.0243
confidence_in_domestic_institutions|WVS_E,,,,,0.0078,-0.0206,0.0053,0.0304,,0.0,,,,,,,,,,0.0087,-0.0076,-0.0151,,,-0.0013,0.0076,0.0083,,,,,-0.0243,,,,,,,-0.0344,,0.0168,,,0.0173,-0.0225,,,-0.0053,,-0.0063,,,0.0078
