construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,77.88098308778433,46.75957245298336,74.72654871717324,25.706940874035993,91.62639774027124,111.38755529282199,155.59262329942456,9999.0,30.14936088807703,9999.0,37.077012252403506,9999.0,9999.0,9999.0,9999.0,51.42595663275788,9999.0,66.35734737810103,9999.0,9999.0,39.682539682539684,39.44510924965652,50.75151278547726,9999.0,9999.0,29.064624560871433,9999.0,9999.0,9999.0,9999.0,9999.0,68.0798222299682,9999.0,9999.0,65.04176365877038,9999.0,40.32258064516129,9999.0,9999.0,43.45953396218289,57.118198579890944,88.60067782234896,9999.0,53.763440860215056,9999.0,9999.0,15.290519877675841,9999.0,34.129692832764505
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,77.88098308778433,9999.0,0.0,76.22004207964198,105.8697710762792,56.850163233141956,72.75132275132275,141.0696796557563,130.6216931216931,9999.0,47.7316221997073,9999.0,58.000767779947594,9999.0,9999.0,9999.0,9999.0,26.455026455026456,9999.0,95.946572046954,9999.0,9999.0,49.338321649534464,83.42129048478446,98.05145611790991,9999.0,9999.0,76.36456789330408,9999.0,9999.0,9999.0,9999.0,9999.0,60.12506012506012,9999.0,9999.0,93.58610926015393,9999.0,75.17811493118822,9999.0,9999.0,57.03606621037814,42.20305795108945,63.62974764461753,9999.0,80.21846731524151,9999.0,9999.0,62.590463210108496,9999.0,44.28033839798546
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,46.75957245298336,9999.0,76.22004207964198,0.0,70.07223942208462,21.05263157894737,87.27779714186127,83.33333333333333,153.93168229128221,9999.0,43.27485380116959,9999.0,52.20527955402525,9999.0,9999.0,9999.0,9999.0,49.765015624615536,9999.0,55.11870557991834,9999.0,9999.0,26.881720430107528,27.17391304347826,67.56756756756756,9999.0,9999.0,42.51185904675853,9999.0,9999.0,9999.0,9999.0,9999.0,63.42551293487958,9999.0,9999.0,25.706940874035993,9999.0,21.88183807439825,9999.0,9999.0,41.1522633744856,65.51304712067852,86.93973681420661,9999.0,76.60818713450293,9999.0,9999.0,51.32850241545894,9999.0,54.56157663648976
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,74.72654871717324,9999.0,105.8697710762792,70.07223942208462,0.0,49.01960784313725,115.24477340605115,139.92869875222817,183.58141128791942,9999.0,71.24183006535947,9999.0,80.17225581821513,9999.0,9999.0,9999.0,9999.0,79.41474462125275,9999.0,82.7902646628541,9999.0,9999.0,65.38621995443022,78.125,119.71393290194541,9999.0,9999.0,70.47883531094841,9999.0,9999.0,9999.0,9999.0,9999.0,91.39248919906946,9999.0,9999.0,56.81818181818181,9999.0,48.543689320388346,9999.0,9999.0,104.51022427440633,95.16277611731574,116.58946581084382,9999.0,104.57516339869281,9999.0,9999.0,84.252939994144,9999.0,76.33587786259541
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,25.706940874035993,9999.0,56.850163233141956,21.05263157894737,49.01960784313725,0.0,66.2251655629139,90.90909090909092,134.56180344478219,9999.0,22.22222222222222,9999.0,31.152647975077883,9999.0,9999.0,9999.0,9999.0,30.395136778115504,9999.0,40.65040650406504,9999.0,9999.0,16.366612111292962,35.587188612099645,70.69432505880818,9999.0,9999.0,21.459227467811157,9999.0,9999.0,9999.0,9999.0,9999.0,42.37288135593221,9999.0,9999.0,46.75957245298336,9999.0,42.20640539294671,9999.0,9999.0,60.97617653346718,46.14316827417849,67.56985796770658,9999.0,55.55555555555556,9999.0,9999.0,35.23333215100675,9999.0,48.220448721074504
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,91.62639774027124,9999.0,72.75132275132275,87.27779714186127,115.24477340605115,66.2251655629139,0.0,157.13425647200484,150.46296296296296,9999.0,67.57289204097714,9999.0,77.84203762121743,9999.0,9999.0,9999.0,9999.0,46.29629629629629,9999.0,106.87557206697895,9999.0,9999.0,69.1795914908043,100.49046723457609,111.79687077039682,9999.0,9999.0,87.68439303072506,9999.0,9999.0,9999.0,9999.0,9999.0,79.96632996632997,9999.0,9999.0,112.98473801589726,9999.0,95.01938477245804,9999.0,9999.0,76.87733605164797,62.04432779235928,83.47101748588736,9999.0,100.05973715651135,9999.0,9999.0,76.33587786259541,9999.0,64.1216082392553
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,111.38755529282199,9999.0,141.0696796557563,83.33333333333333,139.92869875222817,90.90909090909092,157.13425647200484,0.0,218.78131986739652,9999.0,110.95587642554734,9999.0,117.88352778987382,9999.0,9999.0,9999.0,9999.0,114.61465320072983,9999.0,78.125,9999.0,9999.0,107.27570302038389,71.94244604316548,114.49563753252718,9999.0,9999.0,109.87114009834174,9999.0,9999.0,9999.0,9999.0,9999.0,133.28197226502311,9999.0,9999.0,88.49557522123894,9999.0,93.45794392523365,9999.0,9999.0,84.03361344537815,128.08647688150148,151.78937439032092,9999.0,144.625910095581,9999.0,9999.0,96.09703541514615,9999.0,121.76946250198193
