,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authoritarian_governance_tolerance|WVS_E,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autocracy_support|WVS_E,,,0.0,,0.001,0.0036,-0.0059,-0.002,,,,,,,,,,,,,0.0044,,0.0028,,,-0.0069,-0.019,-0.0055,,,,,,,,,,,,-0.0026,,-0.0017,-0.0093,0.0011,,,0.0042,,,,
basic_needs_deprivation|WVS_H,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_qualities_autonomy_self_expression|WVS_A,,,0.001,,0.0,,,0.0076,-0.006,0.0076,0.0011,,,,-0.0022,,,,,,0.0106,,,,,0.0101,-0.0011,0.0076,,,0.0124,,,,,,0.0032,,,-0.0012,,-0.0055,0.0105,,0.0039,,,,,,
child_qualities_conformity_tradition|WVS_A,,,0.0036,,,0.0,,-0.0071,-0.0041,0.0019,0.0106,,,,0.0032,,,,,,0.0135,,,,,-0.0067,-0.0182,-0.0071,,,-0.0053,,,,,,-0.0023,,,0.0014,,-0.0215,-0.0042,,-0.0042,,,,,,
child_qualities_prosocial_diligence|WVS_A,,,-0.0059,,,,0.0,0.0138,-0.0034,0.0058,-0.0081,,,,0.0004,,,,,,0.0011,,,,,0.027,0.0351,0.0174,,,0.0007,,,,,,-0.004,,,0.007,,0.0048,0.0198,,0.0022,,,,,,
civic_dishonesty_tolerance|WVS_F,,,-0.002,,0.0076,-0.0071,0.0138,0.0,-0.0175,0.0178,-0.01,,,,-0.0068,,,,,,0.0178,,-0.003,,,0.048,0.0304,,,,0.0389,,,,,,0.0031,,,,,,,-0.0169,0.0164,,0.0093,,,,
confidence_in_civil_society_organizations|WVS_E,,,,,-0.006,-0.0041,-0.0034,-0.0175,0.0,,,,,,,,,,,,-0.0238,,-0.0038,,,-0.0233,0.0029,-0.0131,,,,,,,,,,,,-0.001,,0.0079,-0.0148,0.0123,,,-0.0072,,,,
confidence_in_domestic_institutions|WVS_E,,,,,0.0076,0.0019,0.0058,0.0178,,0.0,,,,,,,,,,,0.0147,,0.0002,,,0.0311,0.0272,0.023,,,,,,,,,,,,0.004,,-0.0101,0.0304,-0.0115,,,-0.0013,,,,
confidence_in_international_organizations|WVS_E,,,,,0.0011,0.0106,-0.0081,-0.01,,,0.0,,,,,,,,,,0.0093,,0.0064,,,-0.012,-0.019,-0.0108,,,,,,,,,,,,0.0019,,-0.0179,-0.0099,-0.0002,,,-0.0035,,,,
crime_victimization|WVS_H,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_system_evaluation|WVS_E,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratic_values_importance|WVS_E,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,,,,-0.0022,0.0032,0.0004,-0.0068,,,,,,,0.0,,,,,,0.0019,,0.0024,,,-0.006,-0.0046,-0.0058,,,,,,,,,,,,0.0035,,-0.0099,-0.0054,0.0001,,,-0.0043,,,,
electoral_integrity|WVS_E,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existential_threat_worry|WVS_H,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
familial_duty_obligations|WVS_D,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female_income_threat_to_marriage|WVS_D,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom_security_tradeoff_perception|WVS_H,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender_role_traditionalism|WVS_D,,,0.0044,,0.0106,0.0135,0.0011,0.0178,-0.0238,0.0147,0.0093,,,,0.0019,,,,,,0.0,,0.0088,,,0.0306,-0.0038,0.0166,,,0.0178,,,,,,-0.0069,,,0.0055,,-0.0299,0.0218,-0.0199,0.0064,,0.0026,,,,
immigrant_origin_status|WVS_G,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
importance_of_life_domains|WVS_A,,,0.0028,,,,,-0.003,-0.0038,0.0002,0.0064,,,,0.0024,,,,,,0.0088,,0.0,,,-0.0041,-0.014,-0.0048,,,-0.0027,,,,,,-0.0026,,,0.001,,-0.0125,-0.0041,,-0.0015,,,,,,
institutional_threat_perception|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_organization_knowledge|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
job_scarcity_gender_discrimination|WVS_C,,,-0.0069,,0.0101,-0.0067,0.027,0.048,-0.0233,0.0311,-0.012,,,,-0.006,,,,,,0.0306,,-0.0041,,,0.0,,0.0509,,,0.0366,,,,,,0.0011,,,0.0098,,-0.0058,0.0653,-0.0293,0.0139,,0.0037,,,,
job_scarcity_nativist_preference|WVS_C,,,-0.019,,-0.0011,-0.0182,0.0351,0.0304,0.0029,0.0272,-0.019,,,,-0.0046,,,,,,-0.0038,,-0.014,,,,0.0,0.0457,,,0.0024,,,,,,0.0036,,,0.0135,,0.0101,0.0674,-0.0168,-0.0034,,-0.0147,,,,
life_autonomy_morality_permissiveness|WVS_F,,,-0.0055,,0.0076,-0.0071,0.0174,,-0.0131,0.023,-0.0108,,,,-0.0058,,,,,,0.0166,,-0.0048,,,0.0509,0.0457,0.0,,,0.0304,,,,,,0.0051,,,,,,,-0.0172,0.0114,,0.0032,,,,
multilevel_place_attachment|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
neighborhood_disorder_and_crime|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
offline_political_participation|WVS_E,,,,,0.0124,-0.0053,0.0007,0.0389,,,,,,,,,,,,,0.0178,,-0.0027,,,0.0366,0.0024,0.0304,,,0.0,,,,,,,,,-0.0112,,0.0226,0.0256,-0.0119,,,0.0214,,,,
online_political_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
outgroup_trust|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
perceived_negative_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
perceived_positive_effects_of_immigration|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
political_information_sources|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
postmaterialist_values|WVS_E,,,,,0.0032,-0.0023,-0.004,0.0031,,,,,,,,,,,,,-0.0069,,-0.0026,,,0.0011,0.0036,0.0051,,,,,,,,,0.0,,,-0.0049,,0.0095,0.0053,0.0029,,,0.0025,,,,
precautionary_security_behaviors|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
religion_versus_secularism_orientation|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
religious_belief|WVS_F,,,-0.0026,,-0.0012,0.0014,0.007,,-0.001,0.004,0.0019,,,,0.0035,,,,,,0.0055,,0.001,,,0.0098,0.0135,,,,-0.0112,,,,,,-0.0049,,,0.0,,,,-0.0053,-0.0049,,-0.0063,,,,
religious_exclusivism|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
religious_practice_and_self_identification|WVS_F,,,-0.0017,,-0.0055,-0.0215,0.0048,,0.0079,-0.0101,-0.0179,,,,-0.0099,,,,,,-0.0299,,-0.0125,,,-0.0058,0.0101,,,,0.0226,,,,,,0.0095,,,,,0.0,,0.012,0.0137,,0.0122,,,,
sexual_and_reproductive_morality_permissiveness|WVS_F,,,-0.0093,,0.0105,-0.0042,0.0198,,-0.0148,0.0304,-0.0099,,,,-0.0054,,,,,,0.0218,,-0.0041,,,0.0653,0.0674,,,,0.0256,,,,,,0.0053,,,,,,0.0,-0.0232,0.0066,,-0.0023,,,,
social_intolerance_outgroups|WVS_A,,,0.0011,,,,,-0.0169,0.0123,-0.0115,-0.0002,,,,0.0001,,,,,,-0.0199,,,,,-0.0293,-0.0168,-0.0172,,,-0.0119,,,,,,0.0029,,,-0.0053,,0.012,-0.0232,0.0,-0.0037,,,,,,
societal_change_attitudes|WVS_E,,,,,0.0039,-0.0042,0.0022,0.0164,,,,,,,,,,,,,0.0064,,-0.0015,,,0.0139,-0.0034,0.0114,,,,,,,,,,,,-0.0049,,0.0137,0.0066,-0.0037,0.0,,0.0118,,,,
socioeconomic_insecurity_worry|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
subjective_wellbeing|WVS_A,,,0.0042,,,,,0.0093,-0.0072,-0.0013,-0.0035,,,,-0.0043,,,,,,0.0026,,,,,0.0037,-0.0147,0.0032,,,0.0214,,,,,,0.0025,,,-0.0063,,0.0122,-0.0023,,0.0118,,0.0,,,,
violence_tolerance|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
voluntary_association_belonging|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
voting_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
work_ethic|WVS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
