,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
autocracy_support|WVS_E,9999.0,9999.0,0.0,9999.0,1000.0,277.77777777777777,169.49152542372883,500.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,227.27272727272725,9999.0,357.14285714285717,9999.0,9999.0,144.92753623188406,52.631578947368425,181.81818181818184,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,384.61538461538464,9999.0,588.2352941176471,107.52688172043011,909.090909090909,9999.0,9999.0,238.0952380952381,9999.0,9999.0,9999.0,9999.0
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,9999.0,1000.0,9999.0,0.0,9999.0,9999.0,131.57894736842104,166.66666666666666,131.57894736842104,909.090909090909,9999.0,9999.0,9999.0,454.5454545454545,9999.0,9999.0,9999.0,9999.0,9999.0,94.33962264150944,9999.0,9999.0,9999.0,9999.0,99.00990099009901,909.090909090909,131.57894736842104,9999.0,9999.0,80.64516129032258,9999.0,9999.0,9999.0,9999.0,9999.0,312.5,9999.0,9999.0,833.3333333333334,9999.0,181.81818181818184,95.23809523809523,9999.0,256.4102564102564,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_conformity_tradition|WVS_A,9999.0,9999.0,277.77777777777777,9999.0,9999.0,0.0,9999.0,140.8450704225352,243.90243902439022,526.3157894736842,94.33962264150944,9999.0,9999.0,9999.0,312.5,9999.0,9999.0,9999.0,9999.0,9999.0,74.07407407407408,9999.0,9999.0,9999.0,9999.0,149.2537313432836,54.94505494505494,140.8450704225352,9999.0,9999.0,188.67924528301887,9999.0,9999.0,9999.0,9999.0,9999.0,434.7826086956522,9999.0,9999.0,714.2857142857143,9999.0,46.51162790697675,238.0952380952381,9999.0,238.0952380952381,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_prosocial_diligence|WVS_A,9999.0,9999.0,169.49152542372883,9999.0,9999.0,9999.0,0.0,72.46376811594203,294.11764705882354,172.41379310344828,123.4567901234568,9999.0,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,909.090909090909,9999.0,9999.0,9999.0,9999.0,37.03703703703704,28.49002849002849,57.4712643678161,9999.0,9999.0,1000.0,9999.0,9999.0,9999.0,9999.0,9999.0,250.0,9999.0,9999.0,142.85714285714286,9999.0,208.33333333333334,50.5050505050505,9999.0,454.5454545454545,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
civic_dishonesty_tolerance|WVS_F,9999.0,9999.0,500.0,9999.0,131.57894736842104,140.8450704225352,72.46376811594203,0.0,57.14285714285714,56.17977528089888,100.0,9999.0,9999.0,9999.0,147.05882352941177,9999.0,9999.0,9999.0,9999.0,9999.0,56.17977528089888,9999.0,333.3333333333333,9999.0,9999.0,20.833333333333332,32.89473684210526,9999.0,9999.0,9999.0,25.706940874035993,9999.0,9999.0,9999.0,9999.0,9999.0,322.5806451612903,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,59.1715976331361,60.975609756097555,9999.0,107.52688172043011,9999.0,9999.0,9999.0,9999.0
confidence_in_civil_society_organizations|WVS_E,9999.0,9999.0,9999.0,9999.0,166.66666666666666,243.90243902439022,294.11764705882354,57.14285714285714,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,42.016806722689076,9999.0,263.1578947368421,9999.0,9999.0,42.918454935622314,344.82758620689657,76.33587786259541,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,1000.0,9999.0,126.58227848101265,67.56756756756756,81.30081300813008,9999.0,9999.0,138.88888888888889,9999.0,9999.0,9999.0,9999.0
confidence_in_domestic_institutions|WVS_E,9999.0,9999.0,9999.0,9999.0,131.57894736842104,526.3157894736842,172.41379310344828,56.17977528089888,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,68.02721088435375,9999.0,1000.0,9999.0,9999.0,32.154340836012864,36.76470588235294,43.47826086956522,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,250.0,9999.0,99.00990099009901,32.89473684210526,86.95652173913044,9999.0,9999.0,769.2307692307693,9999.0,9999.0,9999.0,9999.0
