construct,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
authoritarian_governance_tolerance|WVS_E,9999.0,0.0,67.63392857142857,9999.0,57.80346820809249,81.84731695291315,88.0952380952381,59.880239520958085,61.386660640982186,63.19257262653489,9999.0,9999.0,65.74614976101964,77.74283717679944,75.5197853789403,9999.0,9999.0,9999.0,9999.0,9999.0,71.12908056304283,28.57142857142857,32.89473684210526,9999.0,9999.0,63.69426751592357,35.3356890459364,48.309178743961354,9999.0,9999.0,59.15246832678025,9999.0,122.98482693219535,9999.0,9999.0,9999.0,57.47316267547481,9999.0,9999.0,73.21428571428572,9999.0,62.01624462494028,9999.0,75.6943284911226,31.446540880503143,64.51612903225806,70.41243275552898,9999.0,64.93506493506493,9999.0,9999.0,9999.0,75.74123989218329
autocracy_support|WVS_E,9999.0,67.63392857142857,0.0,9999.0,114.20115038811639,52.083333333333336,98.58630952380952,97.46522270684642,83.11536343612335,98.0659965034965,9999.0,9999.0,76.23722118959108,133.15022695589798,86.01085680751174,9999.0,9999.0,9999.0,9999.0,9999.0,78.74015748031496,39.0625,63.10096153846154,9999.0,9999.0,66.66666666666667,54.34782608695652,87.60618932038835,9999.0,9999.0,69.64353975535168,9999.0,153.19105162855163,9999.0,9999.0,9999.0,67.96423410404624,9999.0,9999.0,83.70535714285714,9999.0,63.291139240506325,9999.0,117.44878762541806,86.85393065960169,89.31375628140702,80.90350418410041,9999.0,75.42613636363637,9999.0,9999.0,9999.0,86.23231132075472
basic_needs_deprivation|WVS_H,9999.0,9999.0,9999.0,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
child_qualities_autonomy_self_expression|WVS_A,9999.0,57.80346820809249,114.20115038811639,9999.0,0.0,90.10580165097082,100.08186655751126,36.101083032490976,39.8406374501992,42.37288135593221,9999.0,9999.0,112.93229694716683,70.4225352112676,122.7059325650875,9999.0,9999.0,9999.0,9999.0,9999.0,35.46099290780142,75.75757575757576,52.40626425007997,9999.0,9999.0,87.8170138502098,75.30163035800062,36.101083032490976,9999.0,9999.0,95.69630754012327,9999.0,123.4567901234568,9999.0,9999.0,9999.0,103.42667241334529,9999.0,9999.0,88.49557522123894,9999.0,89.34558794524871,9999.0,57.4712643678161,28.653295128939828,122.31959724035056,107.40343895096689,9999.0,70.6701018516289,9999.0,9999.0,9999.0,97.61881237031913
child_qualities_conformity_tradition|WVS_A,9999.0,81.84731695291315,52.083333333333336,9999.0,90.10580165097082,0.0,104.52486218001201,79.36507936507937,98.9979183811783,113.94855144855146,9999.0,9999.0,92.11977613464602,129.83277866798144,101.89341175256668,9999.0,9999.0,9999.0,9999.0,9999.0,54.6448087431694,54.94505494505494,78.98351648351648,9999.0,9999.0,53.475935828877,46.51162790697675,103.48874426544329,9999.0,9999.0,85.52609470040662,9999.0,169.07360657360658,9999.0,9999.0,9999.0,83.84678904910119,9999.0,9999.0,99.58791208791209,9999.0,53.763440860215056,9999.0,72.46376811594203,94.32734842570909,105.19631122646197,56.81818181818181,9999.0,91.30869130869131,9999.0,9999.0,9999.0,102.11486626580967
child_qualities_prosocial_diligence|WVS_A,9999.0,88.0952380952381,98.58630952380952,9999.0,100.08186655751126,104.52486218001201,0.0,117.92653223065594,64.93506493506493,103.17460317460318,9999.0,9999.0,96.6985307134006,117.72486772486772,106.47216633132126,9999.0,9999.0,9999.0,9999.0,9999.0,111.11111111111111,59.523809523809526,83.56227106227107,9999.0,9999.0,134.71177944862157,91.26984126984127,75.75757575757576,9999.0,9999.0,90.10484927916121,9999.0,173.65236115236115,9999.0,9999.0,9999.0,88.42554362785577,9999.0,9999.0,98.0392156862745,9999.0,50.76142131979696,9999.0,115.6763590391909,71.42857142857143,109.77506580521656,101.36481370790995,9999.0,95.88744588744589,9999.0,9999.0,9999.0,106.69362084456424
civic_dishonesty_tolerance|WVS_F,9999.0,59.880239520958085,97.46522270684642,9999.0,36.101083032490976,79.36507936507937,117.92653223065594,0.0,67.11409395973155,48.543689320388346,9999.0,9999.0,95.5774438964375,82.64462809917356,105.35107951435816,9999.0,9999.0,9999.0,9999.0,9999.0,42.918454935622314,58.40272270684642,34.36426116838488,9999.0,9999.0,95.2744758780307,82.75909238582152,67.36756149841787,9999.0,9999.0,77.65430445842817,9999.0,124.45435125847496,9999.0,9999.0,9999.0,85.38466933165019,9999.0,9999.0,103.04557984970356,9999.0,91.84753876035813,9999.0,51.02040816326531,58.117230289525025,97.08737864077669,85.47008547008546,9999.0,76.33587786259541,9999.0,9999.0,9999.0,105.57253402760114
confidence_in_civil_society_organizations|WVS_E,9999.0,61.386660640982186,83.11536343612335,9999.0,39.8406374501992,98.9979183811783,64.93506493506493,67.11409395973155,0.0,61.68615150651079,9999.0,9999.0,81.22758462571443,76.23641605677534,91.00122024363509,9999.0,9999.0,9999.0,9999.0,9999.0,69.62265944301873,44.052863436123346,34.602076124567475,9999.0,9999.0,119.24083336093538,75.79889518215509,42.19409282700422,9999.0,9999.0,74.63390319147503,9999.0,124.69216621465756,9999.0,9999.0,9999.0,72.95459754016959,9999.0,9999.0,84.74576271186442,9999.0,49.504950495049506,9999.0,74.1879073710985,29.940119760479043,94.30411971753037,85.89386762022376,9999.0,44.642857142857146,9999.0,9999.0,9999.0,91.22267475687806
confidence_in_domestic_institutions|WVS_E,9999.0,63.19257262653489,98.0659965034965,9999.0,42.37288135593221,113.94855144855146,103.17460317460318,48.543689320388346,61.68615150651079,0.0,9999.0,9999.0,96.17821769308759,78.04232804232804,105.95185331100825,9999.0,9999.0,9999.0,9999.0,9999.0,64.1025641025641,59.00349650349651,34.96503496503497,9999.0,9999.0,116.45858504497248,90.74952824952825,51.282051282051285,9999.0,9999.0,78.25507825507826,9999.0,125.05512505512505,9999.0,9999.0,9999.0,85.98544312830028,9999.0,9999.0,103.64635364635365,9999.0,92.44831255700822,9999.0,75.99381935665122,31.746031746031747,109.25475278490353,100.8445006875969,9999.0,68.4931506849315,9999.0,9999.0,9999.0,100.71154898741105
