country,zone,betti_0,betti_1,betti_2,total_pers_H0,total_pers_H1,total_pers_H2,max_pers_H0,max_pers_H1,max_pers_H2,entropy_H0,entropy_H1,n_features_H0,n_features_H1,n_features_H2,ricci_mean,ricci_min,frac_negative_ricci,fiedler_value,spectral_gap,spectral_entropy,top_mediator,top_mediator_score,n_triangle_violations
AND,Catholic Europe,7,0,0,6.03359270375222,0.1297413296997547,0.1444968227297067,1.0,0.0217673666775226,0.016416810452938,2.432213355150833,2.844191849362771,55,29,36,1.0,1.0,0.0,0.709748,0.709748,3.984,science_skepticism|WVS_I,4557387.8294,1820
ARG,Latin America,12,0,1,9.19498559832573,0.3149988166987896,0.7363092117011547,1.0,0.0275713466107845,0.0512795820832252,2.6665414298440315,3.418994468523977,55,44,85,1.0,1.0,0.0,0.760675,0.760675,3.9842,science_skepticism|WVS_I,4199803.9362,1554
ARM,Orthodox/ex-Communist,9,0,0,7.852493160869926,0.0815241923555731,0.0462996307760477,1.0,0.0209971107542514,0.0125260539352893,2.4702151318553924,2.3924694683628736,55,18,13,0.9999,0.9165,0.0,0.684381,0.684381,3.9841,work_ethic|WVS_C,3883659.7373,1794
AUS,English-speaking,6,0,0,6.5674970909021795,0.0201694751158356,0.047380800358951,1.0,0.0036234948784112,0.0105845518410205,2.252456780234088,2.2620731999855614,55,11,18,0.9967,0.5381,0.0,0.676411,0.676411,3.9846,female_income_threat_to_marriage|WVS_D,3859314.2578,1716
BGD,South/Southeast Asian,16,2,14,7.614048390649259,0.7095128744840622,2.616181291639805,1.0,0.0990726798772811,0.1273726373910904,2.715251744833364,3.322735538855753,55,43,94,1.0,1.0,0.0,0.614653,0.614653,3.9829,science_skepticism|WVS_I,4129099.9877,1854
BOL,Latin America,6,0,0,3.305885358247906,0.1995254745706915,0.6108923796564341,1.0,0.0136394537985324,0.0263322927057743,2.5581282101687464,3.447476233770662,55,41,65,1.0,1.0,0.0,0.716035,0.716035,3.9843,job_scarcity_gender_discrimination|WVS_C,4645342.1931,2140
BRA,Latin America,12,0,4,8.086986749432981,0.1450282139703631,0.7581598963588476,1.0,0.0173748023808002,0.0918080434203147,2.568598447143288,2.6255711624072524,55,26,42,1.0,1.0,0.0,0.649177,0.649177,3.9838,gender_role_traditionalism|WVS_D,4511799.7565,1782
CAN,English-speaking,4,0,0,3.877147074788809,0.0667935675010085,0.5485841147601604,1.0,0.0091618634760379,0.0209211856126785,2.236490591043669,2.945828819154507,55,26,98,0.9995,0.7267,0.0,0.679968,0.679968,3.9838,science_skepticism|WVS_I,4580927.9125,2032
CHL,Latin America,14,0,0,4.788626737892628,0.1964744105935096,0.244108498096466,1.0,0.0193590335547924,0.0442739129066467,2.717898470733995,3.021964570966035,55,29,27,1.0,1.0,0.0,0.725715,0.725715,3.9839,science_skepticism|WVS_I,4646018.9832,2120
CHN,Confucian,21,1,1,12.499577539041638,0.3179503148421645,0.2252330221235752,1.0,0.073295310139656,0.0703812539577484,2.884837206504983,2.5941072030861863,55,27,18,0.9999,0.9186,0.0,0.716719,0.716719,3.9846,job_scarcity_gender_discrimination|WVS_C,3149853.0057,1622
COL,Latin America,5,0,0,3.150875269435346,0.0927963005378842,0.0876410435885191,1.0,0.0406585037708282,0.0429313853383064,2.4516372464530747,2.0133184276524787,55,16,11,1.0,0.9982,0.0,0.779871,0.779871,3.9856,gender_role_traditionalism|WVS_D,4638068.9731,2210
CYP,Catholic Europe,4,0,0,3.6174716174136847,0.0368686523288488,0.0367800407111644,1.0,0.0122809987515211,0.013664785772562,1.9977820914539115,1.820045048170802,55,10,6,0.9917,0.5234,0.0,0.73573,0.73573,3.9856,job_scarcity_nativist_preference|WVS_C,4463706.2571,2020
CZE,Orthodox/ex-Communist,8,0,0,7.061100005637854,0.1072441190481185,0.1266970876604318,1.0,0.0427151285111904,0.0205094367265701,2.5094417142504213,1.9738316304690968,55,19,18,1.0,1.0,0.0,0.627676,0.627676,3.9834,science_skepticism|WVS_I,4076416.7943,1726
DEU,Protestant Europe,7,0,0,5.730094285681844,0.0195524226874113,0.0404584482312202,1.0,0.0049193231388926,0.0099948160350322,2.2457503860788104,1.9817149806515528,55,9,8,0.9989,0.6928,0.0,0.69946,0.69946,3.985,job_scarcity_gender_discrimination|WVS_C,4135592.637,1882
ECU,Latin America,6,0,0,3.521871022880078,0.0801824666559696,0.2257319465279579,1.0,0.0280583649873733,0.0310859382152557,2.71174251371205,2.1480687448125195,55,14,34,1.0,1.0,0.0,0.749296,0.749296,3.9849,job_scarcity_gender_discrimination|WVS_C,4588047.3455,2074
EGY,African-Islamic,11,0,0,9.741758103016764,0.3327157567255199,0.4021756779402494,1.0,0.0321021899580955,0.0347239002585411,2.574377931139427,3.044331971870575,55,32,44,0.9982,0.5713,0.0,0.666856,0.666856,3.9828,science_skepticism|WVS_I,3509214.6253,1728
ETH,African-Islamic,12,0,1,9.175242907833308,0.467235158663243,0.8327174242585897,1.0,0.0378367453813552,0.0707070529460907,2.65649428444118,3.655962714364124,55,52,84,0.9995,0.7726,0.0,0.697149,0.697149,3.9842,gender_role_traditionalism|WVS_D,3805106.7411,1824
GBR,English-speaking,8,0,0,8.500785402487963,0.0486719873733818,0.0926936259493231,1.0,0.0061926972121,0.0102754700928926,2.401325215718468,2.6469039645356753,55,23,20,1.0,1.0,0.0,0.653372,0.653372,3.9843,science_skepticism|WVS_I,3746873.2099,1432
GRC,Catholic Europe,4,0,0,4.567540933843702,0.0549180577509105,0.0529139693826437,1.0,0.007748570293188,0.0076724030077457,2.0526637963012275,2.7292396728174984,55,27,26,0.996,0.5332,0.0,0.7575,0.7575,3.9859,job_scarcity_gender_discrimination|WVS_C,4479662.6876,1620
GTM,Latin America,14,2,6,3.1841109301894903,1.4086219482123852,3.1427184008061886,1.0,0.0738422870635986,0.1096067130565643,3.2677526554438545,4.159354123639572,55,93,145,1.0,1.0,0.0,0.702584,0.702584,3.9836,job_scarcity_gender_discrimination|WVS_C,4846677.8701,2206
HKG,Confucian,7,0,0,3.148723906837404,0.0915128150954842,0.2591591402888298,1.0,0.0233610495924949,0.0276293978095054,2.444412435766946,2.0215814242162815,55,10,25,0.9998,0.8236,0.0,0.773621,0.773621,3.9856,job_scarcity_gender_discrimination|WVS_C,4747496.5515,2196
IDN,South/Southeast Asian,9,0,0,6.869492103345692,0.2276552282273769,0.0200824458152055,1.0,0.0286746025085449,0.0050185956060886,2.398563547236866,3.249797395159197,55,36,7,0.9971,0.5494,0.0,0.790493,0.790493,3.9858,work_ethic|WVS_C,3893093.4397,1900
IND,South/Southeast Asian,9,0,3,3.476081487722695,0.8600035794079304,1.7391038611531258,1.0,0.034523993730545,0.0547138080000877,2.69292621522335,4.09715029172784,55,74,125,1.0,1.0,0.0,0.706641,0.706641,3.9825,science_skepticism|WVS_I,4726936.2772,2188
IRN,African-Islamic,2,0,0,2.938291631639004,0.0895816823467612,0.3532570730894804,1.0,0.0212434763088822,0.0270088389515876,2.32337331823301,2.7226743210492046,55,32,80,1.0,1.0,0.0,0.726752,0.726752,3.9844,familial_duty_obligations|WVS_D,4766269.5558,1890
IRQ,African-Islamic,8,0,0,5.31744930986315,0.0665785642340779,0.4878791496157646,1.0,0.0219959737733006,0.0324572250247001,2.5327648820171937,1.786034318507693,55,9,35,1.0,1.0,0.0,0.687678,0.687678,3.9834,gender_role_traditionalism|WVS_D,4588763.182,2224
JOR,African-Islamic,11,0,1,9.96365100191906,0.2676183432340622,0.7374973781406879,1.0,0.0331247709691524,0.0581679567694664,2.6555290838670453,2.9493755267048147,55,25,43,1.0,1.0,0.0,0.667514,0.667514,3.9826,immigrant_origin_status|WVS_G,3737524.8976,1828
JPN,Confucian,10,0,0,8.850483198650181,0.0760730686597526,0.1433694558218121,1.0,0.0150312632322311,0.0216547474265098,2.5360516944889713,2.5387578245935396,55,23,27,1.0,1.0,0.0,0.72014,0.72014,3.9851,science_skepticism|WVS_I,3572462.4127,1578
KAZ,Orthodox/ex-Communist,21,0,1,5.359832442365587,0.0882801413536071,0.3155991211533546,1.0,0.022292211651802,0.0501042157411575,2.964865467255864,2.173270331424517,55,12,16,1.0,1.0,0.0,0.682136,0.682136,3.9837,gender_role_traditionalism|WVS_D,4591229.2599,2126
KEN,African-Islamic,10,0,0,2.71295865252614,0.0573656158521771,0.1307488083839416,1.0,0.0131523609161376,0.0143297016620635,3.069138732826876,2.2043105342436125,55,14,18,1.0,1.0,0.0,0.734388,0.734388,3.9842,immigrant_origin_status|WVS_G,4937876.9676,2202
KGZ,Orthodox/ex-Communist,11,0,0,10.697839229833336,0.1153549766167998,0.2443542592227459,1.0,0.0244521833956241,0.022253256291151,2.6181970772204837,2.5337045270010106,55,19,46,0.9967,0.5905,0.0,0.642191,0.642191,3.9831,job_scarcity_gender_discrimination|WVS_C,3579869.7967,1660
KOR,Confucian,12,1,1,6.397796211764216,0.2027967795729637,1.0828614551573992,1.0,0.0523194968700408,0.0520364493131637,2.5930128256069422,2.737919977695486,55,24,65,1.0,1.0,0.0,0.678131,0.678131,3.9838,job_scarcity_gender_discrimination|WVS_C,3957607.3187,2036
LBN,African-Islamic,7,0,0,5.879113767761737,0.0419746283441782,0.2980395853519439,1.0,0.0078732706606388,0.0320512801408767,2.342228905099592,2.496997577612796,55,16,36,0.9994,0.6678,0.0,0.722687,0.722687,3.9837,work_ethic|WVS_C,4120812.3434,2052
LBY,African-Islamic,8,0,0,6.9169503001030535,0.0682026492431759,0.3638825174421072,1.0,0.0112689398229122,0.0434946939349174,2.4078920430692863,2.328673689198558,55,15,28,0.9974,0.5872,0.0,0.653113,0.653113,3.9837,religious_practice_and_self_identification|WVS_F,4364784.4918,2082
MAC,Confucian,8,0,1,6.380224535707384,0.1894550882279873,0.2136917412281036,1.0,0.046113297343254,0.0515020042657852,2.560309532832959,2.1270610028620203,55,13,18,1.0,0.9742,0.0,0.760412,0.760412,3.985,immigrant_origin_status|WVS_G,4241142.1864,2146
MAR,African-Islamic,15,0,7,5.916041444987059,0.2155005354434251,1.1119582019746304,1.0,0.0291351787745952,0.0816083326935768,2.7895251312216054,2.941649060272643,55,28,59,1.0,1.0,0.0,0.652287,0.652287,3.9832,familial_duty_obligations|WVS_D,4527070.2982,1966
MDV,African-Islamic,10,0,0,8.783756092656404,0.0534739596769213,0.1112053915858268,1.0,0.0084164515137672,0.021243080496788,2.522148129759077,2.444994016132867,55,15,14,0.9995,0.633,0.0,0.690365,0.690365,3.9842,science_skepticism|WVS_I,4148079.716,1612
MEX,Latin America,16,0,2,8.209406127221882,0.1274773739278316,0.4563862923532724,1.0,0.0166578162461519,0.1515151560306549,2.8418208654205532,2.989602583974886,55,27,38,1.0,1.0,0.0,0.725573,0.725573,3.9851,gender_role_traditionalism|WVS_D,3790631.4344,1816
MMR,South/Southeast Asian,11,0,0,9.02592314593494,0.0865908740088343,0.1231243349611759,1.0,0.0249981842935085,0.0198158621788024,2.6166952664212197,2.097951980083698,55,14,14,1.0,1.0,0.0,0.706102,0.706102,3.9842,gender_role_traditionalism|WVS_D,3797284.5448,1634
MNG,Orthodox/ex-Communist,10,0,0,3.5118793873116374,0.0,0.0,1.0,0.0,0.0,2.5305851541203044,0.0,55,0,0,0.9998,0.8227,0.0,0.888178,0.888178,3.9869,work_ethic|WVS_C,4781811.9159,2290
MYS,South/Southeast Asian,7,0,0,2.2285211523994803,0.1516840094700455,0.1460834257304668,1.0,0.0163670405745506,0.0148097500205039,2.7668025090786412,3.347641074802512,55,37,47,0.999,0.5681,0.0,0.636533,0.636533,3.9839,science_skepticism|WVS_I,4930714.1329,2286
NGA,African-Islamic,7,0,0,6.115731438156217,0.1898674806579947,0.984795393422246,1.0,0.0177653022110462,0.0324186086654663,2.468289130947724,3.3631194487584692,55,41,95,1.0,1.0,0.0,0.627929,0.627929,3.9831,gender_role_traditionalism|WVS_D,4508795.4498,2022
NIC,Latin America,9,1,1,1.735667803324759,0.4115321552380919,0.2891206592321396,0.0874125882983207,0.086472675204277,0.0547107085585594,3.829901978537417,2.9093537142292063,55,33,19,1.0,1.0,0.0,0.72928,0.72928,3.9843,job_scarcity_gender_discrimination|WVS_C,5345365.6892,2510
NIR,English-speaking,7,0,0,7.5602259137667716,0.0938278790563345,0.2298916010186076,1.0,0.0138233862817287,0.018022971227765,2.341258655334859,2.9726482473498628,55,33,60,0.9997,0.8489,0.0,0.703393,0.703393,3.9844,science_skepticism|WVS_I,3884100.3719,1416
NLD,Protestant Europe,6,0,0,6.738505267072469,0.0474408753216266,0.0853136805817484,1.0,0.0098733520135283,0.010458305478096,2.3516500076135967,2.347366524052771,55,17,28,1.0,1.0,0.0,0.679241,0.679241,3.9839,science_skepticism|WVS_I,3919401.6783,1652
NZL,English-speaking,5,0,0,5.705894311424345,0.0230214893817901,0.0797037463635206,1.0,0.0101964175701141,0.0189550835639238,2.2465237934419267,1.5136142635647127,55,7,20,0.9967,0.5436,0.0,0.690257,0.690257,3.9845,science_skepticism|WVS_I,4182271.9983,1842
PAK,South/Southeast Asian,6,0,0,5.976153621450067,0.7922383043915033,0.9148184657096864,1.0,0.0487801283597946,0.0445541813969612,2.408305964825575,3.898155865030816,55,67,110,1.0,1.0,0.0,0.72501,0.72501,3.9839,work_ethic|WVS_C,4135711.0636,2104
PER,Latin America,7,0,0,3.253824763000011,0.122662853449583,0.3261679820716381,1.0,0.0304771959781646,0.0392817109823226,2.5151577268130723,2.2658562529202135,55,14,31,0.9999,0.8819,0.0,0.779349,0.779349,3.9851,gender_role_traditionalism|WVS_D,4762278.2159,2400
PHL,South/Southeast Asian,10,0,18,4.607279226183891,0.3633211934939027,2.7535357736051083,1.0,0.0483075864613056,0.1914936602115631,2.647145355089902,3.2556095264915124,55,37,105,1.0,1.0,0.0,0.696438,0.696438,3.9836,job_scarcity_gender_discrimination|WVS_C,4484165.5835,2078
PRI,Latin America,4,0,0,4.151827331166714,0.1198603576049208,0.2391505781561136,1.0,0.0290426909923553,0.0335523039102554,2.4325174393329685,2.32337279171561,55,17,27,1.0,1.0,0.0,0.678431,0.678431,3.9839,science_skepticism|WVS_I,4581710.3154,2026
ROU,Orthodox/ex-Communist,9,1,0,7.9553307462483644,0.2927253395318985,0.1243703886866569,1.0,0.0553105846047401,0.0282201170921325,2.5032407235795775,2.4015062677247285,55,19,13,1.0,0.9984,0.0,0.788366,0.788366,3.9852,work_ethic|WVS_C,3957689.3538,1714
RUS,Orthodox/ex-Communist,11,0,0,6.298241879791021,0.0460083289071917,0.2707915315404534,1.0,0.0117766615003347,0.0401559248566627,2.545668793554797,2.2058180120082924,55,15,26,1.0,1.0,0.0,0.738702,0.738702,3.9852,science_skepticism|WVS_I,4175593.3575,1894
SGP,Confucian,4,0,0,4.725302465958521,0.0373717304319143,0.0002531558275222,1.0,0.0158127769827842,0.0002531558275222,2.1728899149654564,1.1061861887089992,55,4,1,0.9967,0.5375,0.0,0.806574,0.806574,3.9864,job_scarcity_gender_discrimination|WVS_C,4462012.4565,2084
