,AND,ARG,ARM,AUS,BGD,BOL,BRA,CAN,CHL,CHN,COL,CYP,CZE,DEU,ECU,EGY,ETH,GBR,GRC,GTM,HKG,IDN,IND,IRN,IRQ,JOR,JPN,KAZ,KEN,KGZ,KOR,LBN,LBY,MAC,MAR,MDV,MEX,MMR,MNG,MYS,NGA,NIC,NIR,NLD,NZL,PAK,PER,PHL,PRI,ROU,RUS,SGP,SRB,SVK,THA,TJK,TUN,TUR,TWN,UKR,URY,USA,UZB,VEN,VNM,ZWE
AND,0.0,0.013785673305392265,0.01088368333876133,0.01088368333876133,0.049536339938640594,0.010072372853755951,0.008687401190400124,0.01088368333876133,0.00866929441690445,0.03664765506982803,0.020329251885414124,0.01088368333876133,0.013029560446739197,0.01088368333876133,0.00881834328174591,0.013803120702505112,0.018918372690677643,0.01088368333876133,0.01088368333876133,0.036921143531799316,0.011680524796247482,0.014337301254272461,0.017261996865272522,0.01088368333876133,0.01088368333876133,0.010297857224941254,0.0057392120361328125,0.011146105825901031,0.01088368333876133,0.006153114140033722,0.026159748435020447,0.009362120181322098,0.01088368333876133,0.023056648671627045,0.01456758938729763,0.01088368333876133,0.007857710123062134,0.006699115037918091,0.01088368333876133,0.01088368333876133,0.010595463216304779,0.04323633760213852,0.01088368333876133,0.01088368333876133,0.01088368333876133,0.02373320981860161,0.015238597989082336,0.02113848179578781,0.010822512209415436,0.02765529230237007,0.01088368333876133,0.01088368333876133,0.010072372853755951,0.008829556405544281,0.005411256104707718,0.006596894934773445,0.019936203956604004,0.02497503161430359,0.01088368333876133,0.008582353591918945,0.01088368333876133,0.01088368333876133,0.011531811207532883,0.02193499356508255,0.012368585914373398,0.01918536052107811
ARG,0.013785673305392265,0.0,0.009626965038478374,0.013785673305392265,0.049536339938640594,0.010905429720878601,0.009626965038478374,0.013785673305392265,0.013307938352227211,0.03664765506982803,0.020329251885414124,0.013785673305392265,0.01963358372449875,0.013785673305392265,0.014029182493686676,0.006853211671113968,0.018918372690677643,0.013785673305392265,0.013307938352227211,0.036921143531799316,0.012460127472877502,0.014337301254272461,0.017261996865272522,0.013307938352227211,0.013785673305392265,0.009997332468628883,0.013785673305392265,0.013785673305392265,0.013785673305392265,0.013188567012548447,0.026159748435020447,0.013785673305392265,0.013785673305392265,0.023056648671627045,0.00857093557715416,0.013307938352227211,0.013307938352227211,0.012948255985975266,0.013785673305392265,0.01096942275762558,0.013307938352227211,0.04323633760213852,0.013785673305392265,0.013785673305392265,0.013785673305392265,0.01767009310424328,0.015238597989082336,0.02415379323065281,0.014521345496177673,0.02765529230237007,0.012705277651548386,0.013785673305392265,0.013307938352227211,0.013785673305392265,0.013661865144968033,0.013307938352227211,0.023408962413668633,0.02497503161430359,0.013785673305392265,0.010731566697359085,0.013785673305392265,0.013785673305392265,0.013785673305392265,0.02193499356508255,0.013785673305392265,0.01918536052107811
ARM,0.01088368333876133,0.009626965038478374,0.0,0.01049855537712574,0.049536339938640594,0.005609825253486633,0.008621061220765114,0.01049855537712574,0.009679516777396202,0.03664765506982803,0.020329251885414124,0.009518690407276154,0.021357564255595207,0.01049855537712574,0.014029182493686676,0.013812506571412086,0.018918372690677643,0.01049855537712574,0.00765228271484375,0.036921143531799316,0.00892975740134716,0.014337301254272461,0.017261996865272522,0.008833780884742737,0.01049855537712574,0.014497697353363037,0.01049855537712574,0.011146105825901031,0.01049855537712574,0.009969852864742279,0.026159748435020447,0.01049855537712574,0.010427869856357574,0.023056648671627045,0.00857093557715416,0.008854784071445465,0.0072938986122608185,0.009969852864742279,0.01049855537712574,0.008183520287275314,0.01049855537712574,0.04323633760213852,0.01049855537712574,0.01049855537712574,0.01049855537712574,0.020202022045850754,0.015238597989082336,0.02415379323065281,0.014430016279220581,0.02765529230237007,0.00948217511177063,0.01049855537712574,0.006955387070775032,0.013597514480352402,0.009695366024971008,0.010924629867076874,0.023408962413668633,0.02497503161430359,0.01049855537712574,0.012920327484607697,0.01049855537712574,0.01049855537712574,0.013613216578960419,0.02193499356508255,0.012987013906240463,0.01918536052107811
AUS,0.01088368333876133,0.013785673305392265,0.01049855537712574,0.0,0.049536339938640594,0.006819726899266243,0.008687401190400124,0.0045809317380189896,0.009679516777396202,0.03664765506982803,0.020329251885414124,0.006140499375760555,0.021357564255595207,0.0016220463439822197,0.014029182493686676,0.016051094979047775,0.018918372690677643,0.0029984666034579277,0.0038742851465940475,0.036921143531799316,0.011680524796247482,0.014337301254272461,0.017261996865272522,0.010621738154441118,0.010997986886650324,0.016562385484576225,0.00751563161611557,0.011146105825901031,0.006576180458068848,0.01222609169781208,0.026159748435020447,0.003936635330319405,0.005634469911456108,0.023056648671627045,0.01456758938729763,0.004208225756883621,0.008328908123075962,0.012499092146754265,0.0018117474392056465,0.008183520287275314,0.00888265110552311,0.04323633760213852,0.006911693140864372,0.004432106390595436,0.005098208785057068,0.02439006417989731,0.015238597989082336,0.02415379323065281,0.014521345496177673,0.02765529230237007,0.00588833075016737,0.007906388491392136,0.007957890629768372,0.013597514480352402,0.006556730717420578,0.012231705710291862,0.023408962413668633,0.02497503161430359,0.005409015342593193,0.0149159487336874,0.0013304539024829865,0.0039768097922205925,0.013744115829467773,0.02193499356508255,0.012987013906240463,0.01918536052107811
BGD,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.0,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.048071786761283875,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.027873076498508453,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594,0.049536339938640594
BOL,0.010072372853755951,0.010905429720878601,0.005609825253486633,0.006819726899266243,0.049536339938640594,0.0,0.008559945970773697,0.006819726899266243,0.009679516777396202,0.03664765506982803,0.020256035029888153,0.005664000287652016,0.01876877248287201,0.006819726899266243,0.014029182493686676,0.014041155576705933,0.018918372690677643,0.006819726899266243,0.005933508276939392,0.036921143531799316,0.006548196077346802,0.014337301254272461,0.017261996865272522,0.008754441514611244,0.008894799277186394,0.01483365148305893,0.006819726899266243,0.006819726899266243,0.006819726899266243,0.010305806994438171,0.026159748435020447,0.006819726899266243,0.006356567144393921,0.023056648671627045,0.009130038321018219,0.005609825253486633,0.005609825253486633,0.010305806994438171,0.006819726899266243,0.007645353674888611,0.006819726899266243,0.04323633760213852,0.006819726899266243,0.006819726899266243,0.006819726899266243,0.020789004862308502,0.015238597989082336,0.02415379323065281,0.014521345496177673,0.02765529230237007,0.006195820868015289,0.006819726899266243,0.005609825253486633,0.013225547969341278,0.006409011781215668,0.011260583996772766,0.023408962413668633,0.02497503161430359,0.00679779052734375,0.013256281614303589,0.006819726899266243,0.006819726899266243,0.013744115829467773,0.01876654475927353,0.012987013906240463,0.01749497838318348
BRA,0.008687401190400124,0.009626965038478374,0.008621061220765114,0.008687401190400124,0.049536339938640594,0.008559945970773697,0.0,0.008687401190400124,0.008797042071819305,0.03664765506982803,0.020329251885414124,0.008687401190400124,0.015911463648080826,0.008687401190400124,0.012025013566017151,0.00929480791091919,0.018918372690677643,0.008687401190400124,0.008646246045827866,0.036921143531799316,0.008621061220765114,0.014337301254272461,0.017261996865272522,0.010114360600709915,0.010254718363285065,0.011655010282993317,0.008687401190400124,0.011146105825901031,0.008687401190400124,0.008621061220765114,0.026159748435020447,0.008646246045827866,0.008687401190400124,0.023056648671627045,0.008763831108808517,0.008646246045827866,0.008646246045827866,0.008687401190400124,0.008687401190400124,0.008621061220765114,0.008646246045827866,0.04323633760213852,0.008687401190400124,0.008687401190400124,0.008687401190400124,0.01645548827946186,0.015238597989082336,0.017858929932117462,0.014430016279220581,0.02765529230237007,0.008621061220765114,0.008687401190400124,0.008646246045827866,0.009898100048303604,0.008687401190400124,0.008687401190400124,0.023408962413668633,0.02497503161430359,0.008687401190400124,0.010077640414237976,0.008687401190400124,0.008687401190400124,0.013613216578960419,0.02193499356508255,0.012987013906240463,0.01918536052107811
CAN,0.01088368333876133,0.013785673305392265,0.01049855537712574,0.0045809317380189896,0.049536339938640594,0.006819726899266243,0.008687401190400124,0.0,0.009679516777396202,0.03664765506982803,0.020329251885414124,0.006140499375760555,0.021357564255595207,0.0045809317380189896,0.014029182493686676,0.016051094979047775,0.018918372690677643,0.0045809317380189896,0.0045809317380189896,0.036921143531799316,0.011680524796247482,0.014337301254272461,0.017261996865272522,0.006972676143050194,0.007751937955617905,0.016562385484576225,0.00751563161611557,0.011146105825901031,0.006576180458068848,0.01222609169781208,0.026159748435020447,0.0045809317380189896,0.005478711798787117,0.023056648671627045,0.01456758938729763,0.0035871993750333786,0.008328908123075962,0.012499092146754265,0.0045809317380189896,0.008183520287275314,0.006020179018378258,0.04323633760213852,0.004394613206386566,0.004847757518291473,0.005098208785057068,0.02439006417989731,0.015238597989082336,0.02415379323065281,0.014521345496177673,0.02765529230237007,0.0038677286356687546,0.007906388491392136,0.007957890629768372,0.013597514480352402,0.006556730717420578,0.012231705710291862,0.023408962413668633,0.02497503161430359,0.005409015342593193,0.0149159487336874,0.0045809317380189896,0.004154506605118513,0.013744115829467773,0.02193499356508255,0.012987013906240463,0.01918536052107811
CHL,0.00866929441690445,0.013307938352227211,0.009679516777396202,0.009679516777396202,0.049536339938640594,0.009679516777396202,0.008797042071819305,0.009679516777396202,0.0,0.03664765506982803,0.020329251885414124,0.009679516777396202,0.016587495803833008,0.009679516777396202,0.009315983392298222,0.016051094979047775,0.018918372690677643,0.009679516777396202,0.009679516777396202,0.036921143531799316,0.010917354375123978,0.014337301254272461,0.017261996865272522,0.009679516777396202,0.008797042071819305,0.01455577090382576,0.009679516777396202,0.01011975109577179,0.009679516777396202,0.010411027818918228,0.026159748435020447,0.009679516777396202,0.009679516777396202,0.023056648671627045,0.011283833533525467,0.009679516777396202,0.009679516777396202,0.010957028716802597,0.009679516777396202,0.009679516777396202,0.009679516777396202,0.04323633760213852,0.009679516777396202,0.009679516777396202,0.009315983392298222,0.023274216800928116,0.015238597989082336,0.01546437107026577,0.011448606848716736,0.02765529230237007,0.007791414856910706,0.009315983392298222,0.009679516777396202,0.007528258487582207,0.009679516777396202,0.009467478841543198,0.020562298595905304,0.02497503161430359,0.008797042071819305,0.012840267270803452,0.009679516777396202,0.009679516777396202,0.011531811207532883,0.01950041949748993,0.011448606848716736,0.01918536052107811
CHN,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.049536339938640594,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.0,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.022834308445453644,0.03664765506982803,0.03664765506982803,0.036921143531799316,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.036497458815574646,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.04323633760213852,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.028788939118385315,0.03664765506982803,0.03664765506982803,0.036497458815574646,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.034013599157333374,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803,0.03664765506982803
