country,zone,betti_0,betti_1,betti_2,total_pers_H0,total_pers_H1,total_pers_H2,max_pers_H0,max_pers_H1,max_pers_H2,entropy_H0,entropy_H1,n_features_H0,n_features_H1,n_features_H2
AND,Catholic Europe,7,0,0,6.03359270375222,0.12974132969975471,0.14449682272970676,1.0,0.02176736667752266,0.01641681045293808,2.432213355150833,2.844191849362771,55,29,36
ARG,Latin America,12,0,1,9.19498559832573,0.3149988166987896,0.7363092117011547,1.0,0.02757134661078453,0.05127958208322525,2.6665414298440315,3.418994468523977,55,44,85
ARM,Orthodox/ex-Communist,9,0,0,7.852493160869926,0.08152419235557318,0.04629963077604771,1.0,0.02099711075425148,0.012526053935289383,2.4702151318553924,2.3924694683628736,55,18,13
AUS,English-speaking,6,0,0,6.5674970909021795,0.020169475115835667,0.04738080035895109,1.0,0.003623494878411293,0.010584551841020584,2.252456780234088,2.2620731999855614,55,11,18
BGD,South/Southeast Asian,16,2,14,7.614048390649259,0.7095128744840622,2.616181291639805,1.0,0.09907267987728119,0.1273726373910904,2.715251744833364,3.322735538855753,55,43,94
BOL,Latin America,6,0,0,3.305885358247906,0.19952547457069159,0.6108923796564341,1.0,0.013639453798532486,0.026332292705774307,2.5581282101687464,3.447476233770662,55,41,65
BRA,Latin America,12,0,4,8.086986749432981,0.14502821397036314,0.7581598963588476,1.0,0.017374802380800247,0.09180804342031479,2.568598447143288,2.6255711624072524,55,26,42
CAN,English-speaking,4,0,0,3.877147074788809,0.06679356750100851,0.5485841147601604,1.0,0.009161863476037979,0.020921185612678528,2.236490591043669,2.9458288191545074,55,26,98
CHL,Latin America,14,0,0,4.788626737892628,0.19647441059350967,0.24410849809646606,1.0,0.019359033554792404,0.04427391290664673,2.717898470733995,3.0219645709660354,55,29,27
CHN,Confucian,21,1,1,12.499577539041638,0.3179503148421645,0.2252330221235752,1.0,0.07329531013965607,0.07038125395774841,2.884837206504983,2.5941072030861863,55,27,18
COL,Latin America,5,0,0,3.150875269435346,0.09279630053788424,0.0876410435885191,1.0,0.04065850377082825,0.04293138533830643,2.4516372464530747,2.0133184276524787,55,16,11
CYP,Catholic Europe,4,0,0,3.6174716174136847,0.03686865232884884,0.036780040711164474,1.0,0.01228099875152111,0.013664785772562027,1.9977820914539115,1.820045048170802,55,10,6
CZE,Orthodox/ex-Communist,8,0,0,7.061100005637854,0.10724411904811859,0.12669708766043186,1.0,0.042715128511190414,0.02050943672657013,2.5094417142504213,1.9738316304690968,55,19,18
DEU,Protestant Europe,7,0,0,5.730094285681844,0.01955242268741131,0.040458448231220245,1.0,0.004919323138892651,0.009994816035032272,2.2457503860788104,1.9817149806515528,55,9,8
ECU,Latin America,6,0,0,3.5218710228800774,0.08018246665596962,0.22573194652795792,1.0,0.028058364987373352,0.031085938215255737,2.71174251371205,2.1480687448125195,55,14,34
EGY,African-Islamic,11,0,0,9.741758103016764,0.3327157567255199,0.40217567794024944,1.0,0.03210218995809555,0.03472390025854111,2.574377931139427,3.044331971870575,55,32,44
ETH,African-Islamic,12,0,1,9.175242907833308,0.46723515866324306,0.8327174242585897,1.0,0.037836745381355286,0.0707070529460907,2.65649428444118,3.655962714364124,55,52,84
GBR,English-speaking,8,0,0,8.500785402487963,0.04867198737338185,0.09269362594932318,1.0,0.006192697212100029,0.010275470092892647,2.401325215718468,2.6469039645356753,55,23,20
GRC,Catholic Europe,4,0,0,4.567540933843702,0.05491805775091052,0.0529139693826437,1.0,0.007748570293188095,0.007672403007745743,2.0526637963012275,2.7292396728174984,55,27,26
GTM,Latin America,14,2,6,3.1841109301894903,1.4086219482123852,3.1427184008061886,1.0,0.07384228706359863,0.10960671305656433,3.2677526554438545,4.159354123639572,55,93,145
HKG,Confucian,7,0,0,3.1487239068374038,0.09151281509548426,0.2591591402888298,1.0,0.023361049592494965,0.027629397809505463,2.444412435766946,2.0215814242162815,55,10,25
IDN,South/Southeast Asian,9,0,0,6.869492103345692,0.22765522822737694,0.020082445815205574,1.0,0.028674602508544922,0.005018595606088638,2.398563547236866,3.249797395159197,55,36,7
IND,South/Southeast Asian,9,0,3,3.476081487722695,0.8600035794079304,1.7391038611531258,1.0,0.034523993730545044,0.05471380800008774,2.69292621522335,4.09715029172784,55,74,125
IRN,African-Islamic,2,0,0,2.9382916316390038,0.08958168234676123,0.3532570730894804,1.0,0.021243476308882236,0.027008838951587677,2.32337331823301,2.7226743210492046,55,32,80
IRQ,African-Islamic,8,0,0,5.31744930986315,0.06657856423407793,0.4878791496157646,1.0,0.021995973773300648,0.032457225024700165,2.5327648820171937,1.786034318507693,55,9,35
JOR,African-Islamic,11,0,1,9.963651001919061,0.2676183432340622,0.7374973781406879,1.0,0.03312477096915245,0.0581679567694664,2.6555290838670453,2.9493755267048147,55,25,43
JPN,Confucian,10,0,0,8.850483198650181,0.07607306865975261,0.14336945582181215,1.0,0.01503126323223114,0.021654747426509857,2.5360516944889713,2.5387578245935396,55,23,27
KAZ,Orthodox/ex-Communist,21,0,1,5.359832442365587,0.08828014135360718,0.31559912115335464,1.0,0.022292211651802063,0.05010421574115753,2.964865467255864,2.173270331424517,55,12,16
KEN,African-Islamic,10,0,0,2.71295865252614,0.05736561585217714,0.13074880838394165,1.0,0.013152360916137695,0.014329701662063599,3.0691387328268758,2.2043105342436125,55,14,18
KGZ,Orthodox/ex-Communist,11,0,0,10.697839229833335,0.11535497661679983,0.2443542592227459,1.0,0.02445218339562416,0.022253256291151047,2.6181970772204837,2.5337045270010106,55,19,46
KOR,Confucian,12,1,1,6.397796211764216,0.20279677957296371,1.0828614551573992,1.0,0.052319496870040894,0.05203644931316376,2.5930128256069422,2.737919977695486,55,24,65
LBN,African-Islamic,7,0,0,5.879113767761737,0.0419746283441782,0.29803958535194397,1.0,0.00787327066063881,0.03205128014087677,2.342228905099592,2.496997577612796,55,16,36
LBY,African-Islamic,8,0,0,6.9169503001030535,0.06820264924317598,0.3638825174421072,1.0,0.011268939822912216,0.04349469393491745,2.4078920430692863,2.328673689198558,55,15,28
MAC,Confucian,8,0,1,6.380224535707384,0.1894550882279873,0.21369174122810364,1.0,0.04611329734325409,0.05150200426578522,2.560309532832959,2.1270610028620203,55,13,18
MAR,African-Islamic,15,0,7,5.916041444987059,0.21550053544342518,1.1119582019746304,1.0,0.02913517877459526,0.08160833269357681,2.7895251312216054,2.941649060272643,55,28,59
MDV,African-Islamic,10,0,0,8.783756092656404,0.05347395967692137,0.11120539158582687,1.0,0.008416451513767242,0.021243080496788025,2.522148129759077,2.444994016132867,55,15,14
MEX,Latin America,16,0,2,8.209406127221882,0.12747737392783165,0.45638629235327244,1.0,0.016657816246151924,0.1515151560306549,2.8418208654205532,2.989602583974886,55,27,38
MMR,South/Southeast Asian,11,0,0,9.02592314593494,0.08659087400883436,0.12312433496117592,1.0,0.02499818429350853,0.01981586217880249,2.6166952664212197,2.097951980083698,55,14,14
MNG,Orthodox/ex-Communist,10,0,0,3.5118793873116374,0.0,0.0,1.0,0.0,0.0,2.5305851541203044,0.0,55,0,0
MYS,South/Southeast Asian,7,0,0,2.2285211523994803,0.15168400947004557,0.14608342573046684,1.0,0.01636704057455063,0.014809750020503998,2.7668025090786412,3.347641074802512,55,37,47
NGA,African-Islamic,7,0,0,6.115731438156217,0.18986748065799475,0.984795393422246,1.0,0.01776530221104622,0.03241860866546631,2.468289130947724,3.3631194487584692,55,41,95
NIC,Latin America,9,1,1,1.735667803324759,0.41153215523809195,0.2891206592321396,0.08741258829832077,0.08647267520427704,0.05471070855855942,3.829901978537417,2.9093537142292063,55,33,19
NIR,English-speaking,7,0,0,7.5602259137667716,0.0938278790563345,0.22989160101860762,1.0,0.013823386281728745,0.018022971227765083,2.341258655334859,2.9726482473498628,55,33,60
NLD,Protestant Europe,6,0,0,6.738505267072469,0.04744087532162666,0.08531368058174849,1.0,0.009873352013528347,0.010458305478096008,2.3516500076135967,2.347366524052771,55,17,28
NZL,English-speaking,5,0,0,5.705894311424345,0.02302148938179016,0.07970374636352062,1.0,0.010196417570114136,0.018955083563923836,2.2465237934419267,1.5136142635647127,55,7,20
PAK,South/Southeast Asian,6,0,0,5.976153621450067,0.7922383043915033,0.9148184657096863,1.0,0.04878012835979462,0.04455418139696121,2.408305964825575,3.898155865030816,55,67,110
PER,Latin America,7,0,0,3.2538247630000114,0.12266285344958305,0.3261679820716381,1.0,0.030477195978164673,0.03928171098232269,2.5151577268130723,2.2658562529202135,55,14,31
PHL,South/Southeast Asian,10,0,18,4.607279226183891,0.3633211934939027,2.7535357736051083,1.0,0.04830758646130562,0.1914936602115631,2.647145355089902,3.2556095264915124,55,37,105
PRI,Latin America,4,0,0,4.151827331166714,0.11986035760492086,0.23915057815611362,1.0,0.029042690992355347,0.03355230391025543,2.4325174393329685,2.32337279171561,55,17,27
ROU,Orthodox/ex-Communist,9,1,0,7.9553307462483644,0.2927253395318985,0.12437038868665695,1.0,0.05531058460474014,0.02822011709213257,2.5032407235795775,2.4015062677247285,55,19,13
RUS,Orthodox/ex-Communist,11,0,0,6.298241879791021,0.04600832890719175,0.27079153154045343,1.0,0.01177666150033474,0.04015592485666275,2.545668793554797,2.2058180120082924,55,15,26
SGP,Confucian,4,0,0,4.725302465958521,0.03737173043191433,0.00025315582752227783,1.0,0.01581277698278427,0.00025315582752227783,2.1728899149654564,1.1061861887089992,55,4,1
